Table A.2
Molecular Features

   H_{2} 1-0

4712.9   S1

      CN 0-2

4582.182 Q_{1}42.5
4583.720 P_{1}32.5
4584.739 P_{2}32.5
4593.040 Q_{2}41.5
4594.474 Q_{1}41.5
4596.339 P_{1}31.5
4598.019 P_{2}31.5
4601.446 R_{2}53.5
4605.099 R_{1}53.5                     
4606.468 Q_{1}40.5
4608.659 P_{1}30.5
4611.014 P_{2}30.5
4614.264 R_{2}52.5                     
4617.485 R_{1}52.5
4617.785 Q_{2}39.5
4618.165 Q_{1}39.5                     
4623.734 P_{2}29.5
4626.789 R_{2}51.5
4629.573 blend
4629.730 Q_{2}38.5
4632.388 P_{1}28.5
4639.025 R_{2}50.5
4640.668 Q_{1}37.5
4643.797 P_{1}27.5
4648.341 P_{2}27.5
4650.961 R_{2}49.5                     
4651.470 Q_{1}36.5
4654.903 P_{1}26.5                     
4660.233 P_{2}26.5
4661.972 Q_{1}35.5
4662.609 R_{2}48.5
4663.847 Q_{2}35.5                     
4665.696 P_{1}25.5
4671.847 P_{2}25.5
4672.173 Q_{1}34.5
4673.955 R_{2}47.5                     
4674.950 R_{1}47.5
4676.176 P_{1}24.5
4682.075 Q_{1}33.5
4683.183 P_{2}24.5                     
4685.009 R_{2}46.5
4685.161 Q_{2}33.5
4685.551 R_{1}46.5                     
4686.352 P_{1}23.5
4691.673 Q_{1}32.5
4694.246 P_{2}23.5
4695.394 Q_{2}32.5                     
4695.802 blend
4696.163 P_{1}22.5                     
4700.970 Q_{1}31.5
4705.041 P_{2}22.5                     
4705.340 Q_{2}31.5
4705.795 blend
4706.235 R_{2}44.5
4714.996 blend
4715.537 blend
4716.410 R_{2}43.5
4718.650 Q_{1}29.5
4724.383 Q_{2}29.5
4724.904 R_{1}42.5
4725.818 P_{2}20.5
4726.283 R_{2}42.5
4727.032 Q_{1}28.5
4732.492 P_{1}18.5
4733.479 Q_{2}28.5
4733.983 R_{1}41.5
4735.105 Q_{1}27.5
4735.837 blend
4740.751 P_{1}17.5
4742.295 Q_{2}27.5
4742.762 R_{1}40.5
4742.871 Q_{1}26.5
4745.522 P_{2}18.5
4750.328 Q_{1}25.5
4750.828 Q_{2}26.5                     
4751.237 R_{1}39.5
4754.161 R_{2}39.5
4754.980 P_{2}17.5
4756.276 P_{1}15.5
4757.476 Q_{1}24.5
4759.083 Q_{2}25.5
4759.410 R_{1}38.5
4762.865 R_{2}38.5
4763.533 P_{1}14.5
4767.055 Q_{2}24.5
4767.276 R_{1}37.5
4770.453 P_{1}13.5
4770.826 Q_{1}22.5
4773.126 P_{2}15.5
4774.755 Q_{2}23.5
4774.841 R_{1}36.5
4777.033 blend
4779.394 R_{2}36.5
4782.137 blend
4782.921 Q_{1}20.5
4783.259 P_{1}11.5
4787.223 R_{2}35.5
4788.483 Q_{1}19.5
4789.093 blend
4789.321 Q_{2}21.5
4790.254 P_{2}13.5
4793.727 Q_{1}18.5
4798.447 P_{2}12.5
4799.780 P_{1}8.5
4802.004 R_{2}33.5
4802.036 R_{1}32.5
4802.792 Q_{2}19.5
4803.239 Q_{1}16.5
4804.552 P_{1}7.5
4806.428 P_{2}11.5
4807.499 Q_{1}15.5
4808.959 R_{2}32.5
4809.127 Q_{2}18.5
4811.426 Q_{1}14.5
4813.787 R_{1}30.5
4814.115 P_{2}10.5
4815.105 blend
4815.617 R_{2}31.5
4818.258 Q_{1}12.5
4819.203 R_{1}29.5
4820.991 Q_{2}16.5
4821.156 Q_{1}11.5
4821.986 R_{2}30.5
4823.708 Q_{1}10.5
4824.257 R_{1}28.5
4825.904 Q_{1}9.5
4826.532 Q_{2}15.5
4827.740 Q_{1}8.5
4828.071 R_{2}29.5
4828.861 P_{2}8.5
4829.149 blend
4830.297 Q_{1}6.5
4831.350 Q_{1} head
4831.814 Q_{2}14.5
4833.575 R_{1}26.5
4833.864 R_{2}28.5
4835.894 P_{2}7.5
4836.839 Q_{2}13.5
4837.740 R_{1}25.5
4839.370 R_{2}27.5
4841.604 blend
4845.131 R_{1}23.5
4846.144 Q_{2}11.5
4848.353 R_{1}22.5
4849.523 R_{2}25.5
4850.425 Q_{2}10.5
4851.260 R_{1}21.5
4853.837 R_{1}20.5
4858.032 R_{1}18.5
4858.300 Q_{2}8.5
4859.641 R_{1}17.5
4860.923 R_{1}16.5
4861.885 Q_{2}7.5
4862.606 R_{2}22.5
4862.730 R_{1} head
4865.251 Q_{2}6.5
4866.407 R_{2}21.5
4868.400 Q_{2}5.5
4869.922 R_{2}20.5
4871.338 Q_{2}4.5
4873.167 R_{2}19.5
4874.074 Q_{2}3.5
4876.136 R_{2}18.5
4876.605 Q_{2}2.5
4878.827 R_{2}17.5
4878.932 Q_{2}1.5
4881.249 R_{2}16.5
4883.401 R_{2}15.5
4885.292 R_{2}14.5
4889.403 R_{2}11.5
4890.277 R_{2}10.5
4890.891 R_{2}9.5
