ggcyg  F8   Ib
gzcep  K1.5 Ib
gaori  M2   Ia
gaher  M5   Ib-II
gasge  G1   III
gaboo  K1   III
gldra  M0   III
rxboo  M8   III
61uma  G2   V
61cyg  G8   V
gl411  M2   V
gocet  M5.5 Mira
gccyg  S6+  Mira
sceph  C7   Mira
txpsc  N0   C6?
