           1.05    1.09  
          -0.38    0.20  
 4272.000  1.0555  1.0771
 4272.020  1.0218  1.0571
 4272.040  1.0389  1.0860
 4272.060  1.0431  1.0947
 4272.080  1.0438  1.1013
 4272.100  1.0461  1.1117
 4272.120  1.0528  1.1161
 4272.140  1.0550  1.1042
 4272.160  1.0494  1.0880
 4272.180  1.0479  1.0821
 4272.200  1.0557  1.0837
 4272.220  1.0596  1.0837
 4272.240  1.0542  1.0811
 4272.260  1.0512  1.0790
 4272.280  1.0538  1.0787
 4272.300  1.0539  1.0786
 4272.320  1.0524  1.0740
 4272.340  1.0552  1.0586
 4272.360  1.0595  1.0269
 4272.380  1.0598  0.9736
 4272.400  1.0574  0.8997
 4272.420  1.0552  0.8197
 4272.440  1.0539  0.7593
 4272.460  1.0546  0.7440
 4272.480  1.0576  0.7851
 4272.500  1.0591  0.8657
 4272.520  1.0568  0.9492
 4272.540  1.0533  1.0075
 4272.560  1.0487  1.0372
 4272.580  1.0413  1.0468
 4272.600  1.0348  1.0464
 4272.620  1.0341  1.0470
 4272.640  1.0375  1.0529
 4272.660  1.0402  1.0539
 4272.680  1.0411  1.0407
 4272.700  1.0420  1.0221
 4272.720  1.0423 -1.0000
 4272.740 -1.0000 -1.0000
 4272.760 -1.0000 -1.0000
 4272.780 -1.0000 -1.0000
 4272.800 -1.0000 -1.0000
 4272.820 -1.0000 -1.0000
 4272.840 -1.0000 -1.0000
 4272.860 -1.0000 -1.0000
 4272.880 -1.0000 -1.0000
 4272.900 -1.0000 -1.0000
 4272.920  0.9528 -1.0000
 4272.940  0.9373 -1.0000
 4272.960  0.8886  1.0662
 4272.980  0.8129  1.0628
 4273.000  0.7428  1.0668
 4273.020  0.7024  1.0827
 4273.040  0.7026  1.0995
 4273.060  0.7530  1.1054
 4273.080  0.8411  1.1041
 4273.100  0.9237  1.1019
 4273.120  0.9710  1.0980
 4273.140  0.9940  1.0955
 4273.160  1.0083  1.0998
 4273.180  1.0101  1.1064
 4273.200  0.9952  1.1080
 4273.220 -1.0000 -1.0000
 4273.240 -1.0000 -1.0000
 4273.260 -1.0000 -1.0000
 4273.280 -1.0000 -1.0000
 4273.300 -1.0000 -1.0000
 4273.320 -1.0000 -1.0000
 4273.340 -1.0000 -1.0000
 4273.360 -1.0000 -1.0000
 4273.380  0.4008  1.0953
 4273.400  0.4228  1.1045
 4273.420  0.4783  1.1114
 4273.440  0.5436  1.1123
 4273.460 -1.0000 -1.0000
 4273.480 -1.0000 -1.0000
 4273.500 -1.0000 -1.0000
 4273.520 -1.0000 -1.0000
 4273.540 -1.0000 -1.0000
 4273.560 -1.0000 -1.0000
 4273.580 -1.0000 -1.0000
 4273.600  1.0472  1.0968
 4273.620  1.0517  1.1047
 4273.640  1.0403  1.1051
 4273.660  1.0253  1.0962
 4273.680  1.0197 -1.0000
 4273.700 -1.0000 -1.0000
 4273.720 -1.0000 -1.0000
 4273.740 -1.0000 -1.0000
 4273.760 -1.0000 -1.0000
 4273.780 -1.0000 -1.0000
 4273.800 -1.0000 -1.0000
 4273.820  1.0564  1.1050
 4273.840  1.0538  1.0957
 4273.860  1.0538  1.0903
 4273.880  1.0526  1.0861
 4273.900  1.0474  1.0822
 4273.920  1.0455  1.0853
 4273.940  1.0504  1.0918
 4273.960  1.0546  1.0931
 4273.980  1.0506  1.0920
 4274.000  1.0416  1.0917
 4274.020  1.0355  1.0854
 4274.040  1.0365  1.0705
 4274.060  1.0444  1.0531
 4274.080  1.0540  1.0346
 4274.100  1.0578  1.0151
 4274.120  1.0548  1.0018
 4274.140  1.0508  1.0001
 4274.160  1.0530  1.0120
 4274.180  1.0627  1.0410
 4274.200  1.0716  1.0775
 4274.220  1.0709  1.0980
 4274.240  1.0627  1.0962
 4274.260  1.0531  1.0893
 4274.280  1.0462  1.0900
 4274.300  1.0460  1.0965
 4274.320  1.0528  1.1064
 4274.340  1.0587  1.1158
 4274.360  1.0582  1.1152
 4274.380  1.0555  1.0996
 4274.400  1.0573  1.0755
 4274.420  1.0661  1.0476
 4274.440  1.0759  1.0037
 4274.460  1.0734  0.9236
 4274.480  1.0589  0.8109
 4274.500  1.0495  0.6960
 4274.520  1.0510  0.6100
 4274.540  1.0527  0.5771
 4274.560  1.0502  0.6143
 4274.580  1.0461  0.7084
 4274.600  1.0385  0.8127
 4274.620  1.0227  0.8797
 4274.640  0.9981  0.8859
 4274.660  0.9693  0.8364
 4274.680  0.9457  0.7635
 4274.700  0.9383  0.7127
 4274.720  0.9530  0.7164
 4274.740  0.9829  0.7769
 4274.760  1.0132  0.8697
 4274.780  1.0343  0.9602
 4274.800  1.0447  1.0202
 4274.820  1.0481  1.0400
 4274.840  1.0487  1.0241
 4274.860  1.0478  0.9768
 4274.880  1.0446  0.8964
 4274.900  1.0431  0.7843
 4274.920  1.0472  0.6544
 4274.940  1.0514  0.5344
 4274.960  1.0470  0.4570
 4274.980  1.0321  0.4418
 4275.000  1.0059  0.4891
 4275.020  0.9569  0.5878
 4275.040  0.8724  0.7188
 4275.060  0.7601  0.8540
 4275.080  0.6500  0.9652
 4275.100  0.5743  1.0336
 4275.120  0.5533  1.0557
 4275.140  0.5950  1.0521
 4275.160  0.6874  1.0563
 4275.180  0.7904  1.0768
 4275.200  0.8540  1.0955
 4275.220  0.8547  1.1053
 4275.240  0.8064  1.1103
 4275.260  0.7426  1.1039
 4275.280  0.7007  1.0861
 4275.300  0.7094  1.0761
 4275.320  0.7699  1.0818
 4275.340  0.8536  1.0895
 4275.360  0.9286  1.0932
 4275.380  0.9799  1.0980
 4275.400  1.0015  1.1011
 4275.420  0.9865  1.0988
 4275.440  0.9318  1.0989
 4275.460  0.8415  1.1058
 4275.480  0.7253  1.1124
 4275.500  0.6000 -1.0000
 4275.520  0.4908 -1.0000
 4275.540  0.4232 -1.0000
 4275.560  0.4145 -1.0000
 4275.580  0.4702 -1.0000
 4275.600  0.5784 -1.0000
 4275.620  0.7121 -1.0000
 4275.640  0.8374  1.0983
 4275.660  0.9308  1.1095
 4275.680  0.9878  1.1071
 4275.700  1.0163  1.0899
 4275.720  1.0295  1.0771
 4275.740  1.0405  1.0780
 4275.760  1.0500  1.0815
 4275.780  1.0509  1.0763
 4275.800  1.0484  1.0617
 4275.820  1.0522  1.0388
 4275.840  1.0565  1.0011
 4275.860  1.0522  0.9393
 4275.880  1.0467  0.8544
 4275.900  1.0491  0.7628
 4275.920  1.0521  0.6841
 4275.940  1.0506  0.6315
 4275.960  1.0536  0.6133
 4275.980  1.0613 -1.0000
 4276.000  1.0589 -1.0000
 4276.020  1.0399 -1.0000
 4276.040  1.0168 -1.0000
 4276.060  1.0072 -1.0000
 4276.080  1.0148 -1.0000
 4276.100  1.0265  1.0243
 4276.120  1.0352  1.0431
 4276.140  1.0474  1.0674
 4276.160  1.0632  1.0928
 4276.180  1.0740  1.1079
 4276.200  1.0766  1.1094
 4276.220  1.0722  1.1007
 4276.240  1.0620  1.0897
 4276.260  1.0536  1.0846
 4276.280  1.0541  1.0882
 4276.300  1.0565  1.0956
 4276.320  1.0506  1.1004
 4276.340  1.0398  1.1010
 4276.360  1.0302  1.1004
 4276.380  1.0170  1.1006
 4276.400  0.9920  1.0970
 4276.420  0.9510  1.0888
 4276.440  0.8903  1.0863
 4276.460  0.8112  1.0951
 4276.480  0.7282  1.1057
 4276.500  0.6607  1.1080
 4276.520  0.6282  1.1051
 4276.540  0.6497  1.1040
 4276.560  0.7241  1.1054
 4276.580  0.8198 -1.0000
 4276.600  0.9016 -1.0000
 4276.620  0.9586 -1.0000
 4276.640  0.9996 -1.0000
 4276.660  1.0357 -1.0000
 4276.680  1.0652 -1.0000
 4276.700  1.0748  1.1133
 4276.720  1.0647  1.0948
 4276.740  1.0552  1.0851
 4276.760  1.0544  1.0746
 4276.780  1.0534  1.0439
 4276.800  1.0535  0.9952
 4276.820  1.0625  0.9315
 4276.840  1.0728  0.8478
 4276.860  1.0749  0.7633
 4276.880  1.0715  0.7175
 4276.900  1.0657  0.7308
 4276.920  1.0588  0.7900
 4276.940  1.0544  0.8536
 4276.960  1.0535  0.8711
 4276.980  1.0527  0.8178
 4277.000  1.0497  0.7110
 4277.020  1.0472  0.5888
 4277.040  1.0484  0.4904
 4277.060  1.0521  0.4465
 4277.080  1.0552  0.4687
 4277.100  1.0576  0.5494
 4277.120  1.0598  0.6715
 4277.140  1.0597  0.8073
 4277.160  1.0555  0.9224
 4277.180  1.0494  0.9981
 4277.200  1.0425  1.0399
 4277.220  1.0326  1.0577
 4277.240  1.0239  1.0620
 4277.260  1.0263  1.0685
 4277.280  1.0387  1.0838
 4277.300  1.0466  1.0964
 4277.320  1.0391  1.0968
 4277.340  1.0163  1.0904
 4277.360  0.9813  1.0857
 4277.380  0.9327  1.0854
 4277.400  0.8659  1.0869
 4277.420  0.7849  1.0867
 4277.440  0.7139  1.0836
 4277.460  0.6853  1.0801
 4277.480  0.7109  1.0788
 4277.500  0.7697  1.0797
 4277.520  0.8207  1.0810
 4277.540  0.8242  1.0821
 4277.560  0.7639  1.0855
 4277.580  0.6579  1.0914
 4277.600  0.5463  1.0948
 4277.620  0.4655  1.0926
 4277.640  0.4340  1.0902
 4277.660  0.4573  1.0934
 4277.680  0.5353  1.0983
 4277.700  0.6561  1.0963
 4277.720  0.7911  1.0878
 4277.740  0.9064  1.0787
 4277.760  0.9838  1.0649
 4277.780  1.0260  1.0351
 4277.800  1.0445  0.9927
 4277.820  1.0510  0.9616
 4277.840  1.0551  0.9623
 4277.860  1.0578  0.9866
 4277.880  1.0560  1.0102
 4277.900  1.0533  1.0177
 4277.920  1.0541  1.0000
 4277.940  1.0558  0.9457
 4277.960  1.0534  0.8529
 4277.980  1.0491  0.7396
 4278.000  1.0470  0.6354
 4278.020  1.0447  0.5689
 4278.040  1.0396  0.5630
 4278.060  1.0392  0.6269
 4278.080  1.0468  0.7438
 4278.100  1.0532  0.8734
 4278.120  1.0529  0.9768
 4278.140  1.0541  1.0426
 4278.160  1.0622  1.0832
 4278.180  1.0689  1.1075
 4278.200  1.0646  1.1109
 4278.220  1.0545  1.0960
 4278.240  1.0508  1.0822
 4278.260  1.0554  1.0837
 4278.280  1.0586  1.0918
 4278.300  1.0511  1.0936
 4278.320  1.0320  1.0918
 4278.340  1.0063  1.0919
 4278.360  0.9761  1.0902
 4278.380  0.9453  1.0842
 4278.400  0.9253  1.0776
 4278.420  0.9271  1.0727
 4278.440  0.9472  1.0705
 4278.460  0.9688  1.0735
 4278.480  0.9761  1.0806
