           1.0100  1.0000
           0.18    0.00  
 4322.000  1.0120  0.9712
 4322.020  1.0108  0.9792
 4322.040  1.0025  0.9814
 4322.060  0.9946  0.9840
 4322.080  0.9911  0.9877
 4322.100  0.9954  0.9724
 4322.120  1.0031  0.9663
 4322.140  1.0087  0.9688
 4322.160  1.0113  0.9725
 4322.180  1.0111  0.9769
 4322.200  1.0092  0.9842
 4322.220  1.0078  0.9789
 4322.240  1.0078  0.9749
 4322.260  1.0093  0.9714
 4322.280  1.0114  0.9635
 4322.300  1.0129  0.9666
 4322.320  1.0130  0.9612
 4322.340  1.0117  0.9698
 4322.360  1.0090  0.9639
 4322.380  1.0058  0.9722
 4322.400  1.0048  0.9710
 4322.420  1.0084  0.9701
 4322.440  1.0150  0.9673
 4322.460  1.0211  0.9669
 4322.480  1.0241  0.9718
 4322.500  1.0237  0.9758
 4322.520  1.0208  0.9795
 4322.540  1.0165  0.9790
 4322.560  1.0126  0.9767
 4322.580  1.0103  0.9706
 4322.600  1.0093  0.9710
 4322.620  1.0089  0.9696
 4322.640  1.0083  0.9745
 4322.660  1.0075  0.9793
 4322.680  1.0067  0.9828
 4322.700  1.0059  0.9831
 4322.720  1.0053  0.9822
 4322.740  1.0056  0.9775
 4322.760  1.0066  0.9744
 4322.780  1.0071  0.9722
 4322.800  1.0061  0.9739
 4322.820  1.0040  0.9768
 4322.840  1.0017  0.9801
 4322.860  1.0001  0.9810
 4322.880  1.0002  0.9791
 4322.900  1.0019  0.9754
 4322.920  1.0046  0.9716
 4322.940  1.0064  0.9701
 4322.960  1.0057  0.9716
 4322.980  1.0026  0.9754
 4323.000  0.9986  0.9794
 4323.020  0.9960  0.9814
 4323.040  0.9966  0.9804
 4323.060  1.0014  0.9767
 4323.080  1.0096  0.9723
 4323.100  1.0186  0.9694
 4323.120  1.0248  0.9693
 4323.140  1.0253  0.9717
 4323.160  1.0200  0.9750
 4323.180  1.0108  0.9772
 4323.200  1.0008  0.9770
 4323.220  0.9931  0.9748
 4323.240  0.9908  0.9719
 4323.260  0.9947  0.9704
 4323.280  1.0025  0.9713
 4323.300  1.0112  0.9744
 4323.320  1.0185  0.9782
 4323.340  1.0230  0.9806
 4323.360  1.0239  0.9803
 4323.380  1.0217  0.9773
 4323.400  1.0177  0.9733
 4323.420  1.0131  0.9704
 4323.440  1.0076  0.9701
 4323.460  1.0012  0.9726
 4323.480  0.9944  0.9764
 4323.500  0.9887  0.9795
 4323.520  0.9854  0.9801
 4323.540  0.9857  0.9782
 4323.560  0.9903  0.9749
 4323.580  0.9989  0.9723
 4323.600  1.0092  0.9721
 4323.620  1.0176  0.9745
 4323.640  1.0218  0.9783
 4323.660  1.0214  0.9813
 4323.680  1.0173  0.9817
 4323.700  1.0110  0.9792
 4323.720  1.0051  0.9750
 4323.740  1.0024  0.9715
 4323.760  1.0035  0.9707
 4323.780  1.0069  0.9731
 4323.800  1.0106  0.9777
 4323.820  1.0136  0.9821
 4323.840  1.0154  0.9839
 4323.860  1.0155  0.9824
 4323.880  1.0144  0.9783
 4323.900  1.0133  0.9739
 4323.920  1.0127  0.9716
 4323.940  1.0116  0.9724
 4323.960  1.0094  0.9756
 4323.980  1.0064  0.9792
 4324.000  1.0041  0.9809
 4324.020  1.0040  0.9795
 4324.040  1.0066  0.9759
 4324.060  1.0122  0.9722
 4324.080  1.0197  0.9707
 4324.100  1.0250  0.9726
 4324.120  1.0233  0.9772
 4324.140  1.0118  0.9819
 4324.160  0.9915  0.9840
 4324.180  0.9652  0.9823
 4324.200  0.9380  0.9772
 4324.220  0.9168  0.9716
 4324.240  0.9085  0.9683
 4324.260  0.9155  0.9692
 4324.280  0.9344  0.9738
 4324.300  0.9599  0.9795
 4324.320  0.9864  0.9831
 4324.340  1.0080  0.9823
 4324.360  1.0205  0.9775
 4324.380  1.0239  0.9713
 4324.400  1.0219  0.9673
 4324.420  1.0183  0.9680
