           1.0600  1.0000
           0.17    0.00  
 4175.920  1.0602  0.9271
 4175.940  1.0591  0.9332
 4175.960  1.0517  0.9306
 4175.980  1.0371  0.9203
 4176.000  1.0194  0.9073
 4176.020  1.0068  0.8969
 4176.040  1.0050  0.8916
 4176.060  1.0140  0.8897
 4176.080  1.0312  0.8863
 4176.100  1.0529  0.8764
 4176.120  1.0726  0.8581
 4176.140  1.0833  0.8344
 4176.160  1.0824  0.8115
 4176.180  1.0739  0.7961
 4176.200  1.0646  0.7909
 4176.220  1.0590  0.7928
 4176.240  1.0611  0.7928
 4176.260  1.0720  0.7796
 4176.280  1.0854  0.7444
 4176.300 -1.0000  0.6849
 4176.320 -1.0000  0.6075
 4176.340 -1.0000  0.5260
 4176.360 -1.0000  0.4580
 4176.380 -1.0000  0.4196
 4176.400 -1.0000  0.4211
 4176.420 -1.0000  0.4638
 4176.440 -1.0000  0.5398
 4176.460 -1.0000  0.6338
 4176.480 -1.0000  0.7265
 4176.500  1.0933  0.7987
 4176.520  1.0835  0.8354
 4176.540  1.0718  0.8297
 4176.560  1.0635  0.7843
 4176.580 -1.0000  0.7122
 4176.600 -1.0000  0.6334
 4176.620 -1.0000  0.5704
 4176.640 -1.0000  0.5420
 4176.660 -1.0000  0.5580
 4176.680 -1.0000  0.6158
 4176.700 -1.0000  0.7013
 4176.720  1.0660  0.7934
 4176.740  1.0659  0.8709
 4176.760  1.0653  0.9193
 4176.780  1.0649  0.9350
 4176.800  1.0638  0.9253
 4176.820  1.0603  0.9044
 4176.840  1.0561  0.8871
 4176.860  1.0544  0.8829
 4176.880  1.0556  0.8933
 4176.900  1.0580  0.9124
 4176.920  1.0612  0.9309
 4176.940  1.0649  0.9411
 4176.960  1.0671  0.9405
 4176.980  1.0659  0.9323
 4177.000  1.0630  0.9231
 4177.020  1.0617  0.9194
 4177.040  1.0632  0.9239
 4177.060  1.0667  0.9345
 4177.080  1.0715  0.9459
 4177.100  1.0771  0.9521
 4177.120  1.0810  0.9504
 4177.140  1.0811  0.9421
 4177.160  1.0785  0.9322
 4177.180  1.0769  0.9263
 4177.200  1.0782  0.9276
 4177.220  1.0808  0.9356
 4177.240  1.0820  0.9460
 4177.260  1.0790  0.9534
 4177.280  1.0671  0.9540
 4177.300  1.0423  0.9476
 4177.320  1.0065  0.9378
 4177.340  0.9677  0.9296
 4177.360  0.9359  0.9271
 4177.380  0.9187  0.9313
 4177.400  0.9213  0.9394
 4177.420  0.9441  0.9466
 4177.440  0.9799  0.9488
 4177.460  1.0175  0.9444
 4177.480  1.0476  0.9355
 4177.500  1.0649  0.9268
 4177.520  1.0681  0.9228
 4177.540  1.0600  0.9256
 4177.560  1.0475  0.9338
 4177.580  1.0382  0.9429
 4177.600  1.0359  0.9477
 4177.620  1.0396  0.9448
 4177.640  1.0460  0.9339
 4177.660  1.0513  0.9183
 4177.680  1.0518  0.9031
 4177.700  1.0450  0.8924
 4177.720  1.0317  0.8882
 4177.740  1.0156  0.8896
 4177.760  1.0010  0.8935
 4177.780  0.9910  0.8971
 4177.800  0.9873  0.8990
 4177.820  0.9904  0.9003
 4177.840  0.9999  0.9031
 4177.860  1.0141  0.9093
 4177.880  1.0297  0.9190
 4177.900  1.0442  0.9300
 4177.920  1.0559  0.9387
 4177.940  1.0638  0.9416
 4177.960  1.0666  0.9377
 4177.980  1.0652  0.9288
 4178.000  1.0618  0.9193
 4178.020  1.0587  0.9141
 4178.040  1.0565  0.9165
 4178.060  1.0555  0.9260
 4178.080  1.0558  0.9385
 4178.100  1.0559  0.9470
 4178.120  1.0532  0.9442
 4178.140  1.0469  0.9251
 4178.160  1.0386  0.8890
 4178.180  1.0298  0.8400
 4178.200  1.0224  0.7861
 4178.220  1.0189  0.7379
 4178.240  1.0210  0.7053
 4178.260  1.0277  0.6958
 4178.280  1.0365  0.7126
 4178.300  1.0448  0.7533
