           1.1500  1.0000
          -0.90    0.00  
 4147.000  1.1070  0.8362
 4147.020  1.0852  0.8498
 4147.040  1.0870  0.8487
 4147.060  1.0860  0.8518
 4147.080  1.0881  0.8525
 4147.100  1.0928  0.8569
 4147.120  1.0979  0.8543
 4147.140  1.0990  0.8633
 4147.160  1.0930  0.8571
 4147.180  1.0815  0.8610
 4147.200  1.0731  0.8623
 4147.220  1.0754  0.8603
 4147.240  1.0858  0.8601
 4147.260  1.0926  0.8646
 4147.280  1.0860  0.8606
 4147.300  1.0686  0.8650
 4147.320  1.0570  0.8666
 4147.340  1.0697  0.8665
 4147.360  1.1077  0.8680
 4147.380  1.1485  0.8643
 4147.400  1.1635  0.8656
 4147.420  1.1443  0.8694
 4147.440  1.1103  0.8684
 4147.460  1.0929  0.8683
 4147.480  1.1078  0.8698
 4147.500  1.1390  0.8694
 4147.520  1.1479  0.8710
 4147.540  1.1021  0.8705
 4147.560  1.0017  0.8722
 4147.580  0.8817  0.8714
 4147.600  0.7883  0.8753
 4147.620  0.7526  0.8769
 4147.640  0.7756  0.8727
 4147.660  0.8365  0.8731
 4147.680  0.9136  0.8734
 4147.700  0.9915  0.8673
 4147.720  1.0591  0.8685
 4147.740  1.1082  0.8701
 4147.760  1.1323  0.8711
 4147.780  1.1315  0.8655
 4147.800  1.1193  0.8725
 4147.820  1.1121  0.8512
 4147.840  1.1140  0.8494
 4147.860  1.1191  0.8482
 4147.880  1.1195  0.8504
 4147.900  1.1113  0.8468
 4147.920  1.0990  0.8465
 4147.940  1.0922  0.8429
 4147.960  1.0959  0.8382
 4147.980  1.1050  0.8322
 4148.000  1.1110  0.8326
 4148.020  1.1151  0.8380
 4148.040  1.1272  0.8471
 4148.060  1.1519  0.8497
 4148.080  1.1789  0.8525
 4148.100  1.1900  0.8573
 4148.120  1.1767  0.8564
 4148.140  1.1511  0.8590
 4148.160  1.1354  0.8584
 4148.180  1.1429  0.8629
 4148.200  1.1657  0.8662
 4148.220  1.1786  0.8646
 4148.240  1.1646  0.8659
 4148.260  1.1361  0.8639
 4148.280  1.1224  0.8634
 4148.300  1.1395  0.8588
 4148.320  1.1673  0.8607
 4148.340  1.1603  0.8597
 4148.360  1.0880  0.8629
 4148.380  0.9647  0.8565
 4148.400  0.8489  0.8600
 4148.420  0.8054  0.8582
 4148.440  0.8553  0.8496
 4148.460  0.9624  0.8490
 4148.480  1.0673  0.8489
 4148.500  1.1305  0.8382
 4148.520  1.1513  0.8205
 4148.540  1.1521  0.8075
 4148.560  1.1555  0.8195
 4148.580  1.1709  0.8306
 4148.600  1.1875  0.8365
 4148.620  1.1890  0.8320
 4148.640  1.1757  0.8309
 4148.660  1.1629  0.8262
 4148.680  1.1617  0.8204
 4148.700  1.1676  0.8084
 4148.720  1.1653  0.8002
 4148.740  1.1475  0.7789
 4148.760  1.1254  0.7577
 4148.780 -1.0000  0.7265
 4148.800 -1.0000  0.6747
 4148.820 -1.0000  0.5897
 4148.840 -1.0000  0.4669
 4148.860 -1.0000  0.3587
 4148.880 -1.0000  0.3282
 4148.900 -1.0000  0.3960
 4148.920 -1.0000  0.5112
 4148.940 -1.0000  0.6027
 4148.960 -1.0000  0.6679
 4148.980  1.1577  0.6873
 4149.000  1.1687  0.7022
 4149.020  1.1830  0.7152
 4149.040  1.1949  0.7388
 4149.060  1.1943  0.7466
 4149.080  1.1743  0.7593
 4149.100  1.1424  0.7491
