           1.1700  1.0000
          -0.90    0.00  
 4172.000 -1.0000  0.5277
 4172.020 -1.0000  0.4326
 4172.040 -1.0000  0.3540
 4172.060 -1.0000  0.3730
 4172.080 -1.0000  0.4013
 4172.100 -1.0000  0.4047
 4172.120 -1.0000  0.3568
 4172.140 -1.0000  0.3843
 4172.160 -1.0000  0.3702
 4172.180 -1.0000  0.3218
 4172.200 -1.0000  0.2348
 4172.220 -1.0000  0.1573
 4172.240 -1.0000  0.0039
 4172.260 -1.0000  0.0016
 4172.280 -1.0000  0.0024
 4172.300 -1.0000  0.0020
 4172.320 -1.0000  0.0022
 4172.340 -1.0000  0.0021
 4172.360 -1.0000  0.0021
 4172.380 -1.0000  0.0022
 4172.400 -1.0000  0.0126
 4172.420 -1.0000  0.0466
 4172.440 -1.0000  0.0837
 4172.460 -1.0000  0.1568
 4172.480 -1.0000  0.2768
 4172.500 -1.0000  0.3701
 4172.520 -1.0000  0.4506
 4172.540 -1.0000  0.5087
 4172.560 -1.0000  0.5664
 4172.580 -1.0000  0.6022
 4172.600 -1.0000  0.6432
 4172.620  1.0876  0.6696
 4172.640  1.0988  0.6998
 4172.660  1.1079  0.7083
 4172.680  1.1139  0.7348
 4172.700  1.1195  0.7393
 4172.720  1.1242  0.7492
 4172.740  1.1219  0.7553
 4172.760  1.1106  0.7546
 4172.780  1.1000  0.7372
 4172.800  1.1053  0.6987
 4172.820  1.1231  0.6425
 4172.840  1.1339  0.6515
 4172.860  1.1389  0.7208
 4172.880  1.1552  0.7703
 4172.900  1.1757  0.7878
 4172.920  1.1738  0.8040
 4172.940  1.1372  0.7993
 4172.960  1.0772  0.7981
 4172.980  1.0131  0.7724
 4173.000  0.9497  0.7343
 4173.020  0.8785  0.7248
 4173.040  0.8060  0.7725
 4173.060  0.7600  0.8125
 4173.080  0.7590  0.8292
 4173.100  0.7969  0.8368
 4173.120  0.8569  0.8426
 4173.140  0.9217  0.8346
 4173.160  0.9789  0.8260
 4173.180  1.0309  0.8209
 4173.200  1.0917  0.8077
 4173.220  1.1602  0.7722
 4173.240  1.2092  0.7718
 4173.260  1.2161  0.8093
 4173.280  1.1833  0.8450
 4173.300  1.1252  0.8603
 4173.320  1.0580  0.8673
 4173.340  1.0040  0.8663
 4173.360  0.9854  0.8662
 4173.380  1.0098  0.8674
 4173.400  1.0652  0.8748
 4173.420  1.1261  0.8767
 4173.440  1.1689  0.8824
 4173.460  1.1858  0.8846
 4173.480  1.1848  0.8820
 4173.500  1.1790  0.8815
 4173.520  1.1773  0.8837
 4173.540  1.1795  0.8830
 4173.560  1.1783  0.8859
 4173.580  1.1684  0.8868
 4173.600  1.1534  0.8894
 4173.620  1.1419  0.8858
 4173.640  1.1387  0.8786
 4173.660  1.1408  0.8697
 4173.680  1.1416  0.8674
 4173.700  1.1386  0.8689
 4173.720  1.1358  0.8726
 4173.740  1.1377  0.8728
 4173.760  1.1439  0.8740
 4173.780  1.1490  0.8725
 4173.800  1.1466  0.8717
 4173.820  1.1350  0.8702
 4173.840  1.1188  0.8691
 4173.860  1.1039  0.8600
 4173.880  1.0937  0.8489
 4173.900  1.0912  0.8300
 4173.920  1.1025  0.8020
 4173.940  1.1277  0.7562
 4173.960  1.1478  0.7275
 4173.980  1.1477  0.7709
 4174.000  1.1429  0.8425
 4174.020  1.1524  0.8677
 4174.040  1.1664  0.8668
 4174.060  1.1648  0.8673
 4174.080  1.1487  0.8763
 4174.100  1.1373  0.8829
 4174.120  1.1432  0.8827
 4174.140  1.1597  0.8794
 4174.160  1.1719  0.8832
 4174.180  1.1706  0.8814
 4174.200  1.1563  0.8817
 4174.220  1.1368  0.8753
 4174.240  1.1222  0.8744
 4174.260  1.1193  0.8516
 4174.280  1.1264  0.8361
 4174.300  1.1316  0.7970
 4174.320  1.1284  0.8223
 4174.340  1.1290  0.8347
 4174.360  1.1440  0.8442
 4174.380  1.1622  0.8300
 4174.400  1.1583  0.8104
 4174.420  1.1211  0.7943
 4174.440  1.0758  0.7864
 4174.460 -1.0000  0.7167
 4174.480 -1.0000  0.6146
 4174.500 -1.0000  0.5639
 4174.520 -1.0000  0.6734
 4174.540 -1.0000  0.7739
 4174.560  1.1608  0.8160
 4174.580  1.1734  0.8369
 4174.600  1.1711  0.8520
 4174.620  1.1516  0.8568
 4174.640  1.1311  0.8691
 4174.660  1.1297  0.8748
 4174.680  1.1522  0.8800
 4174.700  1.1803  0.8758
 4174.720  1.1880  0.8798
 4174.740  1.1691  0.8931
 4174.760  1.1419  0.8960
 4174.780  1.1292  0.8906
 4174.800  1.1351  0.8926
 4174.820  1.1381  0.8911
 4174.840  1.1052  0.8928
 4174.860  1.0177  0.8900
 4174.880  0.8937  0.8897
 4174.900  0.7862  0.8895
 4174.920  0.7487  0.8879
 4174.940  0.7984  0.8893
 4174.960  0.9061  0.8855
 4174.980  1.0182  0.8880
 4175.000  1.0948  0.8828
 4175.020  1.1315  0.8842
 4175.040  1.1495  0.8833
 4175.060  1.1673  0.8784
 4175.080  1.1804  0.8746
 4175.100  1.1722  0.8670
 4175.120  1.1416  0.8419
 4175.140  1.1204  0.8029
 4175.160  1.1437  0.7193
 4175.180  1.1839  0.6220
 4175.200  1.1787  0.6830
 4175.220  1.1286  0.7934
 4175.240  1.0772  0.8446
 4175.260  1.0407  0.8617
 4175.280  1.0226  0.8760
 4175.300  1.0346  0.8796
 4175.320  1.0770  0.8846
 4175.340  1.1292  0.8806
 4175.360  1.1654  0.8875
 4175.380  1.1759  0.8869
 4175.400  1.1703  0.8847
 4175.420  1.1625  0.8841
 4175.440  1.1598  0.8844
 4175.460  1.1593  0.8815
 4175.480  1.1552  0.8810
 4175.500  1.1496  0.8817
 4175.520  1.1477  0.8770
 4175.540  1.1431  0.8761
 4175.560  1.1143  0.8680
 4175.580  1.0388  0.8659
 4175.600  0.9252  0.8465
 4175.620  0.8305  0.8076
 4175.640 -1.0000  0.7312
 4175.660 -1.0000  0.6250
 4175.680 -1.0000  0.5811
 4175.700 -1.0000  0.6666
 4175.720 -1.0000  0.7740
 4175.740  1.1805  0.8206
 4175.760  1.1654  0.8496
 4175.780  1.1441  0.8592
 4175.800  1.1371  0.8629
 4175.820  1.1455  0.8680
 4175.840  1.1573  0.8733
 4175.860  1.1586  0.8740
 4175.880  1.1466  0.8736
 4175.900  1.1323  0.8737
 4175.920  1.1306  0.8690
 4175.940  1.1478  0.8721
 4175.960  1.1762  0.8667
 4175.980  1.1965  0.8654
 4176.000  1.1854  0.8545
 4176.020  1.1281  0.8518
 4176.040  1.0292  0.8479
 4176.060  0.9137  0.8327
 4176.080  0.8194  0.8263
 4176.100  0.7838  0.8084
 4176.120  0.8247  0.7914
 4176.140  0.9280  0.7718
 4176.160  1.0492  0.7440
 4176.180  1.1341  0.7186
 4176.200  1.1560  0.7173
 4176.220  1.1362  0.7258
 4176.240  1.1162  0.7152
 4176.260  1.1113  0.6965
 4176.280 -1.0000  0.6641
 4176.300 -1.0000  0.6137
 4176.320 -1.0000  0.5413
 4176.340 -1.0000  0.4502
 4176.360 -1.0000  0.3563
 4176.380 -1.0000  0.2908
 4176.400 -1.0000  0.2981
 4176.420 -1.0000  0.3741
 4176.440 -1.0000  0.4735
 4176.460 -1.0000  0.5709
 4176.480 -1.0000  0.6396
 4176.500 -1.0000  0.6949
 4176.520  1.0414  0.7199
 4176.540  1.1048  0.7388
 4176.560  1.1513  0.7431
 4176.580 -1.0000  0.7202
 4176.600 -1.0000  0.6719
 4176.620 -1.0000  0.5484
 4176.640 -1.0000  0.4088
 4176.660 -1.0000  0.4341
 4176.680 -1.0000  0.5943
 4176.700 -1.0000  0.7148
 4176.720 -1.0000  0.7772
 4176.740  0.8578  0.8116
 4176.760  0.9404  0.8320
 4176.780  1.0479  0.8444
 4176.800  1.1310  0.8518
 4176.820  1.1668  0.8600
 4176.840  1.1668  0.8590
 4176.860  1.1588  0.8607
 4176.880  1.1637  0.8616
 4176.900  1.1799  0.8583
 4176.920  1.1883  0.8676
 4176.940  1.1779  0.8769
 4176.960  1.1580  0.8803
 4176.980  1.1450  0.8809
 4177.000  1.1465  0.8832
 4177.020  1.1540  0.8883
 4177.040  1.1457  0.8856
 4177.060  1.1077  0.8920
 4177.080  1.0499  0.8882
 4177.100  1.0014  0.8898
 4177.120  0.9900  0.8909
 4177.140  1.0213  0.8890
 4177.160  1.0737  0.8905
 4177.180  1.1155  0.8863
 4177.200  1.1294  0.8941
 4177.220  1.1229  0.8911
 4177.240  1.1167  0.8928
 4177.260  1.1249  0.8952
 4177.280  1.1468  0.8942
 4177.300  1.1684  0.8967
 4177.320  1.1767  0.8940
 4177.340  1.1691  0.8886
 4177.360  1.1528  0.8868
 4177.380  1.1412  0.8949
 4177.400  1.1415  0.8850
 4177.420  1.1484  0.8899
 4177.440  1.1551  0.8914
 4177.460  1.1602  0.8926
 4177.480  1.1651  0.8934
 4177.500  1.1709  0.8924
 4177.520  1.1762  0.8930
 4177.540  1.1783  0.8917
 4177.560  1.1771  0.8930
 4177.580  1.1747  0.8872
 4177.600  1.1728  0.8860
 4177.620  1.1722  0.8865
 4177.640  1.1715  0.8843
 4177.660  1.1686  0.8801
 4177.680  1.1647  0.8718
 4177.700  1.1609  0.8514
 4177.720  1.1553  0.8393
 4177.740  1.1509  0.8482
 4177.760  1.1551  0.8502
 4177.780  1.1633  0.8308
 4177.800  1.1623  0.8405
 4177.820  1.1533  0.8568
 4177.840  1.1499  0.8679
 4177.860  1.1576  0.8713
 4177.880  1.1706  0.8769
 4177.900  1.1809  0.8805
 4177.920  1.1821  0.8765
 4177.940  1.1731  0.8808
 4177.960  1.1608  0.8844
 4177.980  1.1564  0.8968
 4178.000  1.1660  0.8961
 4178.020  1.1823  0.8891
 4178.040  1.1907  0.8835
 4178.060  1.1846  0.8799
 4178.080  1.1710  0.8808
 4178.100  1.1637  0.8753
 4178.120  1.1691  0.8721
 4178.140  1.1795  0.8662
 4178.160  1.1826  0.8562
 4178.180  1.1774  0.8372
 4178.200 -1.0000  0.7997
 4178.220 -1.0000  0.7185
 4178.240 -1.0000  0.5990
 4178.260 -1.0000  0.5583
 4178.280 -1.0000  0.6638
 4178.300 -1.0000  0.7689
 4178.320  1.2124  0.8103
 4178.340  1.2090  0.8421
 4178.360  1.1687  0.8487
 4178.380  1.0802  0.8524
 4178.400  0.9652  0.8544
 4178.420  0.8589  0.8483
 4178.440  0.7854  0.8408
 4178.460  0.7543  0.8153
 4178.480 -1.0000  0.7749
 4178.500 -1.0000  0.6692
 4178.520 -1.0000  0.5605
 4178.540 -1.0000  0.5613
 4178.560 -1.0000  0.6938
 4178.580 -1.0000  0.7816
 4178.600  1.1712  0.8167
 4178.620  1.1821  0.8300
 4178.640  1.1834  0.8390
 4178.660  1.1780  0.8332
 4178.680  1.1697  0.8451
 4178.700  1.1656  0.8495
 4178.720  1.1692  0.8620
 4178.740  1.1757  0.8587
 4178.760  1.1763  0.8723
 4178.780  1.1648  0.8784
 4178.800  1.1381  0.8812
 4178.820  1.0958  0.8852
 4178.840  1.0451  0.8834
 4178.860  1.0028  0.8948
 4178.880  0.9881  0.8951
 4178.900  1.0073  0.8902
 4178.920  1.0474  0.8827
 4178.940  1.0884  0.8860
 4178.960  1.1172  0.8838
 4178.980  1.1333  0.8886
 4179.000  1.1421  0.8834
 4179.020  1.1488  0.8957
 4179.040  1.1575  0.9032
 4179.060  1.1651  0.8951
 4179.080  1.1639  0.8887
 4179.100  1.1553  0.8883
 4179.120  1.1512  0.8807
 4179.140  1.1607  0.8792
 4179.160  1.1777  0.8655
 4179.180  1.1822  0.8623
 4179.200  1.1659  0.8812
 4179.220  1.1454  0.8871
 4179.240  1.1411  0.8619
 4179.260  1.1544  0.8372
 4179.280  1.1691  0.8191
 4179.300  1.1706  0.8247
 4179.320  1.1595  0.8327
 4179.340  1.1472  0.8188
 4179.360  1.1431  0.8059
 4179.380  1.1484  0.7949
 4179.400  1.1575  0.8085
 4179.420  1.1661  0.8366
 4179.440  1.1712  0.8473
 4179.460  1.1704  0.8609
 4179.480  1.1658  0.8589
 4179.500  1.1633  0.8648
 4179.520  1.1647  0.8625
 4179.540  1.1668  0.8691
 4179.560  1.1643  0.8680
 4179.580  1.1561  0.8713
 4179.600  1.1467  0.8680
 4179.620  1.1408  0.8688
 4179.640  1.1377  0.8689
 4179.660  1.1280  0.8594
 4179.680  1.0955  0.8468
 4179.700  1.0287  0.8209
 4179.720  0.9355  0.8002
 4179.740  0.8494  0.7647
 4179.760  0.8130  0.7058
 4179.780  0.8487  0.6459
 4179.800  0.9393  0.6228
 4179.820  1.0365  0.6505
 4179.840  1.0914  0.7047
 4179.860  1.0779  0.7595
 4179.880  0.9993  0.7923
 4179.900  0.8896  0.8216
 4179.920  0.8043  0.8355
 4179.940  0.7936  0.8440
 4179.960  0.8699  0.8523
 4179.980  0.9938  0.8508
 4180.000  1.0932  0.8566
 4180.020  1.1072  0.8583
 4180.040  1.0245  0.8659
 4180.060  0.8900  0.8672
 4180.080  0.7755  0.8730
 4180.100  0.7378  0.8694
 4180.120  0.7893  0.8735
 4180.140  0.8989  0.8687
 4180.160  1.0174  0.8762
 4180.180  1.1054  0.8726
 4180.200  1.1491  0.8758
 4180.220  1.1568  0.8750
 4180.240  1.1447  0.8684
 4180.260  1.1279  0.8761
 4180.280  1.1202  0.8780
 4180.300  1.1274  0.8751
 4180.320  1.1432  0.8662
 4180.340  1.1550  0.8617
 4180.360  1.1558  0.8618
 4180.380  1.1493  0.8598
 4180.400  1.1432  0.8508
 4180.420  1.1440  0.8590
 4180.440  1.1513  0.8553
 4180.460  1.1516  0.8521
 4180.480  1.1263  0.8464
 4180.500  1.0710  0.8370
 4180.520  1.0040  0.8303
 4180.540  0.9599  0.8258
 4180.560  0.9669  0.8290
 4180.580  1.0241  0.8236
 4180.600  1.1015  0.8287
 4180.620  1.1583  0.8180
 4180.640  1.1670  0.8116
 4180.660  1.1348  0.8178
 4180.680  1.0951  0.8124
 4180.700  1.0764  0.8104
 4180.720  1.0850  0.8087
 4180.740  1.1069  0.8041
 4180.760  1.1229  0.8023
 4180.780  1.1250  0.7977
 4180.800  1.1197  0.7959
 4180.820  1.1193  0.7914
 4180.840  1.1297  0.7896
 4180.860  1.1444  0.7791
 4180.880  1.1504  0.7730
 4180.900  1.1407  0.7643
 4180.920  1.1199  0.7545
 4180.940  1.0996  0.7451
 4180.960  1.0885  0.7305
 4180.980  1.0888  0.7227
 4181.000  1.0966  0.7061
 4181.020  1.1051  0.6927
 4181.040  1.1110  0.6790
 4181.060  1.1150  0.6535
 4181.080 -1.0000  0.6309
 4181.100 -1.0000  0.6045
 4181.120 -1.0000  0.5639
 4181.140 -1.0000  0.5317
 4181.160 -1.0000  0.4937
 4181.180 -1.0000  0.4661
 4181.200 -1.0000  0.4401
 4181.220 -1.0000  0.3913
 4181.240 -1.0000  0.3508
 4181.260 -1.0000  0.2906
 4181.280 -1.0000  0.2294
 4181.300 -1.0000  0.1741
 4181.320 -1.0000  0.0999
 4181.340 -1.0000  0.0337
 4181.360 -1.0000  0.0017
 4181.380 -1.0000  0.0023
 4181.400 -1.0000  0.0020
 4181.420 -1.0000  0.0022
 4181.440 -1.0000  0.0021
 4181.460 -1.0000  0.0021
 4181.480 -1.0000  0.0021
 4181.500 -1.0000  0.0021
 4181.520 -1.0000  0.0021
 4181.540 -1.0000  0.0020
 4181.560 -1.0000  0.0023
 4181.580 -1.0000  0.0018
 4181.600 -1.0000  0.0331
 4181.620 -1.0000  0.0735
 4181.640 -1.0000  0.1285
 4181.660 -1.0000  0.1898
 4181.680 -1.0000  0.2490
 4181.700 -1.0000  0.3022
 4181.720 -1.0000  0.3519
 4181.740 -1.0000  0.3890
 4181.760 -1.0000  0.4083
 4181.780 -1.0000  0.4104
 4181.800 -1.0000  0.3489
 4181.820 -1.0000  0.3257
 4181.840 -1.0000  0.3968
 4181.860 -1.0000  0.5139
 4181.880 -1.0000  0.5774
 4181.900 -1.0000  0.6471
 4181.920 -1.0000  0.6764
 4181.940  1.0861  0.6788
 4181.960  1.0688  0.6929
 4181.980  1.0581  0.7113
 4182.000  1.0666  0.7240
 4182.020  1.0894  0.7349
 4182.040  1.1077  0.7464
 4182.060  1.1015  0.7561
 4182.080  1.0642  0.7744
 4182.100  1.0061  0.7711
 4182.120  0.9482  0.7718
 4182.140  0.9172  0.7764
 4182.160  0.9350  0.7798
 4182.180  1.0007  0.7830
 4182.200  1.0860  0.7825
 4182.220  1.1495  0.7817
 4182.240  1.1664  0.7785
 4182.260  1.1527  0.7647
 4182.280 -1.0000  0.7178
 4182.300 -1.0000  0.6395
 4182.320 -1.0000  0.5277
 4182.340 -1.0000  0.4673
 4182.360 -1.0000  0.5486
 4182.380 -1.0000  0.6688
 4182.400 -1.0000  0.7265
 4182.420  1.2135  0.7476
 4182.440  1.1918  0.7573
 4182.460  1.1525  0.7543
 4182.480  1.1089  0.7349
 4182.500  1.0785  0.7068
 4182.520 -1.0000  0.6566
 4182.540 -1.0000  0.6069
 4182.560 -1.0000  0.5785
 4182.580 -1.0000  0.5969
 4182.600 -1.0000  0.6587
 4182.620 -1.0000  0.7135
 4182.640  1.1368  0.7574
 4182.660  1.1416  0.7835
 4182.680  1.1394  0.8072
 4182.700  1.1333  0.8186
 4182.720  1.1316  0.8289
 4182.740  1.1375  0.8443
 4182.760  1.1448  0.8533
 4182.780  1.1447  0.8567
 4182.800  1.1362  0.8537
 4182.820  1.1302  0.8579
 4182.840  1.1397  0.8555
 4182.860  1.1602  0.8621
 4182.880  1.1650  0.8603
 4182.900  1.1237  0.8643
 4182.920  1.0295  0.8656
 4182.940  0.9127  0.8711
 4182.960  0.8260  0.8715
 4182.980  0.8118  0.8744
 4183.000  0.8759  0.8675
 4183.020  0.9859  0.8671
 4183.040  1.0921  0.8672
 4183.060  1.1551  0.8729
 4183.080  1.1581  0.8776
 4183.100  1.1019  0.8729
 4183.120  1.0013  0.8764
 4183.140  0.8857  0.8735
 4183.160  0.7955  0.8774
 4183.180  0.7702  0.8789
 4183.200  0.8251  0.8787
 4183.220  0.9368  0.8796
 4183.240  1.0548  0.8791
 4183.260  1.1329  0.8868
 4183.280  1.1588  0.8894
 4183.300  1.1549  0.8845
 4183.320  1.1517  0.8819
 4183.340  1.1627  0.8778
 4183.360  1.1796  0.8881
 4183.380  1.1848  0.8825
 4183.400  1.1707  0.8837
 4183.420  1.1491  0.8781
 4183.440  1.1399  0.8778
 4183.460  1.1520  0.8778
 4183.480  1.1733  0.8746
 4183.500  1.1838  0.8710
 4183.520  1.1782  0.8694
 4183.540  1.1681  0.8683
 4183.560  1.1653  0.8678
 4183.580  1.1624  0.8692
 4183.600  1.1341  0.8750
 4183.620  1.0660  0.8766
 4183.640  0.9790  0.8778
 4183.660  0.9223  0.8801
 4183.680  0.9429  0.8803
 4183.700  1.0423  0.8643
 4183.720  1.1647  0.8318
 4183.740  1.2473  0.8011
 4183.760 -1.0000  0.7607
 4183.780 -1.0000  0.6843
 4183.800 -1.0000  0.5380
 4183.820 -1.0000  0.3737
 4183.840 -1.0000  0.3768
 4183.860 -1.0000  0.5446
 4183.880 -1.0000  0.6916
 4183.900 -1.0000  0.7709
 4183.920  1.2034  0.8135
 4183.940  1.1978  0.8376
 4183.960  1.1854  0.8487
 4183.980  1.1668  0.8581
 4184.000  1.1510  0.8650
 4184.020  1.1464  0.8654
 4184.040  1.1491  0.8707
 4184.060  1.1419  0.8724
 4184.080  1.1042  0.8757
 4184.100  1.0288  0.8763
 4184.120  0.9338  0.8766
 4184.140  0.8576  0.8779
 4184.160  0.8350  0.8800
 4184.180  0.8748  0.8796
 4184.200  0.9577  0.8828
 4184.220  1.0512  0.8752
 4184.240  1.1270  0.8615
 4184.260  1.1708  0.8531
 4184.280  1.1814  0.8479
 4184.300  1.1670  0.8282
 4184.320  1.1458  0.8007
 4184.340 -1.0000  0.7438
 4184.360 -1.0000  0.6399
 4184.380 -1.0000  0.5055
 4184.400 -1.0000  0.5075
 4184.420 -1.0000  0.6500
 4184.440 -1.0000  0.7501
 4184.460  1.2083  0.7889
 4184.480  1.1971  0.7936
 4184.500 -1.0000  0.7710
 4184.520 -1.0000  0.6877
 4184.540 -1.0000  0.5861
 4184.560 -1.0000  0.5915
 4184.580 -1.0000  0.7135
 4184.600 -1.0000  0.7895
 4184.620  0.8469  0.8310
 4184.640  0.9189  0.8475
 4184.660  1.0182  0.8662
 4184.680  1.1027  0.8686
 4184.700  1.1489  0.8780
 4184.720  1.1559  0.8770
 4184.740  1.1414  0.8827
 4184.760  1.1281  0.8859
 4184.780  1.1282  0.8889
 4184.800  1.1389  0.8878
 4184.820  1.1492  0.8845
 4184.840  1.1520  0.8824
 4184.860  1.1516  0.8840
 4184.880  1.1570  0.8856
 4184.900  1.1687  0.8783
 4184.920  1.1790  0.8798
 4184.940  1.1822  0.8784
 4184.960  1.1797  0.8767
 4184.980  1.1757  0.8755
 4185.000  1.1690  0.8734
 4185.020  1.1500  0.8721
 4185.040  1.1080  0.8702
 4185.060  1.0447  0.8688
 4185.080  0.9809  0.8670
 4185.100  0.9458  0.8652
 4185.120  0.9580  0.8663
 4185.140  1.0127  0.8662
 4185.160  1.0816  0.8522
 4185.180  1.1304  0.8380
 4185.200  1.1443  0.8237
 4185.220  1.1362  0.8161
 4185.240  1.1294  0.8037
 4185.260  1.1332  0.8081
 4185.280  1.1416  0.8316
 4185.300  1.1490  0.8593
 4185.320  1.1545  0.8611
 4185.340  1.1574  0.8586
 4185.360  1.1611  0.8578
 4185.380  1.1696  0.8557
 4185.400  1.1794  0.8606
 4185.420  1.1836  0.8690
 4185.440  1.1793  0.8745
 4185.460  1.1712  0.8871
 4185.480  1.1669  0.8841
 4185.500  1.1669  0.8889
 4185.520  1.1674  0.8924
 4185.540  1.1656  0.8927
 4185.560  1.1606  0.8877
 4185.580  1.1549  0.8849
 4185.600  1.1523  0.8860
 4185.620  1.1529  0.8874
 4185.640  1.1531  0.8882
 4185.660  1.1495  0.8883
 4185.680  1.1435  0.8865
 4185.700  1.1402  0.8867
 4185.720  1.1402  0.8870
 4185.740  1.1372  0.8918
 4185.760  1.1242  0.8874
 4185.780  1.1024  0.8867
 4185.800  1.0859  0.8814
 4185.820  1.0926  0.8849
 4185.840  1.1225  0.8855
 4185.860  1.1462  0.8844
 4185.880  1.1205  0.8856
 4185.900  1.0240  0.8857
 4185.920  0.8854  0.8905
 4185.940  0.7713  0.8891
 4185.960  0.7437  0.8849
 4185.980  0.8158  0.8819
 4186.000  0.9397  0.8776
 4186.020  1.0390  0.8767
 4186.040  1.0598  0.8718
 4186.060  0.9992  0.8688
 4186.080  0.9008  0.8636
 4186.100  0.8145  0.8494
 4186.120  0.7606  0.8308
 4186.140  0.7320  0.8097
 4186.160  0.7159  0.7842
 4186.180  0.7150  0.7828
 4186.200  0.7517  0.8026
 4186.220  0.8410  0.8290
 4186.240  0.9650  0.8450
 4186.260  1.0819  0.8565
