           1.0000  1.0000
          -0.99    0.00  
 4597.000  0.9967  0.9918
 4597.020  0.9992  0.9891
 4597.040  1.0073  0.9934
 4597.060  1.0183  0.9934
 4597.080  1.0296  0.9976
 4597.100  1.0326  0.9922
 4597.120  1.0207  0.9959
 4597.140  0.9976  0.9992
 4597.160  0.9752  0.9989
 4597.180  0.9652  1.0004
 4597.200  0.9717  0.9969
 4597.220  0.9898  1.0004
 4597.240  1.0096  0.9978
 4597.260  1.0219  0.9953
 4597.280  1.0240  0.9992
 4597.300  1.0204  0.9957
 4597.320  1.0172  1.0002
 4597.340  1.0159  0.9932
 4597.360  1.0144  0.9982
 4597.380  1.0115  0.9981
 4597.400  1.0073  0.9945
 4597.420  1.0017  0.9918
 4597.440  0.9954  0.9924
 4597.460  0.9916  1.0001
 4597.480  0.9917  0.9912
 4597.500  0.9939  0.9962
 4597.520  0.9972  0.9957
 4597.540  1.0020  0.9961
 4597.560  1.0073  0.9923
 4597.580  1.0110  0.9878
 4597.600  1.0134  0.9857
 4597.620  1.0169  0.9803
 4597.640  1.0208  0.9697
 4597.660  1.0212  0.9718
 4597.680  1.0175  0.9806
 4597.700  1.0126  0.9820
 4597.720  1.0067  0.9720
 4597.740  0.9976  0.9736
 4597.760  0.9880  0.9867
 4597.780  0.9842  0.9945
 4597.800  0.9868  0.9958
 4597.820  0.9905  0.9963
 4597.840  0.9917  0.9970
 4597.860  0.9907  0.9955
 4597.880  0.9900  0.9941
 4597.900  0.9919  0.9976
 4597.920  0.9969  0.9943
 4597.940  1.0042  0.9991
 4597.960  1.0127  0.9982
 4597.980  1.0198  0.9956
 4598.000  1.0220  1.0004
 4598.020  1.0156  0.9969
 4598.040  0.9983  0.9956
 4598.060  0.9747  1.0010
 4598.080  0.9559  0.9965
 4598.100  0.9519  0.9928
 4598.120  0.9642  0.9921
 4598.140  0.9847  0.9906
 4598.160  1.0004  0.9920
 4598.180  1.0028  0.9923
 4598.200  0.9928  0.9894
 4598.220  0.9804  0.9911
 4598.240  0.9765  0.9912
 4598.260  0.9838  0.9887
 4598.280  0.9959  0.9941
 4598.300  1.0046  0.9896
 4598.320  1.0063  0.9904
 4598.340  1.0038  0.9829
 4598.360  1.0028  0.9840
 4598.380  1.0062  0.9805
 4598.400  1.0103  0.9772
 4598.420  1.0084  0.9773
 4598.440  0.9985  0.9717
 4598.460  0.9845  0.9690
 4598.480  0.9742  0.9642
 4598.500  0.9738  0.9594
 4598.520  0.9830  0.9484
 4598.540  0.9961  0.9391
 4598.560  1.0061  0.9225
 4598.580  1.0091  0.9081
 4598.600  1.0041  0.8788
 4598.620  0.9923  0.8359
 4598.640  0.9800  0.7856
 4598.660 -1.0000  0.7121
 4598.680 -1.0000  0.6285
 4598.700 -1.0000  0.5622
 4598.720 -1.0000  0.5520
 4598.740 -1.0000  0.6145
 4598.760 -1.0000  0.7016
 4598.780  1.0432  0.7780
 4598.800  1.0400  0.8363
 4598.820  1.0329  0.8744
 4598.840  1.0236  0.9020
 4598.860  1.0130  0.9173
 4598.880  1.0025  0.9384
 4598.900  0.9936  0.9471
 4598.920  0.9860  0.9555
 4598.940  0.9789  0.9606
 4598.960  0.9732  0.9685
 4598.980  0.9704  0.9704
 4599.000  0.9723  0.9793
 4599.020  0.9803  0.9816
 4599.040  0.9934  0.9851
 4599.060  1.0076  0.9873
 4599.080  1.0174  0.9862
 4599.100  1.0182  0.9888
 4599.120  1.0107  0.9885
 4599.140  1.0011  0.9935
 4599.160  0.9971  0.9928
 4599.180  1.0019  0.9916
 4599.200  1.0116  0.9913
 4599.220  1.0198  0.9921
 4599.240  1.0214  0.9884
 4599.260  1.0162  0.9941
 4599.280  1.0095  0.9933
 4599.300  1.0068  0.9957
 4599.320  1.0074  0.9919
 4599.340  1.0073  0.9944
 4599.360  1.0037  0.9956
 4599.380  0.9981  0.9987
 4599.400  0.9952  1.0012
 4599.420  0.9992  1.0025
 4599.440  1.0093  1.0006
 4599.460  1.0195  0.9966
 4599.480  1.0229  0.9962
 4599.500  1.0178  0.9995
 4599.520  1.0082  0.9974
 4599.540  1.0006  1.0016
 4599.560  1.0003  0.9964
 4599.580  1.0081  0.9952
 4599.600  1.0203  0.9918
 4599.620  1.0310  0.9908
 4599.640  1.0350  0.9896
 4599.660  1.0299  0.9891
 4599.680  1.0191  0.9956
 4599.700  1.0107  0.9965
 4599.720  1.0107  0.9979
 4599.740  1.0190  0.9990
 4599.760  1.0289  0.9942
 4599.780  1.0314  0.9927
 4599.800  1.0236  0.9927
 4599.820  1.0123  0.9892
 4599.840  1.0068  0.9878
 4599.860  1.0118  0.9887
 4599.880  1.0241  0.9922
 4599.900  1.0337  0.9931
 4599.920  1.0317  0.9886
 4599.940  1.0186  0.9906
 4599.960  1.0048  0.9850
 4599.980  0.9993  0.9812
 4600.000  1.0000  0.9709
 4600.020  0.9952  0.9600
 4600.040  0.9776  0.9356
 4600.060  0.9559  0.8977
 4600.080  0.9473  0.8250
 4600.100  0.9538  0.7593
 4600.120  0.9607  0.7675
 4600.140  0.9630  0.8423
 4600.160  0.9674  0.9087
 4600.180  0.9740  0.9451
 4600.200  0.9775  0.9622
 4600.220  0.9781  0.9739
 4600.240  0.9832  0.9825
 4600.260  0.9972  0.9888
 4600.280  1.0145  0.9902
 4600.300  1.0252  0.9930
 4600.320  1.0253  0.9992
 4600.340  1.0184  1.0003
 4600.360  1.0110  1.0010
 4600.380  1.0052  0.9961
 4600.400  0.9993  0.9966
 4600.420  0.9930  0.9979
 4600.440  0.9893  0.9994
 4600.460  0.9917  0.9994
 4600.480  1.0009  1.0031
 4600.500  1.0120  0.9981
 4600.520  1.0174  1.0016
 4600.540  1.0134  1.0005
 4600.560  1.0030  1.0005
 4600.580  0.9932  1.0021
 4600.600  0.9901  0.9987
 4600.620  0.9935  0.9977
 4600.640  0.9985  0.9943
 4600.660  1.0008  0.9971
 4600.680  1.0006  0.9975
 4600.700  1.0006  0.9961
 4600.720  1.0031  0.9972
 4600.740  1.0078  0.9969
 4600.760  1.0129  0.9985
 4600.780  1.0170  1.0025
 4600.800  1.0190  0.9982
 4600.820  1.0185  1.0032
 4600.840  1.0152  0.9974
 4600.860  1.0096  1.0017
 4600.880  1.0036  0.9981
 4600.900  1.0005  1.0020
 4600.920  1.0024  0.9977
 4600.940  1.0087  0.9999
 4600.960  1.0164  0.9972
 4600.980  1.0223  0.9986
 4601.000  1.0253  0.9986
 4601.020  1.0267  0.9986
 4601.040  1.0271  0.9977
 4601.060  1.0249  0.9981
 4601.080  1.0182  0.9995
 4601.100  1.0081  1.0044
 4601.120  1.0005  1.0035
 4601.140  1.0011  1.0032
 4601.160  1.0102  0.9980
 4601.180  1.0223  0.9981
 4601.200  1.0288  0.9975
 4601.220  1.0242  0.9941
 4601.240  1.0103  0.9980
 4601.260  0.9968  0.9985
 4601.280  0.9920  0.9986
 4601.300  0.9951  0.9981
 4601.320  0.9979  0.9999
 4601.340  0.9919  0.9976
 4601.360  0.9765  1.0044
 4601.380  0.9608  1.0018
 4601.400  0.9547  0.9990
 4601.420  0.9603  1.0007
 4601.440  0.9721  0.9962
 4601.460  0.9806  0.9994
 4601.480  0.9806  0.9946
 4601.500  0.9752  0.9978
 4601.520  0.9717  0.9956
 4601.540  0.9748  0.9986
 4601.560  0.9825  0.9944
 4601.580  0.9873  0.9933
 4601.600  0.9849  0.9925
 4601.620  0.9793  0.9937
 4601.640  0.9772  0.9879
 4601.660  0.9812  0.9811
 4601.680  0.9883  0.9776
 4601.700  0.9943  0.9649
 4601.720  0.9973  0.9505
 4601.740  0.9978  0.9272
 4601.760  0.9962  0.9142
 4601.780  0.9940  0.9211
 4601.800  0.9941  0.9422
 4601.820  0.9969  0.9533
 4601.840  0.9991  0.9699
 4601.860  0.9986  0.9783
 4601.880  0.9971  0.9858
 4601.900  0.9963  0.9892
 4601.920  0.9957  0.9916
 4601.940  0.9938  0.9939
 4601.960  0.9909  0.9951
 4601.980  0.9898  0.9966
 4602.000  0.9942  0.9955
 4602.020  1.0029  0.9864
 4602.040  1.0096  0.9843
 4602.060  1.0106  0.9863
 4602.080  1.0073  0.9846
 4602.100  1.0040  0.9881
 4602.120  1.0043  0.9866
 4602.140  1.0072  0.9854
 4602.160  1.0097  0.9776
 4602.180  1.0131  0.9620
 4602.200  1.0215  0.9230
 4602.220  1.0320  0.8777
 4602.240  1.0345  0.8736
 4602.260  1.0296  0.9219
 4602.280  1.0282  0.9624
 4602.300  1.0303  0.9756
 4602.320  1.0247  0.9821
 4602.340  1.0096  0.9912
 4602.360  0.9946  0.9843
 4602.380  0.9888  0.9895
 4602.400  0.9935  0.9856
 4602.420  1.0026  0.9841
 4602.440  1.0097  0.9834
 4602.460  1.0134  0.9771
 4602.480  1.0181  0.9881
 4602.500  1.0282  0.9851
 4602.520  1.0372  0.9793
 4602.540  1.0316  0.9752
 4602.560  1.0095  0.9754
 4602.580  0.9863  0.9645
 4602.600  0.9810  0.9362
 4602.620  0.9937  0.8998
 4602.640  1.0054  0.9039
 4602.660  1.0048  0.9322
 4602.680  0.9993  0.9367
 4602.700  0.9999  0.9093
 4602.720  1.0056  0.8629
 4602.740  1.0087  0.8743
 4602.760  1.0108  0.9231
 4602.780  1.0161  0.9419
 4602.800  1.0195  0.9396
 4602.820  1.0195  0.9057
 4602.840  1.0206  0.8391
 4602.860  1.0165  0.7899
 4602.880  1.0029  0.8440
 4602.900  0.9953  0.9224
 4602.920  1.0030  0.9589
 4602.940  1.0118  0.9700
 4602.960  1.0089  0.9820
 4602.980  1.0022  0.9898
 4603.000  1.0047  0.9879
 4603.020  1.0165  0.9980
 4603.040  1.0268  0.9953
 4603.060  1.0249  0.9982
 4603.080  1.0105  0.9978
 4603.100  0.9957  0.9959
 4603.120  0.9932  1.0013
 4603.140  1.0052  1.0005
 4603.160  1.0220  1.0005
 4603.180  1.0314  1.0006
 4603.200  1.0295  0.9963
 4603.220  1.0224  0.9985
 4603.240  1.0182  0.9969
 4603.260  1.0194  1.0025
 4603.280  1.0207  0.9982
 4603.300  1.0156  1.0012
 4603.320  1.0045  0.9974
 4603.340  0.9962  1.0057
 4603.360  0.9988  1.0024
 4603.380  1.0097  0.9968
 4603.400  1.0171  0.9986
