           0.98    1.0000
          -0.18    0.00  
 4697.000  0.9979  1.0122
 4697.020  1.0058  1.0106
 4697.040  1.0043  1.0118
 4697.060  0.9997  1.0133
 4697.080  0.9893  1.0143
 4697.100  0.9742  1.0147
 4697.120  0.9566  1.0132
 4697.140  0.9386  1.0125
 4697.160  0.9236  1.0125
 4697.180  0.9148  1.0050
 4697.200  0.9137  1.0019
 4697.220  0.9219  1.0005
 4697.240  0.9400  1.0058
 4697.260  0.9656  1.0076
 4697.280  0.9931  1.0111
 4697.300  1.0162  1.0118
 4697.320  1.0301  1.0134
 4697.340  1.0329  1.0153
 4697.360  1.0239  1.0124
 4697.380  1.0018  1.0101
 4697.400  0.9680  1.0107
 4697.420  0.9298  1.0126
 4697.440  0.8963  1.0124
 4697.460  0.8739  1.0129
 4697.480  0.8648  1.0163
 4697.500  0.8676  1.0170
 4697.520  0.8795  1.0189
 4697.540  0.8974  1.0176
 4697.560  0.9173  1.0150
 4697.580  0.9348  1.0134
 4697.600  0.9453  1.0111
 4697.620  0.9467  1.0091
 4697.640  0.9414  1.0086
 4697.660  0.9353  1.0096
 4697.680  0.9354  1.0119
 4697.700  0.9450  1.0128
 4697.720  0.9619  1.0140
 4697.740  0.9812  1.0143
 4697.760  0.9978  1.0130
 4697.780  1.0088  1.0118
 4697.800  1.0137  1.0103
 4697.820  1.0131  1.0090
 4697.840  1.0078  1.0088
 4697.860  0.9990  1.0097
 4697.880  0.9886  1.0113
 4697.900  0.9791  1.0132
 4697.920  0.9723  1.0145
 4697.940  0.9687  1.0147
 4697.960  0.9666  1.0138
 4697.980  0.9637  1.0120
 4698.000  0.9588  1.0098
 4698.020  0.9530  1.0081
 4698.040  0.9496  1.0072
 4698.060  0.9527  1.0076
 4698.080  0.9635  1.0088
 4698.100  0.9786  1.0105
 4698.120  0.9915  1.0118
 4698.140  0.9963  1.0122
 4698.160  0.9915  1.0115
 4698.180  0.9807  1.0098
 4698.200  0.9706  1.0077
 4698.220  0.9665  1.0059
 4698.240  0.9705  1.0052
 4698.260  0.9812  1.0059
 4698.280  0.9963  1.0077
 4698.300  1.0134  1.0102
 4698.320  1.0296  1.0124
 4698.340  1.0405  1.0133
 4698.360  1.0411  1.0126
 4698.380  1.0284  1.0103
 4698.400  1.0055  1.0068
 4698.420  0.9796  1.0032
 4698.440  0.9592  1.0005
 4698.460  0.9499  0.9996
 4698.480  0.9529  1.0007
 4698.500  0.9664  1.0034
 4698.520  0.9885  1.0070
 4698.540  1.0164  1.0104
 4698.560  1.0451  1.0126
 4698.580  1.0683  1.0131
 4698.600  1.0798  1.0121
 4698.620  1.0774  1.0101
 4698.640  1.0637  1.0081
 4698.660  1.0443  1.0070
 4698.680  1.0242  1.0072
 4698.700  1.0064  1.0089
 4698.720  0.9912  1.0113
 4698.740  0.9784  1.0136
 4698.760  0.9680  1.0150
 4698.780  0.9609  1.0148
 4698.800  0.9580  1.0130
 4698.820  0.9599  1.0103
 4698.840  0.9662  1.0076
 4698.860  0.9755  1.0057
 4698.880  0.9862  1.0055
 4698.900  0.9967  1.0069
 4698.920  1.0059  1.0094
 4698.940  1.0122  1.0119
 4698.960  1.0134  1.0133
 4698.980  1.0076  1.0128
 4699.000  0.9953  1.0102
 4699.020  0.9810  1.0061
 4699.040  0.9710  1.0017
 4699.060  0.9702  0.9984
 4699.080  0.9785  0.9972
 4699.100  0.9901  0.9985
 4699.120  0.9972  1.0017
 4699.140  0.9949  1.0057
 4699.160  0.9848  1.0087
 4699.180  0.9737  1.0093
 4699.200  0.9694  1.0068
