           1.0000  1.0000
          -0.18    0.00  
 4922.000  0.9345  0.9869
 4922.020  0.9215  1.0026
 4922.040  0.9355  1.0209
 4922.060  0.9531  1.0238
 4922.080  0.9720  1.0295
 4922.100  0.9800  1.0294
 4922.120  0.9711  1.0228
 4922.140  0.9515  1.0140
 4922.160  0.9374  0.9969
 4922.180  0.9438  0.9664
 4922.200  0.9681  0.9304
 4922.220  0.9909  0.9338
 4922.240  1.0015  0.9766
 4922.260  1.0067  1.0124
 4922.280  1.0131  1.0270
 4922.300  1.0183  1.0339
 4922.320  1.0176  1.0387
 4922.340  1.0086  1.0361
 4922.360  0.9925  1.0353
 4922.380  0.9755  1.0320
 4922.400  0.9660  1.0311
 4922.420  0.9700  1.0305
 4922.440  0.9863  1.0361
 4922.460  1.0066  1.0386
 4922.480  1.0202  1.0441
 4922.500  1.0204  1.0451
 4922.520  1.0089  1.0446
 4922.540  0.9943  1.0413
 4922.560  0.9863  1.0347
 4922.580  0.9896  1.0279
 4922.600  0.9997  1.0210
 4922.620  1.0068  1.0162
 4922.640  1.0018  1.0139
 4922.660  0.9815  1.0118
 4922.680  0.9519  1.0098
 4922.700  0.9245  1.0016
 4922.720  0.9097  0.9851
 4922.740  0.9115  0.9566
 4922.760  0.9249  0.9201
 4922.780  0.9404  0.8836
 4922.800  0.9505  0.8433
 4922.820  0.9525  0.8033
 4922.840  0.9477  0.7722
 4922.860  0.9407  0.7591
 4922.880  0.9373  0.7688
 4922.900  0.9419  0.7964
 4922.920  0.9555  0.8337
 4922.940  0.9775  0.8755
 4922.960  1.0063  0.9160
 4922.980  1.0375  0.9491
 4923.000  1.0637  0.9711
 4923.020  1.0752  0.9810
 4923.040  1.0670  0.9807
 4923.060  1.0453  0.9741
 4923.080  1.0237  0.9660
 4923.100  1.0155  0.9608
 4923.120  1.0248  0.9611
 4923.140  1.0425  0.9672
 4923.160  1.0538  0.9775
 4923.180  1.0480  0.9888
 4923.200  1.0248  0.9977
 4923.220  0.9934  1.0016
 4923.240  0.9656  0.9996
 4923.260  0.9494  0.9927
 4923.280  0.9470  0.9837
 4923.300  0.9557  0.9761
 4923.320  0.9715  0.9730
 4923.340  0.9905  0.9765
 4923.360  1.0082  0.9866
 4923.380  1.0198  1.0015
 4923.400  1.0214  1.0176
 4923.420  1.0130  1.0313
 4923.440  1.0004  1.0390
 4923.460  0.9921  1.0389
 4923.480  0.9952  1.0309
 4923.500  1.0115  1.0170
 4923.520  1.0346  1.0004
 4923.540  1.0539  0.9847
 4923.560  1.0598  0.9734
 4923.580  1.0483  0.9685
 4923.600  1.0232  0.9703
 4923.620  0.9928  0.9777
 4923.640  0.9651  0.9883
 4923.660  0.9460  0.9992
 4923.680  0.9388  1.0074
 4923.700  0.9457  1.0104
 4923.720  0.9666  1.0068
 4923.740  0.9962  0.9958
 4923.760  1.0236  0.9777
 4923.780  1.0355  0.9533
 4923.800  1.0230  0.9243
 4923.820  0.9891  0.8926
 4923.840  0.9459  0.8610
 4923.860  0.9088  0.8328
 4923.880  0.8885  0.8112
 4923.900  0.8873  0.7995
 4923.920  0.9022  0.8000
 4923.940  0.9295  0.8135
 4923.960  0.9633  0.8389
 4923.980  0.9951  0.8735
 4924.000  1.0164  0.9124
 4924.020  1.0224  0.9506
 4924.040  1.0147  0.9831
 4924.060  1.0000  1.0064
 4924.080  0.9856  1.0191
 4924.100  0.9755  1.0225
 4924.120  0.9696  1.0195
