           0.98    1.00  
          -1.04   -0.46  
 4797.000  0.9515  0.9978
 4797.020  0.8989  0.9744
 4797.040  0.8634  0.9958
 4797.060  0.8515  1.0012
 4797.080  0.8556  0.9932
 4797.100  0.8454  0.9863
 4797.120  0.8087  0.9926
 4797.140  0.7567  0.9948
 4797.160  0.7053  0.9782
 4797.180  0.6749  0.9527
 4797.200  0.6815  0.9309
 4797.220  0.7163  0.9144
 4797.240  0.7557  0.8973
 4797.260  0.7866  0.8758
 4797.280  0.8113  0.8519
 4797.300  0.8365  0.8273
 4797.320  0.8633  0.8005
 4797.340  0.8885  0.7686
 4797.360  0.9085  0.7311
 4797.380  0.9217  0.6916
 4797.400  0.9288  0.6550
 4797.420  0.9309  0.6284
 4797.440  0.9286  0.6189
 4797.460  0.9224  0.6285
 4797.480  0.9157  0.6561
 4797.500  0.9142  0.6946
 4797.520  0.9208  0.7325
 4797.540  0.9312  0.7628
 4797.560  0.9385  0.7833
 4797.580  0.9386  0.7982
 4797.600  0.9343  0.8191
 4797.620  0.9351  0.8535
 4797.640  0.9481  0.8950
 4797.660  0.9687  0.9287
 4797.680  0.9833  0.9474
 4797.700  0.9809  0.9563
 4797.720  0.9619  0.9594
 4797.740  0.9354  0.9569
 4797.760  0.9120  0.9508
 4797.780  0.8966  0.9473
 4797.800  0.8873  0.9515
 4797.820  0.8784  0.9612
 4797.840  0.8665  0.9704
 4797.860  0.8521  0.9759
 4797.880  0.8338  0.9785
 4797.900  0.8068  0.9818
 4797.920  0.7714  0.9913
 4797.940  0.7354  1.0050
 4797.960  0.7060  1.0092
 4797.980  0.6841  0.9929
 4798.000  0.6672  0.9663
 4798.020  0.6549  0.9551
 4798.040  0.6529  0.9652
 4798.060  0.6648  0.9776
 4798.080  0.6826  0.9867
 4798.100  0.6974  1.0031
 4798.120  0.7083  1.0197
 4798.140  0.7164  1.0185
 4798.160  0.7328  1.0018
 4798.180  0.7758  0.9866
 4798.200  0.8384  0.9813
 4798.220  0.8895  0.9833
 4798.240  0.9106  0.9869
 4798.260  0.9093  0.9868
 4798.280  0.9063  0.9813
 4798.300  0.9154  0.9738
 4798.320  0.9341  0.9690
 4798.340  0.9509  0.9673
 4798.360  0.9588  0.9655
 4798.380  0.9578  0.9669
 4798.400  0.9520  0.9743
 4798.420  0.9449  0.9791
 4798.440  0.9375  0.9748
 4798.460  0.9328  0.9656
 4798.480  0.9331  0.9558
 4798.500  0.9325  0.9450
 4798.520  0.9252  0.9313
 4798.540  0.9177  0.9181
 4798.560  0.9207  0.9133
 4798.580  0.9345  0.9199
 4798.600  0.9485  0.9350
 4798.620  0.9516  0.9549
 4798.640  0.9440  0.9722
 4798.660  0.9394  0.9754
 4798.680  0.9484  0.9572
 4798.700  0.9652  0.9261
 4798.720  0.9755  0.9047
 4798.740  0.9718  0.9025
 4798.760  0.9573  0.9067
 4798.780  0.9412  0.9125
 4798.800  0.9308  0.9265
 4798.820  0.9254  0.9383
 4798.840  0.9162  0.9304
 4798.860  0.9011  0.9040
 4798.880  0.8974  0.8729
 4798.900  0.9197  0.8540
 4798.920  0.9514  0.8565
 4798.940  0.9641  0.8729
 4798.960  0.9540  0.8912
 4798.980  0.9398  0.9057
 4799.000  0.9352  0.9104
 4799.020  0.9375  0.8945
 4799.040  0.9365  0.8547
 4799.060  0.9281  0.8071
 4799.080  0.9199  0.7723
 4799.100  0.9177  0.7558
 4799.120  0.9166  0.7518
 4799.140  0.9137  0.7551
 4799.160  0.9152  0.7634
 4799.180  0.9242  0.7766
 4799.200  0.9346  0.7956
 4799.220  0.9390  0.8212
 4799.240  0.9337  0.8486
 4799.260  0.9210  0.8729
 4799.280  0.9092  0.8975
 4799.300  0.9039  0.9245
 4799.320  0.9022  0.9478
 4799.340  0.9001  0.9610
 4799.360  0.8967  0.9650
 4799.380  0.8919  0.9685
 4799.400  0.8846  0.9763
 4799.420  0.8747  0.9811
 4799.440  0.8655  0.9755
 4799.460  0.8638  0.9590
 4799.480  0.8715  0.9308
 4799.500  0.8800  0.8903
 4799.520  0.8810  0.8432
 4799.540  0.8741  0.7994
