           0.9800  1.0000
          -0.97   -0.43  
 4500.960  0.8661  0.9863
 4500.980  0.8946  0.9697
 4501.000  0.9236  0.9716
 4501.020  0.9466  0.9917
 4501.040  0.9579  1.0090
 4501.060  0.9588  1.0147
 4501.080  0.9561  1.0110
 4501.100  0.9554  0.9995
 4501.120  0.9598  0.9859
 4501.140  0.9677  0.9765
 4501.160  0.9735  0.9718
 4501.180  0.9741  0.9717
 4501.200  0.9716  0.9737
 4501.220  0.9684  0.9636
 4501.240  0.9653  0.9303
 4501.260  0.9642  0.8886
 4501.280  0.9685  0.8503
 4501.300  0.9735  0.7945
 4501.320  0.9661  0.7050
 4501.340  0.9502  0.5956
 4501.360  0.9456  0.4872
 4501.380  0.9510  0.3995
 4501.400  0.9500  0.3466
 4501.420  0.9475  0.3273
 4501.440  0.9583  0.3331
 4501.460  0.9796  0.3589
 4501.480  0.9958  0.4066
 4501.500  0.9982  0.4844
 4501.520  0.9898  0.5891
 4501.540  0.9775  0.6913
 4501.560  0.9671  0.7651
 4501.580  0.9634  0.8201
 4501.600  0.9690  0.8721
 4501.620  0.9749  0.9137
 4501.640  0.9653  0.9454
 4501.660  0.9396  0.9823
 4501.680  0.9187  1.0151
 4501.700  0.9174  1.0198
 4501.720  0.9265  0.9981
 4501.740  0.9339  0.9705
 4501.760  0.9371  0.9548
 4501.780  0.9262  0.9543
 4501.800  0.8855  0.9564
 4501.820  0.8180  0.9541
 4501.840  0.7425  0.9574
 4501.860  0.6676  0.9736
 4501.880  0.5898  0.9967
 4501.900  0.5097  1.0139
 4501.920  0.4377  1.0155
 4501.940  0.3868  1.0042
 4501.960  0.3640  0.9906
 4501.980  0.3656  0.9836
 4502.000  0.3863  0.9844
 4502.020  0.4277  0.9837
 4502.040  0.4916  0.9686
 4502.060  0.5712  0.9373
 4502.080  0.6541  0.8961
 4502.100  0.7303  0.8476
 4502.120  0.7968  0.7914
 4502.140  0.8562  0.7324
 4502.160  0.9071  0.6840
 4502.180  0.9425  0.6572
 4502.200  0.9595  0.6506
 4502.220  0.9658  0.6533
 4502.240  0.9715  0.6533
 4502.260  0.9787  0.6479
 4502.280  0.9809  0.6444
 4502.300  0.9735  0.6468
 4502.320  0.9614  0.6492
 4502.340  0.9543  0.6486
 4502.360  0.9574  0.6550
 4502.380  0.9675  0.6830
 4502.400  0.9759  0.7368
 4502.420  0.9755  0.8059
 4502.440  0.9670  0.8713
 4502.460  0.9567  0.9183
 4502.480  0.9501  0.9432
 4502.500  0.9490  0.9530
 4502.520  0.9539  0.9537
 4502.540  0.9622  0.9451
 4502.560  0.9652  0.9284
 4502.580  0.9541  0.9062
 4502.600  0.9283  0.8796
 4502.620  0.8952  0.8509
 4502.640  0.8620  0.8255
 4502.660  0.8250  0.8136
 4502.680  0.7746  0.8252
 4502.700  0.7117  0.8591
 4502.720  0.6524  0.9028
 4502.740  0.6190  0.9433
 4502.760  0.6202  0.9688
 4502.780  0.6396  0.9764
 4502.800  0.6519  0.9785
 4502.820  0.6478  0.9823
 4502.840  0.6373  0.9819
 4502.860  0.6390  0.9790
 4502.880  0.6618  0.9791
 4502.900  0.6967  0.9772
 4502.920  0.7315  0.9664
 4502.940  0.7653  0.9489
 4502.960  0.8014  0.9341
 4502.980  0.8398  0.9311
 4503.000  0.8743  0.9404
 4503.020  0.8986  0.9574
 4503.040  0.9141  0.9741
 4503.060  0.9260  0.9812
 4503.080  0.9342  0.9786
 4503.100  0.9343  0.9743
 4503.120  0.9224  0.9721
 4503.140  0.8987  0.9700
 4503.160  0.8718  0.9643
 4503.180  0.8519  0.9549
 4503.200  0.8433  0.9510
 4503.220  0.8475  0.9609
 4503.240  0.8643  0.9777
 4503.260  0.8881  0.9864
 4503.280  0.9121  0.9801
 4503.300  0.9337  0.9675
 4503.320  0.9511  0.9626
 4503.340  0.9610  0.9658
 4503.360  0.9633  0.9649
 4503.380  0.9617  0.9537
 4503.400  0.9618  0.9400
