           0.97    0.98  
          -1.03   -0.46  
 4772.000  1.0026  0.8765
 4772.020  1.0941  0.8507
 4772.040  1.1031  0.8382
 4772.060  1.0516  0.8194
 4772.080  0.9537  0.8022
 4772.100  0.8880  0.7906
 4772.120  0.8687  0.7842
 4772.140  0.8555  0.7812
 4772.160  0.8327  0.7799
 4772.180  0.8083  0.7802
 4772.200  0.7903  0.7881
 4772.220  0.7814  0.8080
 4772.240  0.7782  0.8366
 4772.260  0.7762  0.8707
 4772.280  0.7762  0.9070
 4772.300  0.7812  0.9377
 4772.320  0.7906  0.9579
 4772.340  0.8034  0.9647
 4772.360  0.8213  0.9551
 4772.380  0.8429  0.9355
 4772.400  0.8611  0.9191
 4772.420  0.8684  0.9122
 4772.440  0.8644  0.9136
 4772.460  0.8545  0.9204
 4772.480  0.8439  0.9294
 4772.500  0.8345  0.9401
 4772.520  0.8284  0.9523
 4772.540  0.8288  0.9626
 4772.560  0.8374  0.9688
 4772.580  0.8518  0.9714
 4772.600  0.8646  0.9711
 4772.620  0.8672  0.9706
 4772.640  0.8545  0.9720
 4772.660  0.8286  0.9740
 4772.680  0.7981  0.9752
 4772.700  0.7737  0.9713
 4772.720  0.7631  0.9552
 4772.740  0.7695  0.9275
 4772.760  0.7905  0.8980
 4772.780  0.8169  0.8744
 4772.800  0.8383  0.8562
 4772.820  0.8506  0.8377
 4772.840  0.8593  0.8163
 4772.860  0.8730  0.8008
 4772.880  0.8942  0.8044
 4772.900  0.9163  0.8283
 4772.920  0.9324  0.8583
 4772.940  0.9414  0.8815
 4772.960  0.9465  0.8964
 4772.980  0.9511  0.9071
 4773.000  0.9546  0.9186
 4773.020  0.9539  0.9332
 4773.040  0.9489  0.9454
 4773.060  0.9447  0.9480
 4773.080  0.9460  0.9430
 4773.100  0.9526  0.9432
 4773.120  0.9602  0.9559
 4773.140  0.9663  0.9716
 4773.160  0.9718  0.9771
 4773.180  0.9783  0.9737
 4773.200  0.9852  0.9728
 4773.220  0.9902  0.9807
 4773.240  0.9886  0.9899
 4773.260  0.9788  0.9849
 4773.280  0.9654  0.9640
 4773.300  0.9537  0.9451
 4773.320  0.9428  0.9411
 4773.340  0.9284  0.9495
 4773.360  0.9089  0.9644
 4773.380  0.8874  0.9789
 4773.400  0.8683  0.9825
 4773.420  0.8542  0.9721
 4773.440  0.8464  0.9542
 4773.460  0.8465  0.9337
 4773.480  0.8534  0.9117
 4773.500  0.8632  0.8894
 4773.520  0.8737  0.8730
 4773.540  0.8861  0.8672
 4773.560  0.9029  0.8645
 4773.580  0.9222  0.8546
 4773.600  0.9382  0.8383
 4773.620  0.9461  0.8229
 4773.640  0.9469  0.8123
 4773.660  0.9462  0.8059
 4773.680  0.9484  0.7998
 4773.700  0.9520  0.7918
 4773.720  0.9526  0.7873
 4773.740  0.9472  0.7965
 4773.760  0.9380  0.8216
 4773.780  0.9320  0.8510
 4773.800  0.9337  0.8721
 4773.820  0.9403  0.8824
 4773.840  0.9457  0.8867
 4773.860  0.9464  0.8913
 4773.880  0.9455  0.9017
 4773.900  0.9471  0.9167
 4773.920  0.9488  0.9251
 4773.940  0.9459  0.9209
 4773.960  0.9406  0.9126
 4773.980  0.9399  0.9093
 4774.000  0.9470  0.9122
 4774.020  0.9556  0.9214
 4774.040  0.9548  0.9361
 4774.060  0.9403  0.9528
 4774.080  0.9172  0.9684
 4774.100  0.8948  0.9763
 4774.120  0.8805  0.9672
 4774.140  0.8748  0.9425
 4774.160  0.8705  0.9157
 4774.180  0.8597  0.8998
 4774.200  0.8414  0.8963
 4774.220  0.8207  0.8987
 4774.240  0.8036  0.8991
 4774.260  0.7929  0.8933
 4774.280  0.7884  0.8844
 4774.300  0.7911  0.8818
 4774.320  0.8034  0.8923
 4774.340  0.8262  0.9139
 4774.360  0.8561  0.9393
 4774.380  0.8854  0.9609
 4774.400  0.9062  0.9727
 4774.420  0.9145  0.9733
 4774.440  0.9126  0.9665
 4774.460  0.9083  0.9599
 4774.480  0.9094  0.9598
 4774.500  0.9160  0.9665
 4774.520  0.9219  0.9775
 4774.540  0.9223  0.9839
 4774.560  0.9177  0.9768
 4774.580  0.9128  0.9622
 4774.600  0.9131  0.9522
 4774.620  0.9222  0.9505
 4774.640  0.9390  0.9556
 4774.660  0.9563  0.9628
 4774.680  0.9646  0.9635
 4774.700  0.9611  0.9568
 4774.720  0.9527  0.9535
 4774.740  0.9472  0.9581
 4774.760  0.9442  0.9618
 4774.780  0.9375  0.9576
 4774.800  0.9237  0.9504
 4774.820  0.9081  0.9488
 4774.840  0.9008  0.9526
 4774.860  0.9041  0.9557
 4774.880  0.9113  0.9546
 4774.900  0.9161  0.9497
 4774.920  0.9158  0.9425
 4774.940  0.9138  0.9339
 4774.960  0.9206  0.9245
 4774.980  0.9411  0.9168
 4775.000  0.9653  0.9121
 4775.020  0.9767  0.9073
 4775.040  0.9691  0.9011
 4775.060  0.9517  0.8948
 4775.080  0.9410  0.8852
 4775.100  0.9452  0.8666
 4775.120  0.9583  0.8357
 4775.140  0.9684  0.7914
 4775.160  0.9679  0.7402
 4775.180  0.9594  0.6961
 4775.200  0.9511  0.6708
 4775.220  0.9490  0.6681
 4775.240  0.9536  0.6803
 4775.260  0.9594  0.6960
 4775.280  0.9594  0.7149
 4775.300  0.9517  0.7447
 4775.320  0.9410  0.7853
 4775.340  0.9338  0.8257
 4775.360  0.9315  0.8590
 4775.380  0.9317  0.8870
 4775.400  0.9342  0.9122
 4775.420  0.9386  0.9320
 4775.440  0.9413  0.9421
 4775.460  0.9411  0.9418
 4775.480  0.9385  0.9377
 4775.500  0.9318  0.9359
 4775.520  0.9208  0.9337
 4775.540  0.9104  0.9284
 4775.560  0.9082  0.9263
 4775.580  0.9149  0.9341
 4775.600  0.9196  0.9505
 4775.620  0.9097  0.9656
 4775.640  0.8839  0.9726
 4775.660  0.8520  0.9745
 4775.680  0.8252 -1.0000
 4775.700  0.8052 -1.0000
 4775.720  0.7847 -1.0000
 4775.740  0.7575 -1.0000
 4775.760  0.7272 -1.0000
 4775.780  0.7042 -1.0000
 4775.800  0.6986 -1.0000
 4775.820  0.7130 -1.0000
 4775.840  0.7417 -1.0000
 4775.860  0.7722 -1.0000
 4775.880  0.7862 -1.0000
 4775.900  0.7849 -1.0000
 4775.920  0.7950  0.9713
 4775.940  0.8228  0.9577
 4775.960  0.8471  0.9290
 4775.980  0.8643  0.8904
 4776.000  0.8865  0.8542
 4776.020  0.9129  0.8343
 4776.040  0.9324  0.8379
 4776.060  0.9394  0.8581
 4776.080  0.9372  0.8823
 4776.100  0.9342  0.9009
 4776.120  0.9350  0.9088
 4776.140  0.9371  0.9061
 4776.160  0.9373  0.8998
 4776.180  0.9368  0.8969
 4776.200  0.9375  0.8985
 4776.220  0.9396  0.8992
 4776.240  0.9396  0.8933
 4776.260  0.9336  0.8800
 4776.280  0.9237  0.8636
 4776.300  0.9176  0.8536
 4776.320  0.9205  0.8566
 4776.340  0.9308  0.8664
 4776.360  0.9440  0.8739
 4776.380  0.9571  0.8773
 4776.400  0.9678  0.8796
 4776.420  0.9734  0.8831
 4776.440  0.9713  0.8917
 4776.460  0.9628  0.9104
 4776.480  0.9548  0.9349
 4776.500  0.9513  0.9520
 4776.520  0.9455  0.9561
