           1.05    1.15  
          -0.91   -0.41  
 4222.000  0.8291  0.3116
 4222.020  0.8418 -1.0000
 4222.040  0.8663 -1.0000
 4222.060  0.8460 -1.0000
 4222.080  0.8024 -1.0000
 4222.100  0.7901 -1.0000
 4222.120  0.8195 -1.0000
 4222.140  0.8557 -1.0000
 4222.160  0.8823 -1.0000
 4222.180  0.9059 -1.0000
 4222.200  0.9291 -1.0000
 4222.220  0.9435  0.7247
 4222.240  0.9418  0.8045
 4222.260  0.9259  0.9072
 4222.280  0.9018  1.0078
 4222.300  0.8719  1.0906
 4222.320  0.8343  1.1450
 4222.340  0.7861  1.1636
 4222.360  0.7267  1.1555
 4222.380  0.6574  1.1407
 4222.400  0.5794  1.1304
 4222.420  0.4970  1.1241
 4222.440  0.4222  1.1193
 4222.460  0.3680  1.1146
 4222.480  0.3380  1.1101
 4222.500  0.3249  1.1077
 4222.520  0.3168  1.1093
 4222.540  0.3070  1.1163
 4222.560  0.2979  1.1254
 4222.580  0.2951  1.1325
 4222.600  0.3006  1.1367
 4222.620  0.3145  1.1281
 4222.640  0.3371  1.1006
 4222.660  0.3717  1.0704
 4222.680  0.4236  1.0582
 4222.700  0.4957  1.0678
 4222.720  0.5836  1.0858
 4222.740  0.6786  1.0973
 4222.760  0.7718  1.0956
 4222.780  0.8547  1.0843
 4222.800  0.9201  1.0810
 4222.820  0.9650  1.0990
 4222.840  0.9928  1.1268
 4222.860  1.0107  1.1470
 4222.880  1.0232  1.1540
 4222.900  1.0309  1.1418
 4222.920  1.0350  1.1081
 4222.940  1.0351  1.0730
 4222.960  1.0293  1.0621
 4222.980  1.0209  1.0795
 4223.000  1.0150  1.1076
 4223.020  1.0123  1.1256
 4223.040  1.0107  1.1269
 4223.060  1.0084  1.1159
 4223.080  1.0051  1.0968
 4223.100  0.9987  1.0769
 4223.120  0.9880  1.0629
 4223.140  0.9765  1.0523
 4223.160  0.9692  1.0331
 4223.180  0.9668  0.9922
 4223.200  0.9643  0.9219
 4223.220  0.9587  0.8137
 4223.240  0.9570  0.6715
 4223.260  0.9660  0.5307
 4223.280  0.9790  0.4363
 4223.300  0.9849 -1.0000
 4223.320  0.9866 -1.0000
 4223.340  0.9962 -1.0000
 4223.360  1.0169 -1.0000
 4223.380  1.0388 -1.0000
 4223.400 -1.0000 -1.0000
 4223.420 -1.0000 -1.0000
 4223.440 -1.0000 -1.0000
 4223.460 -1.0000  0.5582
 4223.480 -1.0000  0.6570
 4223.500 -1.0000  0.7816
 4223.520 -1.0000  0.8786
 4223.540  1.0916 -1.0000
 4223.560  1.0696 -1.0000
 4223.580  1.0342 -1.0000
 4223.600  0.9954 -1.0000
 4223.620  0.9604 -1.0000
 4223.640 -1.0000 -1.0000
 4223.660 -1.0000  1.1646
 4223.680 -1.0000  1.1855
 4223.700 -1.0000  1.1898
 4223.720 -1.0000  1.1758
 4223.740  0.6004 -1.0000
 4223.760  0.5324 -1.0000
 4223.780  0.4500 -1.0000
 4223.800  0.3713 -1.0000
 4223.820  0.3066 -1.0000
 4223.840  0.2679 -1.0000
 4223.860 -1.0000 -1.0000
 4223.880 -1.0000 -1.0000
 4223.900 -1.0000 -1.0000
 4223.920 -1.0000 -1.0000
 4223.940 -1.0000 -1.0000
 4223.960 -1.0000 -1.0000
 4223.980 -1.0000  0.6015
 4224.000 -1.0000  0.5041
 4224.020 -1.0000  0.4086
 4224.040 -1.0000  0.3538
 4224.060  0.9251  0.3383
 4224.080  0.9306  0.3408
 4224.100  0.9390 -1.0000
 4224.120  0.9544 -1.0000
 4224.140  0.9684 -1.0000
 4224.160  0.9714 -1.0000
 4224.180  0.9620 -1.0000
 4224.200  0.9509 -1.0000
 4224.220  0.9486 -1.0000
 4224.240  0.9521 -1.0000
 4224.260  0.9489 -1.0000
 4224.280  0.9307 -1.0000
 4224.300  0.9018 -1.0000
 4224.320  0.8704 -1.0000
 4224.340  0.8346 -1.0000
 4224.360  0.7898 -1.0000
 4224.380  0.7435 -1.0000
 4224.400 -1.0000 -1.0000
 4224.420 -1.0000 -1.0000
 4224.440 -1.0000 -1.0000
 4224.460 -1.0000 -1.0000
 4224.480 -1.0000 -1.0000
 4224.500  0.4296 -1.0000
 4224.520  0.3933 -1.0000
 4224.540  0.3596 -1.0000
 4224.560  0.3389  0.8101
 4224.580  0.3326  0.8691
 4224.600  0.3364  0.9536
 4224.620  0.3509  1.0441
 4224.640  0.3808  1.1150
 4224.660  0.4292  1.1528
 4224.680  0.4905  1.1586
 4224.700  0.5520  1.1396
 4224.720  0.6031  1.1097
 4224.740  0.6426  1.0868
 4224.760  0.6792  1.0779
 4224.780  0.7235  1.0764
 4224.800  0.7740  1.0737
 4224.820  0.8132  1.0627
 4224.840  0.8207  1.0357
 4224.860  0.7897  0.9903
 4224.880  0.7310  0.9398
 4224.900  0.6616  0.9064
 4224.920  0.5931  0.9063
 4224.940  0.5316  0.9379
 4224.960  0.4834  0.9798
 4224.980  0.4572  1.0069
 4225.000  0.4616  1.0094
 4225.020  0.4987  0.9933
 4225.040  0.5607  0.9733
 4225.060  0.6367  0.9587
 4225.080  0.7183  0.9454
 4225.100  0.7979  0.9277
 4225.120  0.8684  0.9087
 4225.140  0.9221  0.8984
 4225.160  0.9530  0.9107
 4225.180  0.9645  0.9475
 4225.200  0.9672  0.9916
 4225.220  0.9701  1.0238
 4225.240  0.9751  1.0382
 4225.260  0.9780  1.0416
 4225.280  0.9754  1.0457
 4225.300  0.9692  1.0538
 4225.320  0.9605  1.0588
 4225.340  0.9451  1.0538
 4225.360  0.9199  1.0307
 4225.380  0.8898  0.9826
 4225.400  0.8664  0.9134
 4225.420  0.8605  0.8308
 4225.440  0.8732  0.7394
 4225.460  0.8960  0.6454
 4225.480  0.9170  0.5545
 4225.500  0.9274  0.4721
 4225.520  0.9249  0.4056
 4225.540  0.9125  0.3608
 4225.560  0.8946  0.3401
 4225.580  0.8760  0.3436
 4225.600  0.8607  0.3720
 4225.620  0.8502  0.4256
 4225.640  0.8442  0.4994
 4225.660  0.8426  0.5820
 4225.680  0.8482  0.6584
 4225.700  0.8659  0.7130
 4225.720  0.8960  0.7362
 4225.740  0.9293  0.7342
 4225.760  0.9536  0.7289
 4225.780  0.9643  0.7461
 4225.800  0.9633  0.7986
 4225.820  0.9522  0.8722
 4225.840  0.9291  0.9377
 4225.860  0.8939  0.9744
 4225.880  0.8503  0.9730
 4225.900  0.8009  0.9302
 4225.920  0.7430  0.8497
 4225.940  0.6732  0.7428
 4225.960  0.5938  0.6264
 4225.980  0.5168  0.5200
 4226.000  0.4564  0.4471
 4226.020  0.4168 -1.0000
 4226.040  0.3902 -1.0000
 4226.060  0.3683 -1.0000
 4226.080  0.3523 -1.0000
 4226.100  0.3497 -1.0000
 4226.120  0.3622 -1.0000
 4226.140 -1.0000 -1.0000
 4226.160 -1.0000 -1.0000
 4226.180 -1.0000 -1.0000
 4226.200 -1.0000  0.5690
 4226.220 -1.0000  0.6080
 4226.240 -1.0000  0.6725
 4226.260 -1.0000  0.7602
 4226.280 -1.0000  0.8603
 4226.300  0.7635  0.9500
 4226.320  0.7761  1.0064
 4226.340  0.7981  1.0275
 4226.360  0.8250  1.0308
 4226.380  0.8346  1.0300
 4226.400  0.8093  1.0245
 4226.420  0.7488  1.0107
 4226.440  0.6664  0.9928
 4226.460  0.5797  0.9817
 4226.480  0.5004  0.9886
 4226.500  0.4335  1.0152
 4226.520  0.3823  1.0517
 4226.540  0.3507  1.0849
 4226.560  0.3390  1.1085
 4226.580  0.3434  1.1243
 4226.600  0.3574  1.1300
 4226.620  0.3759  1.1131
 4226.640  0.3983  1.0667
 4226.660  0.4267  1.0003
 4226.680  0.4613  0.9285
 4226.700  0.5015  0.8621
 4226.720  0.5495  0.8000
 4226.740  0.6086  0.7304
 4226.760  0.6789  0.6479
 4226.780  0.7546  0.5623
 4226.800  0.8259  0.4907
 4226.820  0.8852  0.4466
 4226.840  0.9294  0.4373
 4226.860  0.9585  0.4695
 4226.880  0.9738  0.5470
 4226.900  0.9758  0.6624
 4226.920  0.9655  0.7963
 4226.940  0.9499  0.9213
 4226.960  0.9380  1.0131
 4226.980  0.9348  1.0684
 4227.000  0.9410  1.0988
 4227.020  0.9530  1.1163
 4227.040  0.9666  1.1280
 4227.060  0.9787  1.1360
 4227.080  0.9853  1.1420
 4227.100  0.9819  1.1481
 4227.120  0.9678  1.1544
 4227.140  0.9460  1.1598
 4227.160  0.9197  1.1624
 4227.180  0.8878  1.1641
 4227.200  0.8448  1.1692
 4227.220  0.7853  1.1729
 4227.240  0.7094  1.1622
 4227.260  0.6257  1.1353
 4227.280  0.5479  1.1051
 4227.300  0.4885  1.0821
 4227.320  0.4548  1.0711
 4227.340  0.4491  1.0755
 4227.360  0.4719  1.0887
 4227.380  0.5228  1.0953
 4227.400  0.6003  1.0811
 4227.420  0.6962  1.0374
 4227.440  0.7933  0.9725
 4227.460  0.8766  0.9150
 4227.480  0.9414  0.8901
 4227.500  0.9879  0.9001
 4227.520  1.0173  0.9309
 4227.540  1.0324  0.9602
 4227.560  1.0372  0.9654
 4227.580  1.0373  0.9348
 4227.600  1.0392  0.8711
 4227.620  1.0455  0.7832
 4227.640  1.0534  0.6780
 4227.660  1.0574  0.5641
 4227.680  1.0534  0.4567
 4227.700  1.0435  0.3707
 4227.720  1.0346  0.3113
 4227.740  1.0325  0.2750
 4227.760  1.0384  0.2553
 4227.780  1.0483  0.2492
 4227.800  1.0562  0.2594
 4227.820  1.0563  0.2873
 4227.840  1.0463  0.3257
 4227.860  1.0277  0.3588
 4227.880  1.0024  0.3725
 4227.900  0.9709  0.3658
 4227.920  0.9338  0.3470
 4227.940  0.8954  0.3237
 4227.960  0.8633  0.3031
 4227.980  0.8456  0.2954
 4228.000  0.8438  0.3112
 4228.020  0.8497  0.3526
 4228.040  0.8506  0.4077
 4228.060  0.8381  0.4595
 4228.080  0.8099  0.4955
 4228.100  0.7628  0.5141
 4228.120  0.6947  0.5281
 4228.140  0.6157  0.5537
 4228.160  0.5410  0.5980
 4228.180  0.4757  0.6537
 4228.200  0.4149  0.7032
 4228.220  0.3569  0.7378
 4228.240  0.3092  0.7675
 4228.260  0.2816  0.8071
 4228.280  0.2768  0.8622
 4228.300  0.2890  0.9272
 4228.320  0.3085  0.9942
 4228.340  0.3266  1.0573
 4228.360  0.3373  1.1108
 4228.380  0.3387  1.1498
 4228.400  0.3321  1.1719
 4228.420  0.3229  1.1760
 4228.440  0.3186  1.1628
 4228.460  0.3245  1.1454
 4228.480  0.3406  1.1364
 4228.500  0.3639  1.1257
 4228.520  0.3914  1.1024
 4228.540  0.4207  1.0833
 4228.560  0.4469  1.0882
 4228.580  0.4634  1.1086
 4228.600  0.4693  1.1250
 4228.620  0.4743  1.1343
 4228.640  0.4917  1.1387
 4228.660  0.5264  1.1338
 4228.680  0.5722  1.1165
 4228.700  0.6172  1.0921
 4228.720  0.6552  1.0671
 4228.740  0.6885  1.0431
 4228.760  0.7240  1.0166
 4228.780  0.7659  0.9829
 4228.800  0.8137  0.9338
 4228.820  0.8639  0.8585
 4228.840  0.9143  0.7598
 4228.860  0.9629  0.6534
 4228.880  1.0039  0.5508
 4228.900  1.0310  0.4582
 4228.920  1.0433  0.3840
 4228.940  1.0445  0.3371
 4228.960  1.0377  0.3202
 4228.980  1.0255  0.3262
 4229.000  1.0123  0.3401
 4229.020  1.0046  0.3490
 4229.040  1.0082  0.3552
 4229.060  1.0205  0.3716
 4229.080  1.0292  0.3998
 4229.100  1.0256 -1.0000
 4229.120  1.0145 -1.0000
 4229.140  1.0088 -1.0000
 4229.160  1.0141 -1.0000
 4229.180  1.0216 -1.0000
 4229.200  1.0187 -1.0000
 4229.220 -1.0000 -1.0000
 4229.240 -1.0000 -1.0000
 4229.260 -1.0000  0.8495
 4229.280 -1.0000  0.8317
 4229.300 -1.0000  0.8028
 4229.320 -1.0000  0.7818
 4229.340  0.7233  0.7784
 4229.360  0.6379  0.7925
 4229.380  0.5311  0.8218
 4229.400  0.4416  0.8652
 4229.420  0.3869  0.9150
 4229.440  0.3564  0.9562
 4229.460  0.3386  0.9814
 4229.480  0.3320  0.9966
 4229.500  0.3371  1.0137
 4229.520  0.3479  1.0439
 4229.540  0.3530  1.0804
 4229.560  0.3493  1.0994
 4229.580  0.3510  1.0916
 4229.600  0.3739  1.0661
 4229.620  0.4177  1.0265
 4229.640  0.4699  0.9670
 4229.660  0.5194  0.8823
 4229.680  0.5649  0.7762
 4229.700  0.6130  0.6601
 4229.720  0.6664  0.5438
 4229.740  0.7171  0.4385
 4229.760  0.7525  0.3586
 4229.780  0.7645  0.3134
 4229.800  0.7555  0.3072
 4229.820  0.7372  0.3381
 4229.840  0.7213  0.3963
 4229.860  0.7146  0.4641
 4229.880  0.7212  0.5189
 4229.900  0.7418 -1.0000
 4229.920  0.7716 -1.0000
 4229.940  0.8029 -1.0000
 4229.960  0.8289 -1.0000
