           0.98    0.99  
          -1.03   -0.46  
 4747.000  1.0179  0.9279
 4747.020  1.0844  0.9376
 4747.040  1.0314  0.9195
 4747.060  0.9867  0.9009
 4747.080  0.9475  0.8805
 4747.100  0.9379  0.8648
 4747.120  0.9493  0.8464
 4747.140  0.9640  0.8167
 4747.160  0.9746  0.7781
 4747.180  0.9781  0.7323
 4747.200  0.9738  0.6766
 4747.220  0.9666  0.6142
 4747.240  0.9641  0.5566
 4747.260  0.9703  0.5172
 4747.280  0.9812  0.5050
 4747.300  0.9879  0.5179
 4747.320  0.9859  0.5450
 4747.340  0.9796  0.5768
 4747.360  0.9762  0.6131
 4747.380  0.9767  0.6575
 4747.400  0.9767  0.7064
 4747.420  0.9736  0.7481
 4747.440  0.9692  0.7719
 4747.460  0.9673  0.7743
 4747.480  0.9698  0.7592
 4747.500  0.9734  0.7340
 4747.520  0.9726  0.7051
 4747.540  0.9658  0.6791
 4747.560  0.9577  0.6648
 4747.580  0.9523  0.6675
 4747.600  0.9475  0.6887
 4747.620  0.9389  0.7281
 4747.640  0.9232  0.7808
 4747.660  0.9006  0.8378
 4747.680  0.8735  0.8884
 4747.700  0.8429  0.9239
 4747.720  0.8080  0.9418
 4747.740  0.7688  0.9448
 4747.760  0.7274  0.9380
 4747.780  0.6873  0.9276
 4747.800  0.6514  0.9171
 4747.820  0.6201  0.9084
 4747.840  0.5936  0.9061
 4747.860  0.5753  0.9123
 4747.880  0.5700  0.9182
 4747.900  0.5808  0.9162
 4747.920  0.6062  0.9121
 4747.940  0.6412  0.9140
 4747.960  0.6793  0.9256
 4747.980  0.7138  0.9464
 4748.000  0.7375  0.9658
 4748.020  0.7444  0.9695
 4748.040  0.7356  0.9571
 4748.060  0.7188  0.9428
 4748.080  0.7028  0.9393
 4748.100  0.6927  0.9458
 4748.120  0.6883  0.9501
 4748.140  0.6885  0.9409
 4748.160  0.6966  0.9169
 4748.180  0.7193  0.8860
 4748.200  0.7614  0.8619
 4748.220  0.8181  0.8496
 4748.240  0.8743  0.8404
 4748.260  0.9150  0.8291
 4748.280  0.9358  0.8219
 4748.300  0.9410  0.8201
 4748.320  0.9380  0.8185
 4748.340  0.9348  0.8189
 4748.360  0.9356  0.8260
 4748.380  0.9393  0.8410
 4748.400  0.9437  0.8617
 4748.420  0.9488  0.8804
 4748.440  0.9529  0.8918
 4748.460  0.9529  0.8985
 4748.480  0.9473  0.9055
 4748.500  0.9392  0.9163
 4748.520  0.9348  0.9286
 4748.540  0.9377  0.9364
 4748.560  0.9461  0.9393
 4748.580  0.9538  0.9410
 4748.600  0.9557  0.9436
 4748.620  0.9539  0.9484
 4748.640  0.9540  0.9539
 4748.660  0.9573  0.9574
 4748.680  0.9584  0.9589
 4748.700  0.9504  0.9604
 4748.720  0.9330  0.9630
 4748.740  0.9134  0.9639
 4748.760  0.8981  0.9590
 4748.780  0.8875  0.9517
 4748.800  0.8790  0.9500
 4748.820  0.8698  0.9548
 4748.840  0.8594  0.9599
 4748.860  0.8500  0.9593
 4748.880  0.8424  0.9512
 4748.900  0.8360  0.9400
 4748.920  0.8331  0.9321
 4748.940  0.8390  0.9322
 4748.960  0.8562  0.9386
 4748.980  0.8792  0.9434
 4749.000  0.8959  0.9406
 4749.020  0.8983  0.9288
 4749.040  0.8909  0.9093
 4749.060  0.8855  0.8883
 4749.080  0.8917  0.8714
 4749.100  0.9093  0.8565
 4749.120  0.9292  0.8424
 4749.140  0.9442  0.8316
 4749.160  0.9536  0.8236
 4749.180  0.9595  0.8185
 4749.200  0.9617  0.8196
 4749.220  0.9590  0.8278
 4749.240  0.9539  0.8420
 4749.260  0.9531  0.8609
 4749.280  0.9598  0.8823
 4749.300  0.9705  0.9025
 4749.320  0.9790  0.9180
 4749.340  0.9818  0.9281
 4749.360  0.9792  0.9339
 4749.380  0.9738  0.9352
 4749.400  0.9682  0.9334
 4749.420  0.9620  0.9333
 4749.440  0.9540  0.9359
 4749.460  0.9459  0.9359
 4749.480  0.9420  0.9311
 4749.500  0.9440  0.9274
 4749.520  0.9494  0.9339
 4749.540  0.9539  0.9499
 4749.560  0.9546  0.9630
 4749.580  0.9508  0.9631
 4749.600  0.9425  0.9538
 4749.620  0.9284  0.9469
 4749.640  0.9074  0.9528
 4749.660  0.8818  0.9717
 4749.680  0.8583  0.9912
 4749.700  0.8436  0.9945
 4749.720  0.8410  0.9793
 4749.740  0.8485  0.9624
 4749.760  0.8595  0.9577
 4749.780  0.8663  0.9659
 4749.800  0.8668  0.9778
 4749.820  0.8656  0.9795
 4749.840  0.8692  0.9669
 4749.860  0.8808  0.9480
 4749.880  0.8984  0.9317
 4749.900  0.9170  0.9230
 4749.920  0.9337  0.9225
 4749.940  0.9488  0.9241
 4749.960  0.9622  0.9237
 4749.980  0.9718  0.9235
 4750.000  0.9733  0.9251
 4750.020  0.9659  0.9263
 4750.040  0.9548  0.9241
 4750.060  0.9477  0.9183
 4750.080  0.9481  0.9134
 4750.100  0.9522  0.9127
 4750.120  0.9530  0.9133
 4750.140  0.9492  0.9117
 4750.160  0.9462  0.9054
 4750.180  0.9486  0.8933
 4750.200  0.9550  0.8781
 4750.220  0.9600  0.8640
 4750.240  0.9603  0.8549
 4750.260  0.9592  0.8534
 4750.280  0.9619  0.8508
 4750.300  0.9696  0.8320
 4750.320  0.9794  0.7981
 4750.340  0.9864  0.7641
 4750.360  0.9854  0.7434
 4750.380  0.9763  0.7460
 4750.400  0.9628  0.7732
 4750.420  0.9479  0.8135
 4750.440  0.9338  0.8528
 4750.460  0.9232  0.8829
 4750.480  0.9171  0.9012
 4750.500  0.9149  0.9101
 4750.520  0.9141  0.9151
 4750.540  0.9118  0.9191
 4750.560  0.9093  0.9217
 4750.580  0.9116  0.9206
 4750.600  0.9199  0.9139
 4750.620  0.9288  0.9022
 4750.640  0.9323  0.8861
 4750.660  0.9306  0.8665
 4750.680  0.9307  0.8482
 4750.700  0.9382  0.8338
 4750.720  0.9496  0.8148
 4750.740  0.9548  0.7848
 4750.760  0.9458  0.7538
 4750.780  0.9234  0.7378
 4750.800  0.8974  0.7435
 4750.820  0.8771  0.7673
 4750.840  0.8640  0.8013
 4750.860  0.8537  0.8364
 4750.880  0.8406  0.8617
 4750.900  0.8219  0.8704
 4750.920  0.8007  0.8691
 4750.940  0.7834  0.8690
 4750.960  0.7773  0.8752
 4750.980  0.7879  0.8892
 4751.000  0.8150  0.9097
 4751.020  0.8512  0.9294
 4751.040  0.8867  0.9433
 4751.060  0.9151  0.9524
 4751.080  0.9333  0.9551
 4751.100  0.9409  0.9484
 4751.120  0.9405  0.9315
 4751.140  0.9366  0.9063
 4751.160  0.9326  0.8784
 4751.180  0.9289  0.8540
 4751.200  0.9221  0.8360
 4751.220  0.9073  0.8223
 4751.240  0.8834  0.8073
 4751.260  0.8548  0.7898
 4751.280  0.8290  0.7788
 4751.300  0.8110  0.7852
