           0.9800  1.0000
          -0.97   -0.43  
 4472.000  0.9522 -1.0000
 4472.020  0.9587 -1.0000
 4472.040  0.9659 -1.0000
 4472.060  0.9643 -1.0000
 4472.080  0.9462  0.8830
 4472.100  0.9099  0.9033
 4472.120  0.8708  0.8931
 4472.140  0.8479  0.8918
 4472.160  0.8434  0.9149
 4472.180  0.8495  0.9495
 4472.200  0.8598  0.9747
 4472.220  0.8726  0.9805
 4472.240  0.8896  0.9751
 4472.260  0.9100  0.9761
 4472.280  0.9265  0.9885
 4472.300  0.9326  1.0018
 4472.320  0.9312  1.0082
 4472.340  0.9310  1.0070
 4472.360  0.9337  0.9974
 4472.380  0.9350  0.9796
 4472.400  0.9356  0.9579
 4472.420  0.9394  0.9376
 4472.440  0.9428  0.9214
 4472.460  0.9388  0.9071
 4472.480  0.9291  0.8952
 4472.500  0.9206  0.8906
 4472.520  0.9168  0.8980
 4472.540  0.9141  0.9177
 4472.560  0.9056  0.9438
 4472.580  0.8877  0.9655
 4472.600  0.8650  0.9737
 4472.620  0.8457  0.9763
 4472.640  0.8357  0.9894
 4472.660  0.8359  0.9973
 4472.680  0.8441  0.9812
 4472.700  0.8600  0.9706
 4472.720  0.8843  0.9881
 4472.740  0.9125  1.0057
 4472.760  0.9378  1.0003
 4472.780  0.9567  0.9866
 4472.800  0.9665  0.9805
 4472.820  0.9670  0.9771
 4472.840  0.9622  0.9691
 4472.860  0.9556  0.9565
 4472.880  0.9467  0.9448
 4472.900  0.9358  0.9421
 4472.920  0.9270  0.9478
 4472.940  0.9233  0.9512
 4472.960  0.9221  0.9420
 4472.980  0.9165  0.9206
 4473.000  0.9035  0.9006
 4473.020  0.8878  0.8963
 4473.040  0.8762  0.9091
 4473.060  0.8732  0.9294
 4473.080  0.8815  0.9454
 4473.100  0.9008  0.9531
 4473.120  0.9269  0.9565
 4473.140  0.9529  0.9589
 4473.160  0.9720  0.9609
 4473.180  0.9799  0.9601
 4473.200  0.9769  0.9535
 4473.220  0.9666  0.9436
 4473.240  0.9542  0.9371
 4473.260  0.9419  0.9376
 4473.280  0.9304  0.9446
 4473.300  0.9216  0.9533
 4473.320  0.9179  0.9565
 4473.340  0.9196  0.9517
 4473.360  0.9230  0.9445
 4473.380  0.9227  0.9448
 4473.400  0.9168  0.9600
 4473.420  0.9109  0.9844
 4473.440  0.9128  1.0020
