           0.99    1.0000
          -1.00   -0.44  
 4600.940  0.9219  0.5090
 4600.960  0.9323  0.4746
 4600.980  0.9390  0.4525
 4601.000  0.9445  0.4424
 4601.020  0.9477  0.4416
 4601.040  0.9462  0.4457
 4601.060  0.9416  0.4537
 4601.080  0.9396  0.4709
 4601.100  0.9461  0.5032
 4601.120  0.9610  0.5521
 4601.140  0.9761  0.6157
 4601.160  0.9821  0.6918
 4601.180  0.9773  0.7765
 4601.200  0.9670  0.8584
 4601.220  0.9579  0.9227
 4601.240  0.9532  0.9638
 4601.260  0.9530  0.9839
 4601.280  0.9567  0.9884
 4601.300  0.9649  0.9852
 4601.320  0.9745  0.9777
 4601.340  0.9758  0.9674
 4601.360  0.9581  0.9607
 4601.380  0.9177  0.9627
 4601.400  0.8596  0.9713
 4601.420  0.7930  0.9803
 4601.440  0.7230  0.9855
 4601.460  0.6509  0.9880
 4601.480  0.5815  0.9891
 4601.500  0.5247  0.9907
 4601.520  0.4892  0.9957
 4601.540  0.4760  1.0018
 4601.560  0.4765  1.0025
 4601.580  0.4794  0.9971
 4601.600  0.4792  0.9920
 4601.620  0.4788  0.9900
 4601.640  0.4877  0.9853
 4601.660  0.5162  0.9762
 4601.680  0.5690  0.9715
 4601.700  0.6422  0.9774
 4601.720  0.7240  0.9882
 4601.740  0.7998  0.9923
 4601.760  0.8598  0.9851
 4601.780  0.9038  0.9736
 4601.800  0.9381  0.9627
 4601.820  0.9645  0.9477
 4601.840  0.9784  0.9259
 4601.860  0.9781  0.9023
 4601.880  0.9694  0.8858
 4601.900  0.9629  0.8830
 4601.920  0.9667  0.8911
 4601.940  0.9793  0.8995
 4601.960  0.9925  0.9033
 4601.980  0.9993  0.9090
 4602.000  0.9973  0.9209
 4602.020  0.9883  0.9294
 4602.040  0.9757  0.9238
 4602.060  0.9649  0.9030
 4602.080  0.9615  0.8734
 4602.100  0.9675  0.8479
 4602.120  0.9787  0.8389
 4602.140  0.9853  0.8506
 4602.160  0.9808  0.8794
 4602.180  0.9682  0.9158
 4602.200  0.9569  0.9461
 4602.220  0.9533  0.9583
 4602.240  0.9555  0.9533
 4602.260  0.9606  0.9487
 4602.280  0.9682  0.9555
 4602.300  0.9720  0.9639
 4602.320  0.9664  0.9616
 4602.340  0.9584  0.9451
 4602.360  0.9520  0.9190
 4602.380  0.9409  0.8933
 4602.400  0.9257  0.8725
 4602.420  0.9140  0.8580
 4602.440  0.9083  0.8517
 4602.460  0.9049  0.8551
 4602.480  0.9005  0.8715
 4602.500  0.8980  0.8975
 4602.520  0.9016  0.9196
 4602.540  0.9090  0.9271
 4602.560  0.9131  0.9262
 4602.580  0.9080  0.9339
 4602.600  0.8930  0.9536
 4602.620  0.8724  0.9692
 4602.640  0.8536  0.9714
 4602.660  0.8444  0.9709
 4602.680  0.8475  0.9798
 4602.700  0.8599  0.9938
 4602.720  0.8771  0.9982
 4602.740  0.8965  0.9872
 4602.760  0.9146  0.9619
 4602.780  0.9246  0.9275
 4602.800  0.9228  0.9008
 4602.820  0.9211  0.8968
 4602.840  0.9317  0.9087
 4602.860  0.9413  0.9227
 4602.880  0.9311  0.9403
 4602.900  0.9065  0.9640
 4602.920  0.8843  0.9800
 4602.940  0.8721  0.9770
 4602.960  0.8707  0.9661
 4602.980  0.8760  0.9625
 4603.000  0.8807  0.9689
 4603.020  0.8835  0.9815
 4603.040  0.8913  0.9924
 4603.060  0.9075  0.9937
 4603.080  0.9239  0.9844
 4603.100  0.9306  0.9725
 4603.120  0.9304  0.9660
 4603.140  0.9364  0.9639
 4603.160  0.9534  0.9640
 4603.180  0.9729  0.9687
 4603.200  0.9816  0.9762
 4603.220  0.9753  0.9803
 4603.240  0.9629  0.9788
 4603.260  0.9525  0.9744
 4603.280  0.9415  0.9704
 4603.300  0.9256  0.9694
 4603.320  0.9081  0.9739
 4603.340  0.8975  0.9830
 4603.360  0.9010  0.9871
 4603.380  0.9149  0.9823
 4603.400  0.9272  0.9770
 4603.420  0.9306  0.9761
 4603.440  0.9282  0.9755
 4603.460  0.9268  0.9722
 4603.480  0.9295  0.9695
 4603.500  0.9355  0.9709
 4603.520  0.9443  0.9735
 4603.540  0.9573  0.9725
 4603.560  0.9739  0.9674
 4603.580  0.9873  0.9605
 4603.600  0.9891  0.9535
 4603.620  0.9789  0.9469
 4603.640  0.9658  0.9409
 4603.660  0.9605  0.9347
 4603.680  0.9650  0.9298
 4603.700  0.9718  0.9312
 4603.720  0.9721  0.9404
 4603.740  0.9634  0.9527
 4603.760  0.9503  0.9630
 4603.780  0.9409  0.9692
 4603.800  0.9401  0.9707
 4603.820  0.9481  0.9639
 4603.840  0.9618  0.9451
 4603.860  0.9758  0.9193
 4603.880  0.9830  0.8939
 4603.900  0.9783  0.8726
 4603.920  0.9645  0.8589
 4603.940  0.9507  0.8517
 4603.960  0.9452  0.8471
 4603.980  0.9517  0.8461
 4604.000  0.9677  0.8535
 4604.020  0.9831  0.8687
 4604.040  0.9867  0.8834
 4604.060  0.9740  0.8921
 4604.080  0.9515  0.9012
 4604.100  0.9329  0.9181
 4604.120  0.9304  0.9411
 4604.140  0.9455  0.9640
 4604.160  0.9663  0.9800
 4604.180  0.9755  0.9848
 4604.200  0.9649  0.9799
 4604.220  0.9417  0.9738
 4604.240  0.9220  0.9741
 4604.260  0.9168  0.9780
 4604.280  0.9238  0.9804
 4604.300  0.9329  0.9852
 4604.320  0.9368  0.9954
 4604.340  0.9353  1.0040
 4604.360  0.9314  1.0011
 4604.380  0.9247  0.9874
 4604.400  0.9139  0.9729
 4604.420  0.9001  0.9655
 4604.440  0.8865  0.9651
 4604.460  0.8770  0.9655
 4604.480  0.8720  0.9593
 4604.500  0.8674  0.9461
 4604.520  0.8600  0.9330
 4604.540  0.8518  0.9279
 4604.560  0.8471  0.9323
 4604.580  0.8491  0.9415
 4604.600  0.8580  0.9533
 4604.620  0.8715  0.9668
 4604.640  0.8874  0.9770
 4604.660  0.9051  0.9787
 4604.680  0.9245  0.9737
 4604.700  0.9423  0.9696
 4604.720  0.9535  0.9731
 4604.740  0.9564  0.9833
 4604.760  0.9559  0.9925
 4604.780  0.9593  0.9940
 4604.800  0.9688  0.9897
 4604.820  0.9792  0.9868
 4604.840  0.9838  0.9860
 4604.860  0.9802  0.9831
 4604.880  0.9723  0.9788
 4604.900  0.9660  0.9799
 4604.920  0.9632  0.9870
 4604.940  0.9627  0.9920
 4604.960  0.9624  0.9924
 4604.980  0.9613  0.9908
 4605.000  0.9591  0.9892
 4605.020  0.9558  0.9940
 4605.040  0.9512  1.0081
 4605.060  0.9457  1.0201
 4605.080  0.9413  1.0203
 4605.100  0.9410  1.0125
 4605.120  0.9447  1.0045
 4605.140  0.9495  0.9998
 4605.160  0.9529  0.9953
 4605.180  0.9541  0.9896
 4605.200  0.9551  0.9882
 4605.220  0.9585  0.9959
 4605.240  0.9636  1.0118
 4605.260  0.9666  1.0279
 4605.280  0.9669  1.0316
 4605.300  0.9686  1.0175
 4605.320  0.9752  0.9957
 4605.340  0.9828  0.9805
 4605.360  0.9846  0.9772
 4605.380  0.9781  0.9781
 4605.400  0.9685  0.9738
 4605.420  0.9662  0.9636
 4605.440  0.9761  0.9498
 4605.460  0.9906  0.9336
 4605.480  0.9974  0.9153
 4605.500  0.9918  0.8952
 4605.520  0.9798  0.8767
 4605.540  0.9709  0.8680
 4605.560  0.9687  0.8760
 4605.580  0.9695  0.8988
 4605.600  0.9703  0.9256
 4605.620  0.9722  0.9480
 4605.640  0.9775  0.9628
 4605.660  0.9848  0.9677
 4605.680  0.9879  0.9623
 4605.700  0.9828  0.9493
 4605.720  0.9747  0.9384
 4605.740  0.9730  0.9415
 4605.760  0.9806  0.9589
 4605.780  0.9902  0.9804
 4605.800  0.9912  0.9933
 4605.820  0.9789  0.9879
 4605.840  0.9600  0.9660
 4605.860  0.9465  0.9353
 4605.880  0.9438  0.9009
 4605.900  0.9478  0.8669
 4605.920  0.9521  0.8375
 4605.940  0.9529  0.8131
 4605.960  0.9495  0.7918
 4605.980  0.9420  0.7746
 4606.000  0.9302  0.7679
 4606.020  0.9156  0.7755
 4606.040  0.9025  0.7936
 4606.060  0.8947  0.8173
 4606.080  0.8940  0.8422
 4606.100  0.8986  0.8674
 4606.120  0.9049  0.8945
 4606.140  0.9100  0.9214
 4606.160  0.9116  0.9459
 4606.180  0.9095  0.9657
 4606.200  0.9074  0.9734
 4606.220  0.9111  0.9699
 4606.240  0.9243  0.9661
 4606.260  0.9435  0.9641
 4606.280  0.9592  0.9547
 4606.300  0.9640  0.9300
 4606.320  0.9573  0.8930
 4606.340  0.9456  0.8592
 4606.360  0.9378  0.8496
 4606.380  0.9370  0.8738
 4606.400  0.9377  0.9172
 4606.420  0.9304  0.9539
 4606.440  0.9100  0.9691
 4606.460  0.8800  0.9677
 4606.480  0.8482  0.9630
 4606.500  0.8205  0.9614
 4606.520  0.7983  0.9586
 4606.540  0.7814  0.9467
 4606.560  0.7719  0.9274
 4606.580  0.7758  0.9132
 4606.600  0.7990  0.9100
 4606.620  0.8382  0.9110
 4606.640  0.8784  0.9085
 4606.660  0.9036  0.9002
 4606.680  0.9081  0.8891
 4606.700  0.9023  0.8820
 4606.720  0.9047  0.8804
 4606.740  0.9234  0.8810
 4606.760  0.9483  0.8812
 4606.780  0.9607  0.8802
 4606.800  0.9500  0.8803
 4606.820  0.9242  0.8806
 4606.840  0.9020  0.8731
 4606.860  0.8958  0.8547
 4606.880  0.9046  0.8311
 4606.900  0.9167  0.8133
 4606.920  0.9200  0.8093
 4606.940  0.9128  0.8205
 4606.960  0.9023  0.8437
 4606.980  0.8970  0.8711
 4607.000  0.9004  0.8958
 4607.020  0.9103  0.9185
 4607.040  0.9236  0.9399
 4607.060  0.9375  0.9579
 4607.080  0.9488  0.9709
 4607.100  0.9537  0.9756
 4607.120  0.9485  0.9711
 4607.140  0.9332  0.9622
 4607.160  0.9124  0.9505
 4607.180  0.8924  0.9368
 4607.200  0.8774  0.9245
 4607.220  0.8676  0.9135
 4607.240  0.8602  0.9002
 4607.260  0.8548  0.8836
 4607.280  0.8539  0.8648
 4607.300  0.8592  0.8459
 4607.320  0.8694  0.8315
 4607.340  0.8800  0.8233
 4607.360  0.8861  0.8197
 4607.380  0.8852  0.8241
 4607.400  0.8796  0.8414
 4607.420  0.8727  0.8692
 4607.440  0.8649  0.8987
 4607.460  0.8558  0.9224
 4607.480  0.8457  0.9409
 4607.500  0.8390  0.9582
 4607.520  0.8440  0.9754
 4607.540  0.8645  0.9884
 4607.560  0.8948  0.9903
 4607.580  0.9237  0.9827
 4607.600  0.9423  0.9764
 4607.620  0.9464  0.9747
 4607.640  0.9387  0.9754
 4607.660  0.9293  0.9802
 4607.680  0.9287  0.9870
 4607.700  0.9374  0.9896
 4607.720  0.9478  0.9859
 4607.740  0.9507  0.9780
 4607.760  0.9393  0.9731
 4607.780  0.9142  0.9795
 4607.800  0.8850  0.9937
 4607.820  0.8651  1.0025
 4607.840  0.8607  0.9962
 4607.860  0.8651  0.9723
 4607.880  0.8665  0.9387
 4607.900  0.8610  0.9097
 4607.920  0.8545  0.8921
 4607.940  0.8569  0.8785
 4607.960  0.8708  0.8600
 4607.980  0.8883  0.8399
 4608.000  0.9018  0.8330
 4608.020  0.9139  0.8526
 4608.040  0.9326  0.8930
 4608.060  0.9597  0.9332
 4608.080  0.9842  0.9601
 4608.100  0.9921  0.9726
 4608.120  0.9800  0.9750
 4608.140  0.9606  0.9728
 4608.160  0.9511  0.9667
 4608.180  0.9575  0.9564
 4608.200  0.9705  0.9486
 4608.220  0.9791  0.9475
 4608.240  0.9810  0.9454
 4608.260  0.9809  0.9331
 4608.280  0.9828  0.9121
 4608.300  0.9856  0.8925
 4608.320  0.9841  0.8835
 4608.340  0.9765  0.8861
 4608.360  0.9668  0.8905
 4608.380  0.9595  0.8831
 4608.400  0.9554  0.8597
 4608.420  0.9504  0.8311
 4608.440  0.9400  0.8153
 4608.460  0.9226  0.8261
 4608.480  0.9001  0.8636
 4608.500  0.8783  0.9114
 4608.520  0.8654  0.9508
 4608.540  0.8680  0.9733
 4608.560  0.8842  0.9799
 4608.580  0.9038  0.9808
 4608.600  0.9166  0.9858
 4608.620  0.9218  0.9950
 4608.640  0.9281  1.0058
 4608.660  0.9453  1.0130
 4608.680  0.9704  1.0121
 4608.700  0.9874  1.0085
 4608.720  0.9841  1.0099
 4608.740  0.9647  1.0127
 4608.760  0.9443  1.0125
 4608.780  0.9345  1.0106
 4608.800  0.9316  1.0077
 4608.820  0.9234  1.0038
 4608.840  0.9063  1.0006
 4608.860  0.8888  0.9972
 4608.880  0.8794  0.9926
 4608.900  0.8779  0.9872
 4608.920  0.8737  0.9821
 4608.940  0.8577  0.9792
 4608.960  0.8362  0.9762
 4608.980  0.8246  0.9670
 4609.000  0.8322  0.9501
 4609.020  0.8565  0.9289
 4609.040  0.8856  0.9068
 4609.060  0.9091  0.8825
 4609.080  0.9263  0.8556
 4609.100  0.9418  0.8358
 4609.120  0.9577  0.8358
 4609.140  0.9720  0.8577
 4609.160  0.9820  0.8924
 4609.180  0.9883  0.9280
 4609.200  0.9929  0.9551
 4609.220  0.9948  0.9673
 4609.240  0.9902  0.9665
 4609.260  0.9793  0.9609
 4609.280  0.9673  0.9559
 4609.300  0.9609  0.9547
 4609.320  0.9647  0.9576
 4609.340  0.9762  0.9621
 4609.360  0.9872  0.9698
 4609.380  0.9923  0.9833
 4609.400  0.9919  1.0014
 4609.420  0.9887  1.0155
 4609.440  0.9853  1.0171
 4609.460  0.9827  1.0119
 4609.480  0.9824  1.0071
 4609.500  0.9853  0.9964
 4609.520  0.9870  0.9774
 4609.540  0.9784  0.9610
 4609.560  0.9532  0.9554
 4609.580  0.9159  0.9553
 4609.600  0.8810  0.9487
 4609.620  0.8626  0.9303
 4609.640  0.8622  0.9042
 4609.660  0.8692  0.8783
 4609.680  0.8728  0.8614
 4609.700  0.8724  0.8574
 4609.720  0.8755  0.8640
 4609.740  0.8890  0.8803
 4609.760  0.9101  0.9073
 4609.780  0.9294  0.9429
 4609.800  0.9419  0.9764
 4609.820  0.9501  0.9938
 4609.840  0.9596  0.9900
 4609.860  0.9707  0.9729
 4609.880  0.9761  0.9578
 4609.900  0.9706  0.9561
 4609.920  0.9591  0.9653
 4609.940  0.9508  0.9743
 4609.960  0.9524  0.9780
 4609.980  0.9633  0.9786
 4610.000  0.9749  0.9775
 4610.020  0.9792  0.9755
 4610.040  0.9760  0.9732
 4610.060  0.9685  0.9682
 4610.080  0.9595  0.9603
 4610.100  0.9523  0.9550
 4610.120  0.9491  0.9549
 4610.140  0.9494  0.9553
 4610.160  0.9501  0.9496
 4610.180  0.9454  0.9385
 4610.200  0.9306  0.9284
 4610.220  0.9091  0.9270
 4610.240  0.8917  0.9394
 4610.260  0.8872  0.9603
 4610.280  0.8949  0.9764
 4610.300  0.9054  0.9823
 4610.320  0.9116  0.9830
 4610.340  0.9154  0.9816
 4610.360  0.9237  0.9766
 4610.380  0.9401  0.9698
 4610.400  0.9607  0.9677
 4610.420  0.9770  0.9716
 4610.440  0.9821  0.9766
 4610.460  0.9763  0.9778
 4610.480  0.9642  0.9725
 4610.500  0.9513  0.9611
 4610.520  0.9431  0.9463
 4610.540  0.9432  0.9281
 4610.560  0.9497  0.9037
 4610.580  0.9551  0.8775
 4610.600  0.9511  0.8597
 4610.620  0.9355  0.8574
 4610.640  0.9176  0.8715
 4610.660  0.9101  0.8951
 4610.680  0.9161  0.9179
 4610.700  0.9275  0.9344
 4610.720  0.9337  0.9444
 4610.740  0.9310  0.9525
 4610.760  0.9267  0.9620
 4610.780  0.9303  0.9714
 4610.800  0.9426  0.9800
 4610.820  0.9557  0.9910
 4610.840  0.9613  1.0057
 4610.860  0.9582  1.0194
 4610.880  0.9524  1.0233
 4610.900  0.9494  1.0160
 4610.920  0.9489 -1.0000
 4610.940  0.9474 -1.0000
 4610.960  0.9447 -1.0000
 4610.980  0.9462 -1.0000
 4611.000  0.9567 -1.0000
 4611.020  0.9724 -1.0000
 4611.040  0.9833 -1.0000
 4611.060  0.9800 -1.0000
 4611.080  0.9626 -1.0000
 4611.100  0.9439 -1.0000
 4611.120  0.9389 -1.0000
 4611.140  0.9494 -1.0000
 4611.160  0.9599 -1.0000
 4611.180  0.9524 -1.0000
 4611.200  0.9270 -1.0000
 4611.220  0.9014  1.0438
 4611.240  0.8912  1.0484
 4611.260  0.9025  1.0461
 4611.280  0.9300  1.0338
 4611.300  0.9594  1.0162
 4611.320  0.9758  0.9989
 4611.340  0.9755  0.9849
 4611.360  0.9681  0.9736
 4611.380  0.9667  0.9564
 4611.400  0.9757  0.9260
 4611.420  0.9885  0.8922
 4611.440  0.9948  0.8747
 4611.460  0.9911  0.8798
 4611.480  0.9850  0.8992
 4611.500  0.9854  0.9237
 4611.520  0.9900  0.9489
 4611.540  0.9906  0.9730
 4611.560  0.9846  0.9915
 4611.580  0.9772  0.9989
 4611.600  0.9757  0.9937
 4611.620  0.9811  0.9795
 4611.640  0.9857  0.9676
 4611.660  0.9826  0.9678
 4611.680  0.9736  0.9732
 4611.700  0.9659  0.9730
 4611.720  0.9661  0.9663
 4611.740  0.9752  0.9568
 4611.760  0.9882  0.9505
 4611.780  0.9987  0.9490
 4611.800  1.0018  0.9441
 4611.820  0.9954  0.9330
 4611.840  0.9807  0.9251
 4611.860  0.9603  0.9281
 4611.880  0.9401  0.9425
 4611.900  0.9286  0.9618
 4611.920  0.9271  0.9757
 4611.940  0.9255  0.9795
 4611.960  0.9129  0.9749
 4611.980  0.8866  0.9654
 4612.000  0.8553  0.9549
 4612.020  0.8337  0.9423
 4612.040  0.8320  0.9223
 4612.060  0.8500  0.8976
 4612.080  0.8808  0.8759
 4612.100  0.9155  0.8659
 4612.120  0.9475  0.8748
 4612.140  0.9715  0.8993
 4612.160  0.9828  0.9275
 4612.180  0.9818  0.9492
 4612.200  0.9751  0.9611
 4612.220  0.9705  0.9655
 4612.240  0.9710  0.9651
 4612.260  0.9729  0.9603
 4612.280  0.9704  0.9502
 4612.300  0.9610  0.9363
 4612.320  0.9475  0.9249
 4612.340  0.9343  0.9219
 4612.360  0.9242  0.9237
 4612.380  0.9182  0.9196
 4612.400  0.9175  0.9083
 4612.420  0.9246  0.8957
 4612.440  0.9403  0.8879
 4612.460  0.9591  0.8931
 4612.480  0.9726  0.9123
 4612.500  0.9766  0.9371
 4612.520  0.9741  0.9614
 4612.540  0.9694  0.9841
 4612.560  0.9619  1.0043
 4612.580  0.9479  1.0147
 4612.600  0.9252  1.0089
 4612.620  0.8968  0.9916
 4612.640  0.8720  0.9723
 4612.660  0.8608  0.9583
 4612.680  0.8673  0.9491
 4612.700  0.8880  0.9425
 4612.720  0.9144  0.9414
 4612.740  0.9377  0.9492
 4612.760  0.9521  0.9672
 4612.780  0.9553  0.9902
 4612.800  0.9474  1.0057
 4612.820  0.9303  1.0086
 4612.840  0.9111  1.0050
 4612.860  0.8978  0.9991
 4612.880  0.8932  0.9898
 4612.900  0.8946  0.9797
 4612.920  0.8979  0.9781
 4612.940  0.8996  0.9892
 4612.960  0.8986  1.0046
 4612.980  0.8971  1.0105
 4613.000  0.8987  0.9980
 4613.020  0.9056  0.9716
 4613.040  0.9174  0.9468
 4613.060  0.9322  0.9379
 4613.080  0.9467  0.9482
 4613.100  0.9590  0.9629
 4613.120  0.9680  0.9632
 4613.140  0.9713  0.9486
 4613.160  0.9670  0.9312
 4613.180  0.9558  0.9223
 4613.200  0.9424  0.9261
 4613.220  0.9341  0.9352
 4613.240  0.9348  0.9404
 4613.260  0.9422  0.9425
 4613.280  0.9490  0.9488
 4613.300  0.9497  0.9615
 4613.320  0.9450  0.9722
 4613.340  0.9406  0.9715
 4613.360  0.9423  0.9598
 4613.380  0.9507  0.9430
 4613.400  0.9614  0.9253
 4613.420  0.9699  0.9091
 4613.440  0.9739  0.8944
 4613.460  0.9731  0.8792
 4613.480  0.9695  0.8668
 4613.500  0.9675  0.8678
 4613.520  0.9700  0.8862
 4613.540  0.9763  0.9151
 4613.560  0.9835  0.9448
 4613.580  0.9879  0.9664
 4613.600  0.9862  0.9761
 4613.620  0.9785  0.9755
 4613.640  0.9680  0.9669
 4613.660  0.9574  0.9542
 4613.680  0.9471  0.9421
 4613.700  0.9356  0.9325
 4613.720  0.9233  0.9246
 4613.740  0.9154  0.9197
 4613.760  0.9165  0.9199
 4613.780  0.9245  0.9251
 4613.800  0.9336  0.9337
 4613.820  0.9385  0.9424
 4613.840  0.9390  0.9467
 4613.860  0.9388  0.9431
 4613.880  0.9396  0.9298
 4613.900  0.9390  0.9112
 4613.920  0.9332  0.8966
 4613.940  0.9220  0.8901
 4613.960  0.9088  0.8892
 4613.980  0.8964  0.8940
 4614.000  0.8849  0.9052
 4614.020  0.8746  0.9196
 4614.040  0.8693  0.9323
 4614.060  0.8725  0.9389
 4614.080  0.8835  0.9370
 4614.100  0.8984  0.9246
 4614.120  0.9120  0.9026
 4614.140  0.9214  0.8755
 4614.160  0.9285  0.8463
 4614.180  0.9353  0.8174
 4614.200  0.9421  0.7954
 4614.220  0.9469  0.7888
 4614.240  0.9462  0.8008
 4614.260  0.9377  0.8287
 4614.280  0.9233  0.8648
 4614.300  0.9097  0.8975
 4614.320  0.9058  0.9207
 4614.340  0.9176  0.9376
 4614.360  0.9406  0.9501
 4614.380  0.9588  0.9466
