           1.0200  1.03  
           0.0200  0.6400
 4325.940  0.7714  0.3687
 4325.960  0.7542  0.3347
 4325.980  0.7366  0.3127
 4326.000  0.7207  0.2949
 4326.020  0.7045  0.2761
 4326.040  0.6845  0.2584
 4326.060  0.6644  0.2467
 4326.080  0.6543  0.2436
 4326.100  0.6617  0.2490
 4326.120  0.6851  0.2627
 4326.140  0.7187  0.2850
 4326.160  0.7590  0.3166
 4326.180  0.8030  0.3563
 4326.200  0.8484  0.4025
 4326.220  0.8911  0.4556
 4326.240  0.9228  0.5177
 4326.260  0.9406  0.5881
 4326.280  0.9485  0.6610
 4326.300  0.9456  0.7285
 4326.320  0.9287  0.7850
 4326.340  0.9016  0.8318
 4326.360  0.8716  0.8736
 4326.380  0.8411  0.9128
 4326.400  0.8071  0.9477
 4326.420  0.7681  0.9756
 4326.440  0.7274  0.9940
 4326.460  0.6870  1.0018
 4326.480  0.6449  1.0020
 4326.500  0.5993  1.0016
 4326.520  0.5524  1.0052
 4326.540  0.5075  1.0113
 4326.560  0.4642  1.0155
 4326.580  0.4221  1.0160
 4326.600  0.3845  1.0126
 4326.620  0.3531  1.0059
 4326.640  0.3258  0.9980
 4326.660  0.3031  0.9928
 4326.680  0.2896  0.9925
 4326.700  0.2860  0.9956
 4326.720  0.2868  0.9984
 4326.740  0.2897  0.9980
 4326.760  0.2980  0.9941
 4326.780  0.3146  0.9882
 4326.800  0.3409  0.9812
 4326.820  0.3793  0.9756
 4326.840  0.4307  0.9744
 4326.860  0.4937  0.9785
 4326.880  0.5645  0.9862
 4326.900  0.6359  0.9959
 4326.920  0.7021  1.0070
 4326.940  0.7617  1.0177
 4326.960  0.8154  1.0236
 4326.980  0.8636  1.0231
 4327.000  0.9045  1.0203
 4327.020  0.9351  1.0208
 4327.040  0.9576  1.0269
 4327.060  0.9758  1.0353
 4327.080  0.9895  1.0405
 4327.100  0.9970  1.0403
 4327.120  0.9992  1.0367
 4327.140  0.9999  1.0321
 4327.160  1.0019  1.0273
 4327.180  1.0045  1.0243
 4327.200  1.0057  1.0249
 4327.220  1.0052  1.0280
 4327.240  1.0029  1.0308
 4327.260  1.0005  1.0308
 4327.280  1.0001  1.0289
 4327.300  1.0001  1.0284
 4327.320  0.9982  1.0312
 4327.340  0.9949  1.0343
 4327.360  0.9927  1.0338
 4327.380  0.9920  1.0277
 4327.400  0.9880  1.0162
 4327.420  0.9800  1.0026
 4327.440  0.9719  0.9899
 4327.460  0.9656  0.9778
 4327.480  0.9625  0.9656
 4327.500  0.9642  0.9531
 4327.520  0.9692  0.9375
 4327.540  0.9759  0.9160
 4327.560  0.9836  0.8891
 4327.580  0.9907  0.8591
 4327.600  0.9982  0.8268
 4327.620  1.0062  0.7923
 4327.640  1.0119  0.7582
 4327.660  1.0157  0.7284
 4327.680  1.0176  0.7038
 4327.700  1.0167  0.6833
 4327.720  1.0158  0.6676
 4327.740  1.0158  0.6593
 4327.760  1.0126  0.6614
 4327.780  1.0073  0.6754
 4327.800  1.0037  0.6989
 4327.820  1.0021  0.7283
 4327.840  1.0038  0.7620
 4327.860  1.0090  0.7956
 4327.880  1.0145  0.8215
 4327.900  1.0186  0.8356
 4327.920  1.0191  0.8389
 4327.940  1.0149  0.8322
 4327.960  1.0101  0.8144
 4327.980  1.0079  0.7857
 4328.000  1.0057  0.7479
 4328.020  1.0009  0.7019
 4328.040  0.9937  0.6479
 4328.060  0.9861  0.5879
 4328.080  0.9788  0.5258
 4328.100  0.9682  0.4654
 4328.120  0.9522  0.4080
 4328.140  0.9345  0.3537
 4328.160  0.9164  0.3059
 4328.180  0.8953  0.2722
 4328.200  0.8703  0.2565
 4328.220  0.8404  0.2523
 4328.240  0.8059  0.2504
 4328.260  0.7718  0.2470
 4328.280  0.7412  0.2454
 4328.300  0.7131  0.2512
 4328.320  0.6872  0.2688
 4328.340  0.6656  0.2970
 4328.360  0.6504  0.3305
 4328.380  0.6427  0.3654
 4328.400  0.6428  0.4043
 4328.420  0.6543  0.4533
 4328.440  0.6823  0.5145
 4328.460  0.7231  0.5832
 4328.480  0.7642  0.6511
 4328.500  0.7971  0.7123
 4328.520  0.8178  0.7650
 4328.540  0.8233  0.8075
 4328.560  0.8159  0.8358
 4328.580  0.7993  0.8480
 4328.600  0.7747  0.8501
 4328.620  0.7433  0.8518
 4328.640  0.7068  0.8581
 4328.660  0.6664  0.8652
 4328.680  0.6219  0.8665
 4328.700  0.5747  0.8640
 4328.720  0.5279  0.8647
 4328.740  0.4824  0.8691
 4328.760  0.4400  0.8745
 4328.780  0.4022  0.8814
 4328.800  0.3683  0.8904
 4328.820  0.3407  0.9031
 4328.840  0.3214  0.9201
 4328.860  0.3073  0.9350
 4328.880  0.2953  0.9439
 4328.900  0.2866  0.9549
 4328.920  0.2836  0.9692
 4328.940  0.2896  0.9654
 4328.960  0.3070  0.9348
 4328.980  0.3323  0.9072
 4329.000  0.3643  0.9070
 4329.020  0.4046  0.9240
 4329.040  0.4514  0.9461
 4329.060  0.5056  0.9680
 4329.080  0.5678  0.9802
 4329.100  0.6322  0.9857
 4329.120  0.6917  0.9962
 4329.140  0.7417  1.0086
 4329.160  0.7816  1.0122
 4329.180  0.8137  1.0060
 4329.200  0.8370  0.9976
 4329.220  0.8495  0.9953
 4329.240  0.8528  1.0005
 4329.260  0.8519  1.0084
 4329.280  0.8499  1.0137
 4329.300  0.8472  1.0146
 4329.320  0.8459  1.0140
 4329.340  0.8493  1.0139
 4329.360  0.8579  1.0143
 4329.380  0.8715  1.0153
 4329.400  0.8880  1.0164
 4329.420  0.9028  1.0173
 4329.440  0.9154  1.0196
 4329.460  0.9279  1.0204
 4329.480  0.9403  1.0142
 4329.500  0.9498  1.0030
 4329.520  0.9531  0.9948
 4329.540  0.9520  0.9907
 4329.560 -1.0000  0.9867
 4329.580 -1.0000  0.9891
 4329.600 -1.0000  1.0029
 4329.620 -1.0000  1.0100
 4329.640 -1.0000  0.9967
 4329.660 -1.0000  0.9762
 4329.680  0.9569  0.9607
 4329.700  0.9650  0.9481
 4329.720  0.9783  0.9358
 4329.740  0.9892  0.9229
 4329.760  0.9934  0.9076
 4329.780  0.9974  0.8881
 4329.800  1.0038  0.8623
 4329.820  1.0074  0.8292
 4329.840  1.0061  0.7915
 4329.860  1.0042  0.7535
 4329.880  1.0071  0.7196
 4329.900  1.0122  0.6923
 4329.920  1.0134  0.6720
 4329.940  1.0120  0.6580
 4329.960  1.0105  0.6472
 4329.980  1.0104  0.6376
 4330.000  1.0152  0.6331
 4330.020  1.0206  0.6359
 4330.040  1.0192  0.6400
 4330.060 -1.0000 -1.0000
 4330.080 -1.0000 -1.0000
 4330.100 -1.0000 -1.0000
 4330.120 -1.0000 -1.0000
 4330.140 -1.0000 -1.0000
 4330.160 -1.0000 -1.0000
 4330.180  0.9824  0.5461
 4330.200  0.9740  0.5028
 4330.220  0.9618  0.4539
 4330.240  0.9527  0.4096
 4330.260  0.9512  0.3694
 4330.280  0.9503  0.3329
 4330.300  0.9450  0.3021
 4330.320  0.9380  0.2765
 4330.340  0.9289  0.2537
 4330.360  0.9169  0.2343
 4330.380  0.9037  0.2230
 4330.400  0.8878  0.2247
 4330.420  0.8676  0.2377
 4330.440  0.8431  0.2559
 4330.460  0.8143  0.2780
 4330.480  0.7822  0.3082
 4330.500  0.7493  0.3479
 4330.520  0.7171  0.3956
 4330.540  0.6848  0.4518
 4330.560  0.6529  0.5158
 4330.580  0.6274  0.5832
 4330.600  0.6146  0.6511
 4330.620  0.6156  0.7198
 4330.640  0.6266  0.7855
 4330.660  0.6408  0.8423
 4330.680  0.6546  0.8883
 4330.700  0.6676  0.9227
 4330.720  0.6756  0.9475
 4330.740  0.6746  0.9695
 4330.760  0.6656  0.9902
 4330.780  0.6490  1.0037
 4330.800  0.6235  1.0102
 4330.820  0.5891  1.0124
 4330.840  0.5487  1.0035
