           0.93    0.90  
           0.0200  0.7000
 4697.000  0.7108  0.8549
 4697.020  0.7000  0.8602
 4697.040  0.7070  0.8554
 4697.060  0.7205  0.8516
 4697.080  0.7417  0.8519
 4697.100  0.7672  0.8580
 4697.120  0.7941  0.8655
 4697.140  0.8189  0.8695
 4697.160  0.8404  0.8704
 4697.180  0.8599  0.8723
 4697.200  0.8769  0.8761
 4697.220  0.8886  0.8783
 4697.240  0.8935  0.8774
 4697.260  0.8949  0.8775
 4697.280  0.8974  0.8812
 4697.300  0.9012  0.8858
 4697.320  0.9014  0.8879
 4697.340  0.8994  0.8881
 4697.360  0.9027  0.8890
 4697.380  0.9099  0.8901
 4697.400  0.9133  0.8889
 4697.420  0.9140  0.8859
 4697.440  0.9175  0.8834
 4697.460  0.9212  0.8823
 4697.480  0.9200  0.8824
 4697.500  0.9154  0.8832
 4697.520  0.9114  0.8839
 4697.540  0.9111  0.8834
 4697.560  0.9133  0.8804
 4697.580  0.9136  0.8751
 4697.600  0.9116  0.8710
 4697.620  0.9106  0.8713
 4697.640  0.9095  0.8752
 4697.660  0.9043  0.8785
 4697.680  0.8991  0.8774
 4697.700  0.8992  0.8719
 4697.720  0.9004  0.8657
 4697.740  0.9001  0.8612
 4697.760  0.9005  0.8552
 4697.780  0.9020  0.8449
 4697.800  0.9067  0.8327
 4697.820  0.9157  0.8251
 4697.840  0.9253  0.8250
 4697.860  0.9325  0.8288
 4697.880  0.9366  0.8294
 4697.900  0.9382  0.8246
 4697.920  0.9387  0.8182
 4697.940  0.9384  0.8129
 4697.960  0.9366  0.8081
 4697.980  0.9346  0.8040
 4698.000  0.9339  0.8017
 4698.020  0.9333  0.7992
 4698.040  0.9323  0.7928
 4698.060  0.9317  0.7794
 4698.080  0.9301  0.7597
 4698.100  0.9261  0.7390
 4698.120  0.9241  0.7235
 4698.140  0.9284  0.7149
 4698.160  0.9354  0.7116
 4698.180  0.9387  0.7123
 4698.200  0.9386  0.7171
 4698.220  0.9383  0.7265
 4698.240  0.9369  0.7408
 4698.260  0.9337  0.7589
 4698.280  0.9312  0.7769
 4698.300  0.9295  0.7914
 4698.320  0.9247  0.8034
 4698.340  0.9165  0.8169
 4698.360  0.9103  0.8332
 4698.380  0.9080  0.8480
 4698.400  0.9042  0.8556
 4698.420  0.8963  0.8555
 4698.440  0.8895  0.8549
 4698.460  0.8847  0.8592
 4698.480  0.8768  0.8651
 4698.500  0.8679  0.8682
 4698.520  0.8647  0.8682
 4698.540  0.8635  0.8655
 4698.560  0.8584  0.8599
 4698.580  0.8531  0.8530
 4698.600  0.8527  0.8470
 4698.620  0.8544  0.8425
 4698.640  0.8542  0.8382
 4698.660  0.8519  0.8326
 4698.680  0.8464  0.8245
 4698.700  0.8379  0.8144
 4698.720  0.8306  0.8044
 4698.740  0.8225  0.7953
 4698.760  0.8093  0.7866
 4698.780  0.7925  0.7790
 4698.800  0.7733  0.7735
 4698.820  0.7539  0.7711
 4698.840  0.7408  0.7717
 4698.860  0.7357  0.7737
 4698.880  0.7369  0.7763
 4698.900  0.7455  0.7797
 4698.920  0.7615  0.7846
 4698.940  0.7830  0.7915
 4698.960  0.8074  0.8009
 4698.980  0.8308  0.8121
 4699.000  0.8517  0.8243
 4699.020  0.8705  0.8369
 4699.040  0.8855  0.8484
 4699.060  0.8972  0.8575
 4699.080  0.9069  0.8643
 4699.100  0.9111  0.8692
 4699.120  0.9074  0.8740
 4699.140  0.9013  0.8808
 4699.160  0.8974  0.8878
 4699.180  0.8948  0.8917
 4699.200  0.8922  0.8929
 4699.220  0.8902  0.8952
