           1.08    1.05  
           0.0200  0.6200
 4197.000 -1.0000  0.5561
 4197.020 -1.0000  0.6120
 4197.040 -1.0000 -1.0000
 4197.060 -1.0000 -1.0000
 4197.080 -1.0000 -1.0000
 4197.100 -1.0000 -1.0000
 4197.120 -1.0000 -1.0000
 4197.140 -1.0000 -1.0000
 4197.160 -1.0000 -1.0000
 4197.180 -1.0000 -1.0000
 4197.200 -1.0000  0.9996
 4197.220 -1.0000  0.9919
 4197.240 -1.0000  0.9794
 4197.260 -1.0000  0.9647
 4197.280 -1.0000  0.9460
 4197.300 -1.0000  0.9289
 4197.320  0.7991  0.9182
 4197.340  0.8013  0.9082
 4197.360  0.8002  0.8957
 4197.380  0.7905  0.8894
 4197.400  0.7684  0.8950
 4197.420  0.7395  0.9045
 4197.440  0.7085  0.9064
 4197.460  0.6728  0.8971
 4197.480  0.6342  0.8835
 4197.500  0.6025  0.8754
 4197.520  0.5790  0.8727
 4197.540  0.5589  0.8672
 4197.560  0.5447  0.8551
 4197.580  0.5420  0.8382
 4197.600  0.5547  0.8192
 4197.620  0.5831  0.8005
 4197.640  0.6248  0.7843
 4197.660  0.6732  0.7725
 4197.680  0.7207  0.7676
 4197.700  0.7663  0.7720
 4197.720  0.8052  0.7867
 4197.740 -1.0000  0.8104
 4197.760 -1.0000  0.8389
 4197.780 -1.0000  0.8678
 4197.800 -1.0000  0.8965
 4197.820 -1.0000  0.9254
 4197.840 -1.0000  0.9514
 4197.860  0.8914  0.9700
 4197.880  0.8776  0.9792
 4197.900  0.8604  0.9798
 4197.920  0.8447  0.9727
 4197.940  0.8341  0.9580
 4197.960  0.8325  0.9363
 4197.980  0.8399  0.9111
 4198.000  0.8519  0.8849
 4198.020  0.8656  0.8558
 4198.040  0.8780  0.8201
 4198.060  0.8848  0.7784
 4198.080  0.8806  0.7346
 4198.100  0.8655  0.6915
 4198.120  0.8498  0.6500
 4198.140  0.8414  0.6113
 4198.160  0.8346  0.5760
 4198.180  0.8213  0.5432
 4198.200  0.8047  0.5130
 4198.220  0.7905  0.4880
 4198.240  0.7774  0.4711
 4198.260  0.7654  0.4621
 4198.280  0.7566  0.4592
 4198.300  0.7519  0.4601
 4198.320  0.7527  0.4641
 4198.340  0.7609  0.4722
 4198.360  0.7784  0.4857
 4198.380  0.8073  0.5057
 4198.400  0.8424  0.5330
 4198.420  0.8749  0.5659
 4198.440  0.8987  0.5999
 4198.460  0.9129  0.6336
 4198.480  0.9223  0.6739
 4198.500  0.9282  0.7251
 4198.520  0.9266  0.7821
 4198.540  0.9162  0.8357
 4198.560  0.8986  0.8784
 4198.580  0.8752  0.9055
 4198.600  0.8485  0.9178
 4198.620  0.8231  0.9178
 4198.640  0.7997  0.9047
 4198.660  0.7722  0.8773
 4198.680  0.7368  0.8394
 4198.700  0.6977  0.7968
 4198.720  0.6576  0.7520
 4198.740  0.6165  0.7043
 4198.760  0.5775  0.6548
 4198.780  0.5476  0.6083
 4198.800  0.5290  0.5690
 4198.820  0.5151  0.5371
 4198.840  0.5029  0.5120
 4198.860  0.4951  0.4963
 4198.880  0.4889  0.4916
 4198.900  0.4807  0.4953
 4198.920  0.4740  0.5030
 4198.940  0.4743  0.5110
 4198.960  0.4820  0.5187
 4198.980  0.4938  0.5267
 4199.000  0.5092  0.5335
 4199.020  0.5313  0.5342
 4199.040  0.5638  0.5248
 4199.060  0.6065  0.5060
 4199.080  0.6516  0.4809
 4199.100  0.6950  0.4515
 4199.120  0.7390  0.4200
 4199.140  0.7813  0.3897
 4199.160  0.8184  0.3611
 4199.180  0.8483  0.3327
 4199.200  0.8663  0.3061
 4199.220  0.8713  0.2853
 4199.240  0.8674  0.2709
 4199.260  0.8566  0.2599
 4199.280  0.8382  0.2515
 4199.300  0.8134  0.2466
 4199.320  0.7839  0.2454
 4199.340  0.7472  0.2478
 4199.360  0.7033  0.2540
 4199.380  0.6605  0.2640
 4199.400  0.6240  0.2804
 4199.420  0.5915  0.3069
 4199.440  0.5595  0.3414
 4199.460  0.5293  0.3781
 4199.480  0.5061  0.4125
 4199.500  0.4936  0.4431
 4199.520  0.4918  0.4705
 4199.540  0.4973  0.4966
 4199.560  0.5048  0.5211
 4199.580  0.5120  0.5393
 4199.600  0.5190  0.5458
 4199.620  0.5238  0.5400
 4199.640  0.5235  0.5289
 4199.660  0.5158  0.5218
 4199.680  0.4995  0.5233
 4199.700  0.4760  0.5321
 4199.720  0.4474  0.5461
 4199.740  0.4158  0.5673
 4199.760  0.3859  0.5996
 4199.780  0.3621  0.6436
 4199.800  0.3440  0.6938
 4199.820  0.3255  0.7409
 4199.840  0.3040  0.7822
 4199.860  0.2867  0.8259
 4199.880  0.2787  0.8763
 4199.900  0.2736  0.9256
 4199.920  0.2670  0.9655
 4199.940  0.2631  0.9940
 4199.960  0.2658  1.0122
 4199.980  0.2730  1.0205
 4200.000  0.2818  1.0192
 4200.020  0.2919  1.0128
 4200.040  0.3026  1.0108
 4200.060 -1.0000  1.0186
 4200.080 -1.0000  1.0296
 4200.100 -1.0000  1.0342
 4200.120 -1.0000 -1.0000
 4200.140 -1.0000 -1.0000
 4200.160 -1.0000 -1.0000
 4200.180 -1.0000 -1.0000
 4200.200 -1.0000 -1.0000
 4200.220 -1.0000 -1.0000
 4200.240 -1.0000 -1.0000
 4200.260 -1.0000 -1.0000
 4200.280 -1.0000 -1.0000
 4200.300 -1.0000 -1.0000
 4200.320 -1.0000 -1.0000
 4200.340 -1.0000  0.8761
 4200.360 -1.0000  0.8501
 4200.380 -1.0000  0.8188
 4200.400 -1.0000  0.7925
 4200.420  0.7032  0.7766
 4200.440  0.7419  0.7719
 4200.460  0.7900  0.7790
 4200.480  0.8389  0.7969
 4200.500  0.8841  0.8206
 4200.520  0.9226  0.8459
 4200.540  0.9526  0.8764
 4200.560  0.9728  0.9153
 4200.580  0.9819  0.9534
 4200.600  0.9825  0.9782
 4200.620  0.9781  0.9898
 4200.640  0.9673  0.9964
 4200.660  0.9524  0.9997
 4200.680  0.9408  0.9958
 4200.700  0.9355  0.9848
 4200.720  0.9341  0.9705
 4200.740 -1.0000 -1.0000
 4200.760 -1.0000 -1.0000
 4200.780 -1.0000 -1.0000
 4200.800 -1.0000 -1.0000
 4200.820 -1.0000 -1.0000
 4200.840 -1.0000 -1.0000
 4200.860 -1.0000 -1.0000
 4200.880 -1.0000 -1.0000
 4200.900 -1.0000 -1.0000
 4200.920 -1.0000  0.5323
 4200.940 -1.0000  0.5341
 4200.960 -1.0000  0.5422
 4200.980 -1.0000  0.5464
 4201.000  0.7635  0.5489
 4201.020  0.7494  0.5588
 4201.040  0.7368  0.5806
 4201.060  0.7338  0.6129
 4201.080  0.7441  0.6517
 4201.100  0.7695  0.6944
 4201.120  0.8089  0.7428
 4201.140  0.8534  0.7972
 4201.160  0.8932  0.8534
 4201.180  0.9253  0.9055
 4201.200  0.9495  0.9488
 4201.220  0.9651  0.9794
 4201.240  0.9714  0.9950
 4201.260  0.9699  0.9977
 4201.280  0.9639  0.9945
 4201.300  0.9557  0.9909
 4201.320 -1.0000 -1.0000
 4201.340 -1.0000 -1.0000
 4201.360 -1.0000 -1.0000
 4201.380 -1.0000 -1.0000
 4201.400 -1.0000 -1.0000
 4201.420 -1.0000 -1.0000
 4201.440 -1.0000 -1.0000
 4201.460 -1.0000 -1.0000
 4201.480 -1.0000  0.8269
 4201.500  0.6454  0.8123
 4201.520  0.6226  0.8054
 4201.540  0.5958  0.8043
 4201.560  0.5721  0.8002
 4201.580  0.5570  0.7909
 4201.600  0.5512  0.7758
 4201.620  0.5541  0.7512
 4201.640  0.5664  0.7200
 4201.660  0.5890  0.6932
 4201.680  0.6210  0.6714
 4201.700  0.6605  0.6437
 4201.720  0.7075  0.6104
 4201.740  0.7596  0.5853
 4201.760  0.8047  0.5728
 4201.780 -1.0000 -1.0000
 4201.800 -1.0000 -1.0000
 4201.820 -1.0000 -1.0000
 4201.840 -1.0000 -1.0000
 4201.860 -1.0000 -1.0000
 4201.880 -1.0000 -1.0000
 4201.900 -1.0000 -1.0000
 4201.920 -1.0000  0.3892
 4201.940  0.9456  0.3830
 4201.960  0.9289  0.3816
 4201.980  0.8994  0.3863
 4202.000  0.8665  0.3948
 4202.020  0.8366  0.4041
 4202.040  0.8115  0.4150
 4202.060  0.7915  0.4265
 4202.080  0.7742  0.4329
 4202.100  0.7591  0.4309
 4202.120 -1.0000  0.4246
 4202.140 -1.0000  0.4208
 4202.160 -1.0000 -1.0000
 4202.180 -1.0000 -1.0000
 4202.200 -1.0000 -1.0000
 4202.220 -1.0000 -1.0000
 4202.240 -1.0000 -1.0000
 4202.260 -1.0000 -1.0000
 4202.280 -1.0000 -1.0000
 4202.300 -1.0000 -1.0000
 4202.320 -1.0000 -1.0000
 4202.340 -1.0000 -1.0000
 4202.360 -1.0000  0.5777
 4202.380 -1.0000  0.6011
 4202.400 -1.0000  0.6326
 4202.420 -1.0000  0.6683
 4202.440 -1.0000  0.7045
 4202.460 -1.0000  0.7351
 4202.480 -1.0000  0.7548
 4202.500  0.4529  0.7610
 4202.520  0.4348  0.7516
 4202.540  0.4133  0.7279
 4202.560  0.3980  0.6979
 4202.580  0.3934  0.6674
 4202.600  0.3970  0.6336
 4202.620  0.4060  0.5924
 4202.640  0.4162  0.5484
