           1.0000  1.0000
           0.0200  0.6500
 4350.860  0.3740  0.9494
 4350.880  0.3961  0.9245
 4350.900  0.4274  0.8887
 4350.920  0.4707  0.8566
 4350.940  0.5188  0.8331
 4350.960  0.5610  0.8069
 4350.980 -1.0000 -1.0000
 4351.000 -1.0000 -1.0000
 4351.020 -1.0000 -1.0000
 4351.040 -1.0000 -1.0000
 4351.060 -1.0000 -1.0000
 4351.080 -1.0000 -1.0000
 4351.100 -1.0000 -1.0000
 4351.120  0.9693  0.4212
 4351.140  0.9797  0.3957
 4351.160  0.9840  0.3664
 4351.180  0.9864  0.3370
 4351.200  0.9902  0.3109
 4351.220  0.9957  0.2896
 4351.240  1.0001  0.2783
 4351.260  1.0003  0.2781
 4351.280  0.9952  0.2819
 4351.300  0.9884  0.2859
 4351.320  0.9844  0.2933
 4351.340  0.9842  0.3048
 4351.360  0.9865  0.3184
 4351.380  0.9880  0.3348
 4351.400  0.9863  0.3582
 4351.420  0.9822  0.3903
 4351.440  0.9774  0.4287
 4351.460  0.9712  0.4692
 4351.480  0.9626  0.5069
 4351.500  0.9515  0.5414
 4351.520  0.9367  0.5796
 4351.540  0.9147  0.6219
 4351.560  0.8866  0.6691
 4351.580  0.8596  0.7318
 4351.600  0.8327  0.8012
 4351.620  0.7992  0.8560
 4351.640  0.7582  0.8967
 4351.660  0.7136  0.9301
 4351.680  0.6687  0.9562
 4351.700  0.6241  0.9781
 4351.720  0.5805  0.9971
 4351.740  0.5391  1.0102
 4351.760  0.4983  1.0150
 4351.780  0.4587  1.0125
 4351.800  0.4229  1.0092
 4351.820  0.3920  1.0104
 4351.840  0.3664  1.0137
 4351.860  0.3476  1.0142
 4351.880  0.3363  1.0117
 4351.900  0.3307  1.0074
 4351.920  0.3287  0.9978
 4351.940  0.3304  0.9807
 4351.960  0.3361  0.9604
 4351.980  0.3431  0.9390
 4352.000  0.3516  0.9123
 4352.020  0.3653  0.8790
 4352.040  0.3862  0.8450
 4352.060  0.4156  0.8142
 4352.080  0.4532  0.7797
 4352.100  0.4957  0.7321
 4352.120  0.5406  0.6748
 4352.140  0.5875  0.6178
 4352.160  0.6370  0.5651
 4352.180  0.6899  0.5160
 4352.200  0.7450  0.4697
 4352.220  0.7979  0.4282
 4352.240  0.8449  0.3935
 4352.260  0.8834  0.3636
 4352.280  0.9121  0.3362
 4352.300  0.9320  0.3143
 4352.320  0.9474  0.3017
 4352.340  0.9608  0.2980
 4352.360  0.9705  0.3005
 4352.380  0.9747  0.3070
 4352.400  0.9762  0.3148
 4352.420  0.9780  0.3224
 4352.440  0.9802  0.3321
 4352.460  0.9822  0.3492
 4352.480  0.9830  0.3736
 4352.500  0.9809  0.4007
 4352.520  0.9765  0.4301
 4352.540  0.9712  0.4655
 4352.560  0.9635  0.5071
 4352.580  0.9501  0.5511
 4352.600  0.9310  0.5947
 4352.620  0.9081  0.6383
 4352.640  0.8809  0.6831
 4352.660  0.8486  0.7259
 4352.680  0.8153  0.7585
 4352.700  0.7837  0.7769
 4352.720  0.7503  0.7851
 4352.740  0.7130  0.7853
 4352.760  0.6735  0.7747
 4352.780  0.6322  0.7512
 4352.800  0.5898  0.7164
 4352.820  0.5480  0.6749
 4352.840  0.5079  0.6313
 4352.860  0.4703  0.5910
 4352.880  0.4354  0.5600
 4352.900  0.4032  0.5398
