           0.96    0.96  
           0.0200  0.6700
 4497.000  0.9624  0.9369
 4497.020  0.9764  0.9577
 4497.040  0.9685  0.9485
 4497.060  0.9631  0.9464
 4497.080  0.9554  0.9455
 4497.100  0.9505  0.9463
 4497.120  0.9516  0.9477
 4497.140  0.9537  0.9482
 4497.160  0.9512  0.9473
 4497.180  0.9445  0.9454
 4497.200  0.9360  0.9422
 4497.220  0.9283  0.9378
 4497.240  0.9202  0.9340
 4497.260  0.9096  0.9328
 4497.280  0.9006  0.9344
 4497.300  0.8953  0.9357
 4497.320  0.8884  0.9340
 4497.340  0.8768  0.9314
 4497.360  0.8620  0.9296
 4497.380  0.8437  0.9274
 4497.400  0.8246  0.9242
 4497.420  0.8144  0.9216
 4497.440  0.8166  0.9195
 4497.460  0.8245  0.9159
 4497.480  0.8355  0.9102
 4497.500  0.8521  0.9044
 4497.520  0.8720  0.9017
 4497.540  0.8898  0.9050
 4497.560  0.9029  0.9130
 4497.580  0.9114  0.9217
 4497.600  0.9166  0.9279
 4497.620  0.9222  0.9322
 4497.640  0.9301  0.9365
 4497.660  0.9361  0.9409
 4497.680  0.9385  0.9435
 4497.700  0.9403  0.9443
 4497.720  0.9419  0.9449
 4497.740  0.9431  0.9480
 4497.760  0.9455  0.9528
 4497.780  0.9483  0.9577
 4497.800  0.9490  0.9629
 4497.820  0.9479  0.9672
 4497.840  0.9461  0.9679
 4497.860  0.9427  0.9646
 4497.880  0.9407  0.9615
 4497.900  0.9426  0.9607
 4497.920  0.9439  0.9602
 4497.940  0.9417  0.9580
 4497.960  0.9382  0.9556
 4497.980  0.9332  0.9569
 4498.000  0.9270  0.9642
 4498.020  0.9229  0.9722
 4498.040  0.9220  0.9737
 4498.060  0.9218  0.9694
 4498.080  0.9211  0.9653
 4498.100  0.9191  0.9643
 4498.120  0.9178  0.9653
 4498.140  0.9187  0.9660
 4498.160  0.9194  0.9641
 4498.180  0.9188  0.9587
 4498.200  0.9189  0.9520
 4498.220  0.9220  0.9481
 4498.240  0.9292  0.9484
 4498.260  0.9367  0.9500
 4498.280  0.9395  0.9493
 4498.300  0.9394  0.9458
 4498.320  0.9405  0.9418
 4498.340  0.9416  0.9380
 4498.360  0.9416  0.9331
 4498.380  0.9429  0.9259
 4498.400  0.9456  0.9171
 4498.420  0.9492  0.9079
 4498.440  0.9539  0.8972
 4498.460  0.9566  0.8832
 4498.480  0.9557  0.8688
 4498.500  0.9542  0.8586
 4498.520  0.9547  0.8533
 4498.540  0.9572  0.8517
 4498.560  0.9591  0.8558
 4498.580  0.9593  0.8662
 4498.600  0.9603  0.8774
 4498.620  0.9621  0.8837
 4498.640  0.9636  0.8872
 4498.660  0.9643  0.8932
 4498.680  0.9628  0.9045
 4498.700  0.9613  0.9199
 4498.720  0.9629  0.9349
 4498.740  0.9649  0.9460
 4498.760  0.9636  0.9528
 4498.780  0.9599  0.9562
 4498.800  0.9574  0.9560
 4498.820  0.9568  0.9525
 4498.840  0.9562  0.9471
 4498.860  0.9536  0.9432
 4498.880  0.9473  0.9439
 4498.900  0.9398  0.9498
 4498.920  0.9364  0.9572
 4498.940  0.9352  0.9606
 4498.960  0.9318  0.9584
 4498.980  0.9265  0.9538
 4499.000  0.9208  0.9497
 4499.020  0.9158  0.9449
 4499.040  0.9131  0.9399
 4499.060  0.9122  0.9388
 4499.080  0.9082  0.9426
 4499.100  0.8986  0.9453
 4499.120  0.8858  0.9412
 4499.140  0.8719  0.9305
 4499.160  0.8577  0.9166
 4499.180  0.8466  0.9024
 4499.200  0.8431  0.8881
 4499.220  0.8469  0.8732
 4499.240  0.8541  0.8607
 4499.260  0.8642  0.8538
 4499.280  0.8773  0.8503
 4499.300  0.8894  0.8471
 4499.320  0.9001  0.8469
 4499.340  0.9111  0.8525
 4499.360  0.9209  0.8622
 4499.380  0.9282  0.8735
 4499.400  0.9309  0.8841
 4499.420  0.9281  0.8929
 4499.440  0.9248  0.9011
 4499.460  0.9259  0.9109
 4499.480  0.9308  0.9227
 4499.500  0.9360  0.9340
 4499.520  0.9411  0.9413
 4499.540  0.9475  0.9439
 4499.560  0.9518  0.9437
 4499.580  0.9521  0.9426
 4499.600  0.9524  0.9429
 4499.620  0.9539  0.9463
 4499.640  0.9537  0.9525
 4499.660  0.9508  0.9589
 4499.680  0.9451  0.9622
 4499.700  0.9405  0.9619
 4499.720  0.9389  0.9588
 4499.740  0.9347  0.9545
 4499.760  0.9270  0.9523
 4499.780  0.9185  0.9548
 4499.800  0.9088  0.9600
 4499.820  0.9001  0.9651
 4499.840  0.8934  0.9680
 4499.860  0.8856  0.9684
 4499.880  0.8758  0.9686
 4499.900  0.8638  0.9704
 4499.920  0.8521  0.9720
 4499.940  0.8446  0.9688
 4499.960  0.8423  0.9591
 4499.980  0.8467  0.9477
 4500.000  0.8587  0.9405
 4500.020  0.8750  0.9371
 4500.040  0.8897  0.9306
 4500.060  0.9006  0.9133
 4500.080  0.9100  0.8844
 4500.100  0.9194  0.8500
 4500.120  0.9277  0.8162
 4500.140  0.9339  0.7847
 4500.160  0.9383  0.7526
 4500.180  0.9431  0.7162
 4500.200  0.9483  0.6758
 4500.220  0.9502  0.6324
 4500.240  0.9477  0.5869
 4500.260  0.9451  0.5449
 4500.280  0.9448  0.5155
 4500.300  0.9461  0.5002
 4500.320  0.9486  0.4904
 4500.340  0.9517  0.4809
 4500.360  0.9549  0.4766
 4500.380  0.9592  0.4841
 4500.400  0.9612  0.5043
 4500.420  0.9582  0.5355
 4500.440  0.9549  0.5765
 4500.460  0.9551  0.6232
 4500.480  0.9588  0.6665
 4500.500  0.9643  0.6972
 4500.520  0.9646  0.7247
 4500.540  0.9631  0.7724
 4500.560  0.9703  0.8333
 4500.580  0.9773  0.8801
 4500.600  0.9708  0.9118
 4500.620  0.9569  0.9346
 4500.640  0.9466  0.9467
 4500.660  0.9380  0.9561
 4500.680  0.9264  0.9696
 4500.700  0.9126  0.9814
 4500.720  0.8953  0.9844
 4500.740  0.8733  0.9804
 4500.760  0.8491  0.9737
 4500.780  0.8246  0.9653
 4500.800  0.7980  0.9550
 4500.820  0.7672  0.9451
 4500.840  0.7325  0.9383
 4500.860  0.6953  0.9335
 4500.880  0.6582  0.9277
 4500.900  0.6238  0.9201
 4500.920  0.5912  0.9123
 4500.940  0.5608  0.9047
 4500.960  0.5355  0.8941
 4500.980  0.5168  0.8765
 4501.000  0.5068  0.8517
 4501.020  0.5092  0.8264
 4501.040  0.5220  0.8066
 4501.060  0.5418  0.7911
 4501.080  0.5718  0.7747
 4501.100  0.6129  0.7570
 4501.120  0.6595  0.7460
 4501.140  0.7064  0.7437
 4501.160  0.7545  0.7392
 4501.180  0.8040  0.7252
 4501.200  0.8504  0.7128
 4501.220  0.8909  0.7149
 4501.240  0.9247  0.7200
 4501.260  0.9476  0.7166
 4501.280  0.9583  0.7234
 4501.300  0.9631  0.7489
 4501.320  0.9672  0.7738
 4501.340  0.9680  0.7914
 4501.360  0.9627  0.8091
 4501.380  0.9537  0.8247
 4501.400  0.9444  0.8338
 4501.420  0.9366  0.8398
 4501.440  0.9319  0.8478
 4501.460  0.9322  0.8567
 4501.480  0.9361  0.8606
 4501.500  0.9384  0.8572
 4501.520  0.9366  0.8506
 4501.540  0.9322  0.8434
 4501.560  0.9261  0.8320
 4501.580  0.9183  0.8189
 4501.600 -1.0000 -1.0000
 4501.620 -1.0000 -1.0000
 4501.640 -1.0000 -1.0000
 4501.660 -1.0000 -1.0000
 4501.680 -1.0000 -1.0000
