           0.95    0.9300
           0.0200  0.6900
 4625.920  0.8717  0.8829
 4625.940  0.8720  0.8911
 4625.960  0.8705  0.8939
 4625.980  0.8666  0.8935
 4626.000  0.8629  0.8907
 4626.020  0.8610  0.8853
 4626.040  0.8608  0.8786
 4626.060  0.8629  0.8714
 4626.080  0.8692  0.8624
 4626.100  0.8791  0.8522
 4626.120  0.8902  0.8444
 4626.140  0.9013  0.8410
 4626.160  0.9100  0.8402
 4626.180  0.9146  0.8391
 4626.200  0.9167  0.8375
 4626.220  0.9162  0.8368
 4626.240  0.9137  0.8370
 4626.260  0.9112  0.8353
 4626.280  0.9094  0.8294
 4626.300  0.9085  0.8246
 4626.320  0.9069  0.8267
 4626.340  0.9007  0.8338
 4626.360  0.8912  0.8418
 4626.380  0.8840  0.8497
 4626.400  0.8778  0.8573
 4626.420  0.8709  0.8658
 4626.440  0.8666  0.8777
 4626.460  0.8655  0.8908
 4626.480  0.8636  0.8995
 4626.500  0.8607  0.9015
 4626.520  0.8630  0.9016
 4626.540  0.8739  0.9071
 4626.560  0.8883  0.9157
 4626.580  0.9021  0.9176
 4626.600  0.9123  0.9124
 4626.620  0.9155  0.9105
 4626.640  0.9140  0.9138
 4626.660  0.9124  0.9149
 4626.680  0.9085  0.9140
 4626.700  0.8992  0.9142
 4626.720  0.8874  0.9135
 4626.740  0.8768  0.9088
 4626.760  0.8676  0.8999
 4626.780  0.8580  0.8918
 4626.800  0.8484  0.8919
 4626.820  0.8427  0.8983
 4626.840  0.8435  0.9057
 4626.860  0.8471  0.9142
 4626.880  0.8488  0.9204
 4626.900  0.8498  0.9180
 4626.920  0.8512  0.9074
 4626.940  0.8518  0.8953
 4626.960  0.8504  0.8894
 4626.980  0.8464  0.8898
 4627.000  0.8433  0.8931
 4627.020  0.8464  0.8987
 4627.040  0.8550  0.9014
 4627.060  0.8648  0.8953
 4627.080  0.8746  0.8840
 4627.100  0.8837  0.8726
 4627.120  0.8910  0.8618
 4627.140  0.9005  0.8513
 4627.160  0.9140  0.8406
 4627.180  0.9265  0.8292
 4627.200  0.9334  0.8173
 4627.220  0.9356  0.8052
 4627.240  0.9351  0.7941
 4627.260  0.9343  0.7887
 4627.280  0.9340  0.7910
 4627.300  0.9328  0.7936
 4627.320  0.9296  0.7922
 4627.340  0.9254  0.7961
 4627.360  0.9242  0.8119
 4627.380  0.9270  0.8338
 4627.400  0.9256  0.8539
 4627.420  0.9196  0.8689
 4627.440  0.9177  0.8797
 4627.460  0.9193  0.8917
 4627.480  0.9203  0.9046
 4627.500  0.9215  0.9128
 4627.520  0.9233  0.9159
 4627.540  0.9251  0.9156
 4627.560  0.9278  0.9081
 4627.580  0.9320  0.8929
 4627.600  0.9344  0.8808
 4627.620  0.9340  0.8827
 4627.640  0.9343  0.8944
 4627.660  0.9324  0.9059
 4627.680  0.9279  0.9115
 4627.700  0.9265  0.9068
 4627.720  0.9257  0.8955
 4627.740  0.9198  0.8880
 4627.760  0.9101  0.8883
 4627.780  0.8978  0.8942
 4627.800  0.8826  0.9004
 4627.820  0.8680  0.9039
 4627.840  0.8555  0.9073
 4627.860  0.8452  0.9114
 4627.880  0.8382  0.9132
 4627.900  0.8328  0.9100
 4627.920  0.8268  0.9032
 4627.940  0.8215  0.8975
 4627.960  0.8207  0.8946
 4627.980  0.8249  0.8905
 4628.000  0.8321  0.8811
 4628.020  0.8429  0.8695
 4628.040  0.8582  0.8608
 4628.060  0.8757  0.8545
 4628.080  0.8912  0.8457
 4628.100  0.9026  0.8325
 4628.120  0.9116  0.8183
 4628.140  0.9184  0.8067
 4628.160  0.9209  0.7970
 4628.180  0.9210  0.7859
 4628.200  0.9232  0.7737
 4628.220  0.9283  0.7662
 4628.240  0.9335  0.7648
 4628.260  0.9353  0.7633
 4628.280  0.9341  0.7585
 4628.300  0.9324  0.7557
 4628.320  0.9307  0.7590
 4628.340  0.9305  0.7660
 4628.360  0.9323  0.7713
 4628.380  0.9321  0.7706
 4628.400  0.9302  0.7655
 4628.420  0.9297  0.7619
 4628.440  0.9293  0.7645
 4628.460  0.9283  0.7742
 4628.480  0.9281  0.7876
 4628.500  0.9284  0.8011
 4628.520  0.9303  0.8148
 4628.540  0.9340  0.8307
 4628.560  0.9358  0.8480
 4628.580  0.9324  0.8628
 4628.600  0.9264  0.8713
 4628.620  0.9220  0.8746
 4628.640  0.9187  0.8770
 4628.660  0.9121  0.8784
 4628.680  0.9002  0.8745
 4628.700  0.8870  0.8648
 4628.720  0.8777  0.8541
 4628.740  0.8707  0.8434
 4628.760  0.8627  0.8298
 4628.780  0.8538  0.8134
 4628.800  0.8442  0.7961
 4628.820  0.8349  0.7786
 4628.840  0.8267  0.7600
 4628.860  0.8177  0.7391
 4628.880  0.8067  0.7171
 4628.900  0.7955  0.6974
 4628.920  0.7869  0.6831
 4628.940  0.7818  0.6753
 4628.960  0.7798  0.6730
 4628.980  0.7802  0.6741
 4629.000  0.7831  0.6767
 4629.020  0.7877  0.6793
 4629.040  0.7908  0.6828
 4629.060  0.7903  0.6913
 4629.080  0.7871  0.7041
 4629.100  0.7838  0.7146
 4629.120  0.7838  0.7221
 4629.140  0.7896  0.7337
 4629.160  0.8009  0.7519
 4629.180  0.8151  0.7710
 4629.200  0.8315  0.7853
 4629.220  0.8487  0.7940
 4629.240  0.8638  0.7979
 4629.260  0.8764  0.7983
 4629.280  0.8876  0.7967
 4629.300  0.8960  0.7942
