           0.95    0.86  
           0.0200  0.7200
 4872.000  0.8596  0.6678
 4872.020  0.9098  0.6891
 4872.040  0.9022  0.6876
 4872.060  0.9026  0.6867
 4872.080  0.9020  0.6826
 4872.100  0.9005  0.6810
 4872.120  0.8980  0.6868
 4872.140  0.8961  0.6957
 4872.160  0.8927  0.6986
 4872.180  0.8874  0.6951
 4872.200  0.8825  0.6907
 4872.220  0.8795  0.6880
 4872.240 -1.0000 -1.0000
 4872.260 -1.0000 -1.0000
 4872.280 -1.0000 -1.0000
 4872.300 -1.0000 -1.0000
 4872.320 -1.0000 -1.0000
 4872.340 -1.0000 -1.0000
 4872.360 -1.0000 -1.0000
 4872.380  0.9247  0.7208
 4872.400  0.9284  0.7148
 4872.420  0.9328  0.7141
 4872.440  0.9368  0.7204
 4872.460  0.9382  0.7247
 4872.480  0.9367  0.7241
 4872.500  0.9353  0.7264
 4872.520  0.9330  0.7354
 4872.540  0.9271  0.7482
 4872.560  0.9197  0.7637
 4872.580  0.9147  0.7818
 4872.600  0.9129  0.7977
 4872.620  0.9109  0.8071
 4872.640  0.9032  0.8129
 4872.660  0.8924  0.8211
 4872.680  0.8840  0.8312
 4872.700  0.8754  0.8383
 4872.720  0.8661  0.8412
 4872.740  0.8595  0.8420
 4872.760  0.8521  0.8406
 4872.780  0.8409  0.8361
 4872.800  0.8308  0.8292
 4872.820  0.8265  0.8215
 4872.840  0.8265  0.8141
 4872.860  0.8272  0.8069
 4872.880  0.8272  0.7997
 4872.900  0.8269  0.7930
 4872.920 -1.0000 -1.0000
 4872.940 -1.0000 -1.0000
 4872.960 -1.0000 -1.0000
 4872.980 -1.0000 -1.0000
 4873.000 -1.0000 -1.0000
 4873.020 -1.0000 -1.0000
 4873.040 -1.0000 -1.0000
 4873.060 -1.0000 -1.0000
 4873.080 -1.0000 -1.0000
 4873.100 -1.0000 -1.0000
 4873.120 -1.0000 -1.0000
 4873.140 -1.0000 -1.0000
 4873.160 -1.0000 -1.0000
 4873.180 -1.0000 -1.0000
 4873.200 -1.0000 -1.0000
 4873.220 -1.0000 -1.0000
 4873.240 -1.0000 -1.0000
 4873.260 -1.0000 -1.0000
 4873.280 -1.0000 -1.0000
 4873.300 -1.0000 -1.0000
 4873.320 -1.0000 -1.0000
 4873.340  0.9222 -1.0000
 4873.360  0.9264  0.6125
 4873.380  0.9329  0.6191
 4873.400  0.9379  0.6301
 4873.420  0.9384  0.6431
 4873.440  0.9369  0.6537
 4873.460  0.9363  0.6584
 4873.480  0.9361  0.6599
 4873.500  0.9351  0.6632
 4873.520  0.9335  0.6717
 4873.540  0.9321  0.6849
 4873.560  0.9337  0.6992
 4873.580  0.9392  0.7107
 4873.600  0.9426  0.7162
 4873.620  0.9410  0.7173
 4873.640  0.9384  0.7202
 4873.660  0.9371  0.7287
 4873.680  0.9338  0.7410
 4873.700  0.9259  0.7552
 4873.720  0.9171  0.7703
 4873.740  0.9110  0.7835
 4873.760  0.9038  0.7903
 4873.780  0.8935  0.7900
 4873.800  0.8835  0.7888
 4873.820  0.8741  0.7928
 4873.840  0.8618  0.8007
 4873.860  0.8454  0.8043
 4873.880  0.8290  0.8004
 4873.900  0.8147  0.7976
 4873.920  0.7989  0.8010
 4873.940  0.7786  0.8019
 4873.960  0.7571  0.7971
 4873.980  0.7394  0.7964
 4874.000  0.7290  0.8027
 4874.020 -1.0000 -1.0000
 4874.040 -1.0000 -1.0000
 4874.060 -1.0000 -1.0000
 4874.080 -1.0000 -1.0000
 4874.100 -1.0000 -1.0000
 4874.120 -1.0000 -1.0000
 4874.140 -1.0000 -1.0000
 4874.160 -1.0000 -1.0000
 4874.180 -1.0000  0.7953
 4874.200 -1.0000  0.7918
 4874.220 -1.0000 -1.0000
 4874.240 -1.0000 -1.0000
 4874.260 -1.0000 -1.0000
 4874.280 -1.0000 -1.0000
 4874.300 -1.0000 -1.0000
 4874.320 -1.0000 -1.0000
 4874.340 -1.0000 -1.0000
 4874.360 -1.0000 -1.0000
 4874.380 -1.0000 -1.0000
 4874.400 -1.0000 -1.0000
 4874.420 -1.0000 -1.0000
 4874.440 -1.0000 -1.0000
 4874.460 -1.0000 -1.0000
 4874.480 -1.0000 -1.0000
 4874.500 -1.0000 -1.0000
 4874.520 -1.0000 -1.0000
 4874.540 -1.0000 -1.0000
 4874.560 -1.0000 -1.0000
 4874.580 -1.0000 -1.0000
 4874.600 -1.0000 -1.0000
 4874.620 -1.0000 -1.0000
 4874.640 -1.0000 -1.0000
 4874.660  0.8977  0.8005
 4874.680  0.8954  0.8069
 4874.700  0.8941  0.8172
 4874.720  0.8933  0.8268
 4874.740  0.8907  0.8307
 4874.760  0.8880  0.8300
 4874.780  0.8875  0.8297
 4874.800  0.8911  0.8312
 4874.820  0.8987  0.8302
 4874.840  0.9091  0.8264
 4874.860  0.9228  0.8258
 4874.880  0.9365  0.8302
 4874.900  0.9446  0.8345
 4874.920  0.9475  0.8358
 4874.940  0.9479  0.8360
 4874.960  0.9485  0.8375
 4874.980  0.9516  0.8407
 4875.000  0.9560  0.8435
 4875.020  0.9587  0.8438
 4875.040  0.9583  0.8434
 4875.060  0.9560  0.8442
 4875.080  0.9548  0.8436
 4875.100  0.9558  0.8383
 4875.120  0.9558  0.8312
 4875.140  0.9531  0.8262
 4875.160  0.9528  0.8250
 4875.180  0.9562  0.8282
 4875.200  0.9570  0.8291
 4875.220  0.9556  0.8200
 4875.240  0.9538  0.8047
 4875.260  0.9491  0.7912
 4875.280  0.9459  0.7831
 4875.300  0.9490  0.7793
 4875.320  0.9534  0.7756
 4875.340  0.9559  0.7682
 4875.360  0.9580  0.7560
 4875.380  0.9589  0.7404
 4875.400  0.9575  0.7249
 4875.420  0.9546  0.7129
 4875.440  0.9519  0.7040
 4875.460  0.9522  0.6929
 4875.480  0.9563  0.6762
 4875.500  0.9617  0.6601
 4875.520  0.9651  0.6526
 4875.540  0.9653  0.6528
 4875.560 -1.0000 -1.0000
 4875.580 -1.0000 -1.0000
 4875.600 -1.0000 -1.0000
 4875.620 -1.0000 -1.0000
 4875.640 -1.0000 -1.0000
 4875.660 -1.0000 -1.0000
 4875.680 -1.0000 -1.0000
 4875.700 -1.0000 -1.0000
 4875.720 -1.0000 -1.0000
 4875.740 -1.0000 -1.0000
 4875.760 -1.0000 -1.0000
 4875.780 -1.0000 -1.0000
 4875.800 -1.0000 -1.0000
 4875.820 -1.0000 -1.0000
 4875.840 -1.0000 -1.0000
 4875.860 -1.0000 -1.0000
 4875.880 -1.0000 -1.0000
 4875.900 -1.0000 -1.0000
 4875.920 -1.0000 -1.0000
 4875.940 -1.0000 -1.0000
 4875.960  0.8979  0.7002
 4875.980  0.8900  0.7070
 4876.000  0.8748  0.7109
 4876.020  0.8564  0.7091
 4876.040  0.8393  0.7055
 4876.060  0.8248  0.7064
 4876.080  0.8131  0.7146
 4876.100  0.8030  0.7272
 4876.120  0.7934  0.7407
 4876.140  0.7865  0.7539
 4876.160  0.7839  0.7640
 4876.180  0.7843  0.7693
 4876.200  0.7857  0.7730
 4876.220  0.7876  0.7776
 4876.240  0.7898  0.7810
 4876.260  0.7899  0.7804
 4876.280  0.7875  0.7760
 4876.300  0.7830  0.7690
 4876.320  0.7753  0.7603
 4876.340  0.7662  0.7504
 4876.360  0.7608  0.7407
 4876.380  0.7605  0.7333
 4876.400  0.7643  0.7291
 4876.420  0.7736  0.7266
 4876.440  0.7890  0.7244
 4876.460  0.8052  0.7222
 4876.480  0.8171  0.7203
 4876.500  0.8243  0.7182
 4876.520  0.8297  0.7163
 4876.540  0.8357  0.7146
 4876.560  0.8391  0.7120
 4876.580  0.8358  0.7083
 4876.600  0.8303  0.7062
 4876.620  0.8258  0.7079
 4876.640  0.8195  0.7127
 4876.660  0.8136  0.7189
 4876.680  0.8117  0.7239
 4876.700 -1.0000  0.7253
 4876.720 -1.0000  0.7243
 4876.740 -1.0000 -1.0000
 4876.760 -1.0000 -1.0000
 4876.780 -1.0000 -1.0000
 4876.800 -1.0000 -1.0000
 4876.820 -1.0000 -1.0000
 4876.840 -1.0000 -1.0000
 4876.860 -1.0000 -1.0000
 4876.880 -1.0000 -1.0000
 4876.900 -1.0000 -1.0000
 4876.920 -1.0000 -1.0000
 4876.940 -1.0000 -1.0000
 4876.960 -1.0000 -1.0000
 4876.980 -1.0000 -1.0000
 4877.000 -1.0000 -1.0000
 4877.020 -1.0000 -1.0000
 4877.040 -1.0000 -1.0000
 4877.060 -1.0000 -1.0000
 4877.080 -1.0000 -1.0000
 4877.100 -1.0000 -1.0000
 4877.120 -1.0000 -1.0000
 4877.140 -1.0000 -1.0000
 4877.160 -1.0000 -1.0000
 4877.180 -1.0000 -1.0000
 4877.200 -1.0000 -1.0000
 4877.220  0.7995  0.7620
 4877.240  0.7963  0.7551
 4877.260  0.7872  0.7447
 4877.280  0.7759  0.7340
 4877.300  0.7685  0.7231
 4877.320  0.7666  0.7095
 4877.340  0.7693  0.6919
 4877.360  0.7779  0.6736
 4877.380  0.7924  0.6603
 4877.400  0.8071  0.6539
 4877.420  0.8174  0.6511
 4877.440  0.8243  0.6502
 4877.460  0.8303  0.6515
 4877.480  0.8348  0.6520
 4877.500  0.8368  0.6507
 4877.520 -1.0000 -1.0000
 4877.540 -1.0000 -1.0000
 4877.560 -1.0000 -1.0000
 4877.580 -1.0000 -1.0000
 4877.600 -1.0000 -1.0000
 4877.620 -1.0000 -1.0000
 4877.640  0.8139  0.7446
 4877.660  0.8163  0.7340
 4877.680  0.8237  0.7286
 4877.700  0.8353  0.7371
 4877.720  0.8490  0.7492
 4877.740  0.8641  0.7552
 4877.760  0.8785  0.7599
 4877.780  0.8887  0.7692
 4877.800  0.8933  0.7800
 4877.820  0.8943  0.7890
 4877.840  0.8947  0.7969
 4877.860  0.8956  0.8037
 4877.880  0.8965  0.8073
 4877.900  0.8956  0.8056
 4877.920  0.8915  0.7969
 4877.940  0.8854  0.7802
 4877.960  0.8768  0.7584
 4877.980  0.8631  0.7406
 4878.000  0.8470  0.7310
 4878.020  0.8330  0.7247
 4878.040  0.8187  0.7171
 4878.060  0.8000  0.7054
 4878.080  0.7812  0.6881
 4878.100  0.7663  0.6710
 4878.120  0.7553  0.6615
 4878.140 -1.0000 -1.0000
 4878.160 -1.0000 -1.0000
 4878.180 -1.0000 -1.0000
 4878.200 -1.0000 -1.0000
 4878.220 -1.0000 -1.0000
 4878.240 -1.0000 -1.0000
 4878.260 -1.0000 -1.0000
 4878.280 -1.0000 -1.0000
 4878.300 -1.0000 -1.0000
 4878.320 -1.0000 -1.0000
 4878.340 -1.0000 -1.0000
 4878.360 -1.0000 -1.0000
 4878.380 -1.0000 -1.0000
 4878.400 -1.0000 -1.0000
 4878.420 -1.0000 -1.0000
 4878.440 -1.0000 -1.0000
 4878.460  0.8497  0.7729
 4878.480  0.8521  0.7776
 4878.500  0.8570  0.7817
 4878.520  0.8654  0.7847
 4878.540  0.8757  0.7870
 4878.560  0.8832  0.7882
 4878.580  0.8837  0.7888
 4878.600  0.8774  0.7894
 4878.620  0.8669  0.7878
 4878.640  0.8554  0.7825
 4878.660  0.8451  0.7789
 4878.680  0.8363  0.7842
 4878.700  0.8286  0.7945
 4878.720  0.8214  0.7983
 4878.740  0.8145  0.7931
 4878.760  0.8075  0.7863
 4878.780  0.7999  0.7823
 4878.800  0.7925  0.7797
 4878.820  0.7885  0.7777
 4878.840  0.7900  0.7782
 4878.860  0.7945  0.7810
 4878.880  0.7974  0.7817
 4878.900  0.7993  0.7770
 4878.920  0.8031  0.7726
 4878.940  0.8097  0.7770
 4878.960  0.8214  0.7893
