# File generated by CMD 2.7 (http://stev.oapd.inaf.it/cmd) on Mon Oct 26 19:26:35 CET 2015
# PARSEC isochrones, release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014), MNRAS, 444, 2525 + Tang et al. (2014), MNRAS, 445, 4287 + Chen et al. (2015), MNRAS accepted
# Warning: the TP-AGB phase is not included! TP-AGB tracks are in preparation by Marigo et al.
# Photometric system: HST/ACS HRC
# Using NBC version of bolometric corrections as in Chen et al. (2014), MNRAS, 444, 2525
# BCs of Carbon stars derive from Aringer et al. (2009, A&A 503, 913)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Kind of output: SSP integrated magnitudes
#	Z	Age		mbol    F220W   F250W   F330W   F344N   F435W   F475W   F550M   F555W   F606W   F625W   F658N   F660N   F775W   F814W   F850LP  F892N
	0.0200	1.00e+08	2.145	2.142	2.257	2.399	2.423	2.938	2.926	2.818	2.854	2.779	2.706	2.578	2.620	2.492	2.444	2.337	2.337
	0.0200	1.12e+08	2.253	2.282	2.385	2.503	2.525	2.999	2.984	2.876	2.911	2.837	2.765	2.640	2.681	2.553	2.505	2.399	2.400
	0.0200	1.26e+08	2.361	2.425	2.517	2.611	2.631	3.061	3.045	2.938	2.973	2.900	2.829	2.708	2.748	2.620	2.572	2.466	2.468
	0.0200	1.41e+08	2.469	2.575	2.654	2.723	2.741	3.124	3.104	2.996	3.031	2.959	2.888	2.770	2.809	2.681	2.634	2.527	2.530
	0.0200	1.58e+08	2.575	2.732	2.798	2.842	2.857	3.190	3.166	3.056	3.091	3.019	2.948	2.832	2.870	2.741	2.693	2.586	2.590
	0.0200	1.78e+08	2.684	2.894	2.947	2.964	2.977	3.258	3.230	3.117	3.153	3.081	3.010	2.897	2.934	2.805	2.757	2.651	2.655
	0.0200	2.00e+08	2.790	3.063	3.101	3.090	3.101	3.328	3.295	3.179	3.215	3.142	3.071	2.960	2.996	2.865	2.817	2.709	2.715
	0.0200	2.24e+08	2.898	3.240	3.261	3.219	3.227	3.402	3.364	3.243	3.280	3.206	3.133	3.025	3.060	2.927	2.880	2.771	2.778
	0.0200	2.51e+08	3.007	3.425	3.425	3.350	3.356	3.479	3.435	3.307	3.346	3.271	3.196	3.091	3.124	2.989	2.941	2.833	2.840
	0.0200	2.82e+08	3.115	3.618	3.595	3.482	3.485	3.560	3.509	3.374	3.415	3.337	3.261	3.157	3.190	3.052	3.004	2.895	2.904
