# File generated by CMD 2.8 (http://stev.oapd.inaf.it/cmd) on Wed Nov 23 18:44:42 CET 2016
# PARSEC isochrones, release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# Warning: you choose not to include the TP-AGB phase!
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using NBC version of bolometric corrections as in Chen et al. (2014), MNRAS, 444, 2525
# BCs of Carbon stars derive from Aringer et al. (2009, A&A 503, 913)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Kind of output: SSP integrated magnitudes
#	Z	Age		mbol    U       B       V       R       I       J       H       K
	0.0080	8.91e+08	4.018	4.607	4.500	4.146	3.878	3.611	3.180	2.782	2.725
	0.0080	1.00e+09	4.113	4.741	4.631	4.241	3.953	3.671	3.228	2.824	2.766
	0.0080	1.12e+09	4.215	4.878	4.771	4.345	4.038	3.744	3.290	2.880	2.822
	0.0080	1.26e+09	4.303	5.009	4.904	4.441	4.113	3.804	3.336	2.920	2.861
	0.0080	1.41e+09	4.359	5.142	5.028	4.517	4.160	3.828	3.333	2.897	2.837
	0.0080	1.58e+09	4.274	5.256	5.106	4.512	4.095	3.712	3.134	2.624	2.552
	0.0080	1.78e+09	4.482	5.512	5.377	4.770	4.334	3.926	3.304	2.751	2.667
	0.0080	2.00e+09	4.556	5.672	5.525	4.881	4.420	3.989	3.337	2.761	2.671
	0.0080	2.24e+09	4.663	5.841	5.688	5.017	4.539	4.091	3.415	2.823	2.728
	0.0080	2.51e+09	4.760	6.003	5.837	5.137	4.644	4.181	3.488	2.884	2.785
	0.0080	2.82e+09	4.727	6.159	5.931	5.165	4.635	4.137	3.401	2.769	2.664
	0.0080	3.16e+09	4.859	6.323	6.083	5.308	4.772	4.268	3.525	2.889	2.781
	0.0080	3.55e+09	4.983	6.451	6.209	5.432	4.897	4.391	3.648	3.013	2.904
	0.0080	3.98e+09	5.078	6.591	6.334	5.541	4.998	4.484	3.731	3.090	2.979
	0.0080	4.47e+09	5.198	6.739	6.473	5.671	5.123	4.603	3.844	3.201	3.088
	0.0080	5.01e+09	5.354	6.895	6.629	5.826	5.278	4.757	3.999	3.358	3.243
	0.0080	5.62e+09	5.426	7.034	6.743	5.921	5.362	4.829	4.055	3.405	3.287
	0.0080	6.31e+09	5.517	7.173	6.858	6.022	5.456	4.917	4.137	3.485	3.365
	0.0080	7.08e+09	5.606	7.325	6.986	6.132	5.557	5.007	4.213	3.554	3.431
	0.0080	7.94e+09	5.698	7.475	7.109	6.240	5.656	5.098	4.294	3.630	3.505
	0.0080	8.91e+09	5.783	7.625	7.231	6.347	5.753	5.184	4.367	3.696	3.568
	0.0080	1.00e+10	5.882	7.779	7.360	6.462	5.861	5.283	4.457	3.782	3.652
	0.0080	1.12e+10	5.969	7.929	7.482	6.568	5.958	5.372	4.533	3.852	3.720
	0.0080	1.26e+10	6.046	8.071	7.594	6.665	6.047	5.451	4.600	3.913	3.778
