# File generated by CMD 2.7 (http://stev.oapd.inaf.it/cmd) on Mon Oct 26 19:20:15 CET 2015
# PARSEC isochrones, release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014), MNRAS, 444, 2525 + Tang et al. (2014), MNRAS, 445, 4287 + Chen et al. (2015), MNRAS accepted
# Warning: the TP-AGB phase is not included! TP-AGB tracks are in preparation by Marigo et al.
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using NBC version of bolometric corrections as in Chen et al. (2014), MNRAS, 444, 2525
# BCs of Carbon stars derive from Aringer et al. (2009, A&A 503, 913)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Kind of output: SSP integrated magnitudes
#	Z	Age		mbol    U       B       V       R       I       J       H       K
	0.0200	8.91e+08	4.186	4.921	4.773	4.314	3.988	3.682	3.203	2.781	2.708
	0.0200	1.00e+09	4.279	5.075	4.922	4.420	4.069	3.747	3.251	2.821	2.748
	0.0200	1.12e+09	4.377	5.231	5.072	4.531	4.158	3.821	3.311	2.873	2.801
	0.0200	1.26e+09	4.467	5.387	5.215	4.634	4.241	3.890	3.366	2.921	2.849
	0.0200	1.41e+09	4.536	5.545	5.352	4.729	4.311	3.941	3.391	2.927	2.852
	0.0200	1.58e+09	4.492	5.697	5.456	4.765	4.300	3.883	3.263	2.742	2.655
	0.0200	1.78e+09	4.635	5.916	5.676	4.969	4.487	4.034	3.365	2.804	2.702
	0.0200	2.00e+09	4.736	6.105	5.849	5.117	4.619	4.137	3.431	2.847	2.734
	0.0200	2.24e+09	4.807	6.286	6.002	5.240	4.722	4.211	3.466	2.860	2.736
	0.0200	2.51e+09	4.917	6.478	6.170	5.386	4.854	4.323	3.552	2.932	2.802
	0.0200	2.82e+09	5.015	6.678	6.330	5.516	4.968	4.422	3.628	2.997	2.862
	0.0200	3.16e+09	4.970	6.873	6.431	5.553	4.967	4.381	3.535	2.878	2.735
	0.0200	3.55e+09	5.042	7.065	6.575	5.671	5.069	4.465	3.584	2.913	2.761
	0.0200	3.98e+09	5.233	7.192	6.726	5.839	5.249	4.658	3.785	3.121	2.969
	0.0200	4.47e+09	5.371	7.369	6.877	5.980	5.385	4.795	3.918	3.256	3.102
	0.0200	5.01e+09	5.392	7.522	6.976	6.048	5.434	4.823	3.917	3.240	3.082
	0.0200	5.62e+09	5.572	7.705	7.155	6.226	5.613	5.003	4.096	3.421	3.261
	0.0200	6.31e+09	5.708	7.864	7.298	6.365	5.750	5.141	4.229	3.555	3.394
	0.0200	7.08e+09	5.813	8.016	7.424	6.480	5.859	5.247	4.328	3.652	3.490
	0.0200	7.94e+09	5.865	8.165	7.530	6.565	5.931	5.307	4.366	3.681	3.515
	0.0200	8.91e+09	5.948	8.324	7.653	6.670	6.027	5.394	4.439	3.750	3.582
	0.0200	1.00e+10	6.028	8.491	7.780	6.782	6.128	5.484	4.506	3.809	3.636
	0.0200	1.12e+10	6.113	8.657	7.905	6.889	6.225	5.573	4.583	3.880	3.706
	0.0200	1.26e+10	6.196	8.827	8.032	6.999	6.324	5.663	4.655	3.947	3.770
