           1.0400  1.0000
           0.1300  0.0000
 4247.000  0.5069  0.8839
 4247.020  0.4850  0.8781
 4247.040  0.4458  0.9020
 4247.060  0.4127  0.9122
 4247.080  0.3837  0.9208
 4247.100  0.3592  0.9168
 4247.120  0.3382  0.9319
 4247.140  0.3224  0.9348
 4247.160  0.3132  0.9196
 4247.180  0.3073  0.8990
 4247.200  0.2954  0.8584
 4247.220  0.2742  0.8538
 4247.240  0.2600  0.8383
 4247.260  0.2693  0.8168
 4247.280  0.2921  0.8613
 4247.300  0.3087  0.9083
 4247.320  0.3198  0.9194
 4247.340  0.3352  0.9210
 4247.360  0.3535  0.9096
 4247.380  0.3675  0.9502
 4247.400  0.3760  0.9732
 4247.420  0.3828  0.9679
 4247.440  0.3924  0.9447
 4247.460  0.4065  0.9333
 4247.480  0.4191  0.9296
 4247.500  0.4199  0.9044
 4247.520  0.4105  0.9241
 4247.540  0.4102  0.9636
 4247.560  0.4401  0.9640
 4247.580  0.5017  0.9194
 4247.600  0.5701  0.8715
 4247.620  0.6164  0.8951
 4247.640  0.6326  0.9119
 4247.660  0.6262  0.9312
 4247.680  0.6020  0.9505
 4247.700  0.5615  0.9378
 4247.720  0.5126  0.9338
 4247.740  0.4678  0.9255
 4247.760  0.4333  0.9242
 4247.780  0.4073  0.9331
 4247.800  0.3897  0.9436
 4247.820  0.3836  0.9186
 4247.840  0.3912  0.9170
 4247.860  0.4152  0.9210
 4247.880  0.4590  0.8842
 4247.900  0.5147  0.8799
 4247.920  0.5583  0.8563
 4247.940  0.5723  0.9213
 4247.960  0.5654  0.9235
 4247.980  0.5509  0.8798
 4248.000  0.5290  0.8866
 4248.020  0.4949  0.8953
 4248.040  0.4509  0.8839
 4248.060  0.4082  0.8986
 4248.080  0.3766  0.9078
 4248.100  0.3538  0.9169
 4248.120  0.3341  0.9327
 4248.140  0.3153  0.9294
 4248.160  0.2969  0.9293
 4248.180  0.2817  0.9291
 4248.200  0.2772  0.9291
 4248.220  0.2899  0.9290
 4248.240  0.3166  0.9288
 4248.260  0.3464  0.9287
 4248.280  0.3726  0.9286
 4248.300  0.3953  0.9065
 4248.320  0.4139  0.9296
 4248.340  0.4256  0.9316
 4248.360  0.4277  0.9257
 4248.380  0.4215  0.9254
 4248.400  0.4141  0.9298
 4248.420  0.4107  0.9324
 4248.440  0.4116  0.9153
 4248.460  0.4176  0.9170
 4248.480  0.4313  0.9088
 4248.500  0.4529  0.9309
 4248.520  0.4772  0.9264
 4248.540  0.4966  0.9218
 4248.560  0.5080  0.9173
 4248.580  0.5139  0.9127
 4248.600  0.5156  0.9082
 4248.620  0.5110  0.9036
 4248.640  0.5017  0.8778
 4248.660  0.4973  0.8869
 4248.680  0.5025  0.8423
 4248.700 -1.0000  0.8216
 4248.720 -1.0000  0.7564
 4248.740 -1.0000  0.6252
 4248.760 -1.0000  0.4485
 4248.780 -1.0000  0.2286
 4248.800 -1.0000  0.2614
 4248.820 -1.0000  0.4980
 4248.840 -1.0000  0.6699
 4248.860 -1.0000  0.7650
 4248.880 -1.0000  0.8035
 4248.900  0.5302  0.8232
 4248.920  0.4891  0.8526
 4248.940  0.4447  0.8466
 4248.960  0.4117  0.8578
 4248.980  0.3939  0.8559
 4249.000  0.3916  0.8501
 4249.020  0.3976  0.8208
 4249.040  0.4025  0.8100
 4249.060 -1.0000  0.8019
 4249.080 -1.0000  0.7427
 4249.100 -1.0000  0.6554
 4249.120 -1.0000  0.5374
 4249.140 -1.0000  0.3464
 4249.160 -1.0000  0.5196
 4249.180 -1.0000  0.6733
 4249.200 -1.0000  0.7487
 4249.220 -1.0000  0.8201
 4249.240  0.4871  0.8309
 4249.260  0.5206  0.8571
 4249.280  0.5690  0.8502
 4249.300  0.6200  0.8295
 4249.320  0.6520  0.8214
 4249.340  0.6555  0.8405
 4249.360 -1.0000  0.8547
 4249.380 -1.0000  0.7586
 4249.400 -1.0000  0.6236
 4249.420 -1.0000  0.4676
 4249.440 -1.0000  0.2419
 4249.460 -1.0000  0.5190
 4249.480 -1.0000  0.6667
 4249.500 -1.0000  0.7563
 4249.520 -1.0000  0.8211
 4249.540  0.4838  0.8433
 4249.560  0.4907  0.8553
 4249.580  0.4948  0.8673
 4249.600  0.4900  0.8794
 4249.620  0.4759  0.8914
 4249.640  0.4578  0.9034
 4249.660  0.4479  0.9154
 4249.680  0.4538  0.9114
 4249.700  0.4695  0.9068
 4249.720  0.4868  0.9035
 4249.740  0.5020  0.8959
 4249.760  0.5053  0.8669
 4249.780  0.4856  0.8605
 4249.800  0.4519  0.9121
 4249.820  0.4276  0.9444
 4249.840  0.4187  0.8979
 4249.860  0.4122  0.9132
 4249.880  0.4009  0.8826
 4249.900  0.3902  0.9000
 4249.920  0.3860  0.9074
 4249.940  0.3868  0.9087
 4249.960  0.3857  0.8868
 4249.980  0.3776  0.8763
 4250.000  0.3614  0.8658
 4250.020  0.3397  0.8554
 4250.040  0.3169  0.8449
 4250.060  0.2975  0.8344
 4250.080  0.2847  0.8239
 4250.100  0.2789  0.8200
 4250.120  0.2781  0.8282
