           0.9700  1.0000
           0.1500  0.0000
 4700.940  0.8727  1.0273
 4700.960  0.8728  1.0136
 4700.980  0.8630  1.0309
 4701.000  0.8480  1.0274
 4701.020  0.8376  1.0356
 4701.040  0.8413  1.0241
 4701.060  0.8627  1.0321
 4701.080  0.8939  1.0306
 4701.100  0.9186  1.0271
 4701.120  0.9254  1.0323
 4701.140  0.9189  1.0282
 4701.160  0.9141  1.0398
 4701.180  0.9204  1.0244
 4701.200  0.9366  1.0363
 4701.220  0.9546  1.0348
 4701.240  0.9625  1.0297
 4701.260  0.9565  1.0434
 4701.280  0.9481  1.0343
 4701.300  0.9466  1.0260
 4701.320  0.9490  1.0328
 4701.340  0.9478  1.0272
 4701.360  0.9429  1.0299
 4701.380  0.9410  1.0223
 4701.400  0.9415  1.0220
 4701.420  0.9361  1.0308
 4701.440  0.9247  1.0320
 4701.460  0.9154  1.0280
 4701.480  0.9110  1.0326
 4701.500  0.9054  1.0280
 4701.520  0.8908  1.0278
 4701.540  0.8708  1.0371
 4701.560  0.8578  1.0306
 4701.580  0.8585  1.0331
 4701.600  0.8666  1.0368
 4701.620  0.8723  1.0230
 4701.640  0.8767  1.0291
 4701.660  0.8863  1.0236
 4701.680  0.8935  1.0198
 4701.700  0.8921  1.0376
 4701.720  0.8907  1.0319
 4701.740  0.8918  1.0355
 4701.760  0.8875  1.0291
 4701.780  0.8773  1.0276
 4701.800  0.8688  1.0345
 4701.820  0.8674  1.0416
 4701.840  0.8723  1.0312
 4701.860  0.8799  1.0340
 4701.880  0.8855  1.0307
 4701.900  0.8836  1.0214
 4701.920  0.8749  1.0477
 4701.940  0.8661  1.0323
 4701.960  0.8540  1.0338
 4701.980  0.8278  1.0368
 4702.000  0.7870  1.0317
 4702.020  0.7434  1.0336
 4702.040  0.7042  1.0342
 4702.060  0.6671  1.0463
 4702.080  0.6303  1.0364
 4702.100  0.5954  1.0204
 4702.120  0.5681  1.0245
 4702.140  0.5612  1.0240
 4702.160  0.5845  1.0219
 4702.180  0.6322  1.0112
 4702.200  0.6869  1.0124
 4702.220  0.7369  1.0355
 4702.240  0.7812  1.0232
 4702.260  0.8178  1.0230
 4702.280  0.8415  1.0193
 4702.300  0.8550  1.0274
 4702.320  0.8675  1.0084
 4702.340  0.8817  1.0279
 4702.360  0.8918  1.0250
 4702.380  0.8916  1.0277
 4702.400  0.8842  1.0462
 4702.420  0.8789  1.0452
 4702.440  0.8784  1.0477
 4702.460  0.8808  1.0604
 4702.480  0.8864  1.0454
 4702.500  0.8929  1.0468
 4702.520  0.8967  1.0476
 4702.540  0.8980  1.0362
 4702.560  0.8993  1.0497
 4702.580  0.8999  1.0476
 4702.600  0.8978  1.0521
 4702.620  0.8956  1.0538
 4702.640  0.8923  1.0400
 4702.660  0.8825  1.0447
 4702.680  0.8698  1.0472
 4702.700  0.8646  1.0410
 4702.720  0.8676  1.0443
 4702.740  0.8674  1.0265
 4702.760  0.8560  1.0437
 4702.780  0.8412  1.0373
 4702.800  0.8349  1.0433
 4702.820  0.8386  1.0375
 4702.840  0.8490  1.0367
 4702.860  0.8661  1.0345
 4702.880  0.8902  1.0405
 4702.900  0.9138  1.0370
 4702.920  0.9265  1.0412
 4702.940  0.9286  1.0541
 4702.960  0.9270  1.0331
 4702.980  0.9237  1.0365
 4703.000  0.9163  1.0418
 4703.020  0.9014  1.0286
 4703.040  0.8807  1.0360
 4703.060  0.8654  1.0341
 4703.080  0.8635  1.0381
 4703.100  0.8724  1.0341
 4703.120  0.8865  1.0415
 4703.140  0.8988  1.0325
 4703.160  0.9019  1.0436
 4703.180  0.8971  1.0388
 4703.200  0.8937  1.0421
 4703.220  0.8980  1.0423
 4703.240  0.9041  1.0374
 4703.260  0.9013  1.0372
 4703.280  0.8917  1.0374
 4703.300  0.8870  1.0364
 4703.320  0.8893  1.0294
 4703.340  0.8928  1.0225
 4703.360  0.8984  1.0314
 4703.380  0.9096  1.0131
 4703.400  0.9234  1.0245
 4703.420  0.9344  1.0311
 4703.440  0.9370  1.0396
 4703.460  0.9261  1.0411
 4703.480  0.9041  1.0366
 4703.500  0.8759  1.0341
 4703.520  0.8415  1.0409
 4703.540  0.8068  1.0356
 4703.560  0.7890  1.0421
 4703.580  0.7959  1.0293
 4703.600  0.8170  1.0380
 4703.620  0.8389  1.0376
 4703.640  0.8555  1.0342
 4703.660  0.8667  1.0359
 4703.680  0.8757  1.0352
 4703.700  0.8838  1.0436
 4703.720  0.8871  1.0471
 4703.740  0.8853  1.0457
 4703.760  0.8868  1.0468
 4703.780  0.8969  1.0356
 4703.800  0.9102  1.0403
 4703.820  0.9189  1.0322
 4703.840  0.9200  1.0431
