           0.9900  1.0000
           0.1400  0.0000
 4422.000  0.7937  0.9824
 4422.020  0.7911  1.0630
 4422.040  0.8118  1.0683
 4422.060  0.8355  1.0217
 4422.080  0.8645  0.9902
 4422.100  0.8973  0.9246
 4422.120  0.9303  0.8694
 4422.140  0.9536  0.8566
 4422.160  0.9634  0.8585
 4422.180  0.9740  0.8872
 4422.200  0.9937  0.8659
 4422.220  1.0034  0.8628
 4422.240  0.9930  0.9445
 4422.260  0.9812  0.9638
 4422.280  0.9765  0.9808
 4422.300  0.9723  0.9963
 4422.320  0.9689  0.9900
 4422.340  0.9706  0.9911
 4422.360  0.9777  0.9900
 4422.380  0.9858  0.9755
 4422.400  0.9870  0.9794
 4422.420  0.9807  0.9886
 4422.440  0.9759  0.9773
 4422.460  0.9798  0.9765
 4422.480  0.9877  0.9841
 4422.500  0.9902  0.9784
 4422.520  0.9879  0.9765
 4422.540  0.9859  0.9613
 4422.560  0.9848  0.9397
 4422.580  0.9876  0.9177
 4422.600  0.9960  0.8827
 4422.620 -1.0000  0.8340
 4422.640 -1.0000  0.7489
 4422.660 -1.0000  0.5988
 4422.680 -1.0000  0.3817
 4422.700 -1.0000  0.5261
 4422.720 -1.0000  0.4934
 4422.740 -1.0000  0.7373
 4422.760 -1.0000  0.8351
 4422.780  0.9456  0.8910
 4422.800  0.9575  0.9243
 4422.820  0.9730  0.9276
 4422.840  0.9811  0.9209
 4422.860  0.9798  0.9178
 4422.880  0.9747  0.9391
 4422.900  0.9707  0.9617
 4422.920  0.9715  0.9664
 4422.940  0.9791  0.9704
 4422.960  0.9912  0.9576
 4422.980  0.9997  0.9551
 4423.000  0.9979  0.9335
 4423.020  0.9929  0.8971
 4423.040  0.9959  0.8394
 4423.060  0.9985  0.7781
 4423.080  0.9903  0.8871
 4423.100  0.9817  0.9287
 4423.120  0.9781  0.9625
 4423.140  0.9744  0.9770
 4423.160  0.9730  0.9712
 4423.180  0.9766  0.9554
 4423.200  0.9807  0.9349
 4423.220  0.9796  0.9123
 4423.240  0.9736  0.9420
 4423.260  0.9678  0.9624
 4423.280  0.9640  0.9744
 4423.300  0.9600  0.9840
 4423.320  0.9541  0.9872
 4423.340  0.9480  0.9957
 4423.360  0.9445  0.9976
 4423.380  0.9450  0.9991
 4423.400  0.9489  1.0037
 4423.420  0.9529  1.0010
 4423.440  0.9540  0.9956
 4423.460  0.9551  1.0032
 4423.480  0.9590  0.9947
 4423.500  0.9623  0.9916
 4423.520  0.9629  0.9816
 4423.540  0.9634  0.9786
 4423.560  0.9606  0.9519
 4423.580  0.9473  0.9411
 4423.600  0.9251  0.9561
 4423.620  0.9005  0.9692
 4423.640  0.8777  0.9893
 4423.660  0.8605  0.9948
 4423.680  0.8521  0.9968
 4423.700  0.8542  1.0097
 4423.720  0.8657  1.0074
 4423.740  0.8804  0.9885
 4423.760  0.8921  1.0034
 4423.780  0.8981  0.9862
 4423.800  0.8970  0.9877
 4423.820  0.8964  0.9875
 4423.840  0.9055  0.9814
 4423.860  0.9162  0.9699
 4423.880  0.9142  0.9740
 4423.900  0.9016  0.9750
 4423.920  0.8906  0.9699
 4423.940  0.8835  0.9663
 4423.960  0.8716  0.9665
 4423.980  0.8513  0.9906
 4424.000  0.8323  0.9898
 4424.020  0.8242  0.9912
 4424.040  0.8291  0.9845
 4424.060  0.8429  0.9681
 4424.080  0.8625  0.9780
 4424.100  0.8853  0.9665
 4424.120  0.9054  0.9606
 4424.140  0.9212  0.9379
 4424.160  0.9383  0.8729
 4424.180  0.9551  0.8303
 4424.200  0.9631  0.8555
 4424.220  0.9592  0.9281
 4424.240  0.9459  0.9642
 4424.260  0.9258  0.9472
 4424.280  0.9056  0.9426
 4424.300  0.8957  0.9133
 4424.320  0.9013  0.9393
 4424.340  0.9181  0.9527
 4424.360  0.9357  0.9698
 4424.380  0.9478  0.9649
 4424.400  0.9549  0.9499
 4424.420  0.9552  0.9521
 4424.440  0.9505  0.9316
 4424.460  0.9463  0.8647
 4424.480  0.9430  0.8882
 4424.500  0.9416  0.9404
 4424.520  0.9436  0.9561
 4424.540  0.9417  0.9585
 4424.560  0.9284  0.9717
 4424.580  0.9062  0.9673
 4424.600  0.8852  0.9757
 4424.620  0.8781  0.9567
 4424.640  0.8875  0.9277
 4424.660  0.9019  0.9251
 4424.680  0.9121  0.9422
 4424.700  0.9218  0.9578
 4424.720  0.9368  0.9516
 4424.740  0.9531  0.9263
 4424.760  0.9636  0.9414
 4424.780  0.9674  0.9581
 4424.800  0.9677  0.9873
 4424.820  0.9658  0.9820
 4424.840  0.9588  0.9706
 4424.860  0.9466  0.9835
 4424.880  0.9338  0.9629
 4424.900  0.9193  0.9319
 4424.920  0.9043  0.9563
 4424.940  0.8986  0.9540
 4424.960  0.9032  0.9436
 4424.980  0.9146  0.9422
 4425.000  0.9344  0.9144
 4425.020  0.9564  0.9486
 4425.040  0.9691  0.9692
 4425.060  0.9692  0.9728
 4425.080  0.9634  0.9924
 4425.100  0.9583  0.9930
 4425.120  0.9503  0.9936
 4425.140  0.9324  0.9942
 4425.160  0.9084  1.0050
 4425.180  0.8862  0.9924
 4425.200  0.8675  1.0022
 4425.220  0.8553  1.0085
 4425.240  0.8547  0.9984
 4425.260  0.8670  0.9993
 4425.280  0.8894  1.0038
 4425.300  0.9141  0.9844
 4425.320  0.9332  0.9991
 4425.340  0.9472  0.9899
 4425.360  0.9568  0.9879
 4425.380  0.9612  0.9898
 4425.400  0.9635  1.0018
 4425.420  0.9632  0.9945
 4425.440  0.9556  0.9930
 4425.460  0.9454  0.9886
 4425.480  0.9424  0.9855
 4425.500  0.9453  1.0002
 4425.520  0.9468  0.9974
 4425.540  0.9436  0.9931
 4425.560  0.9371  0.9932
 4425.580  0.9292  0.9749
 4425.600  0.9178  0.9640
 4425.620  0.8976  0.9726
 4425.640  0.8728  0.9712
 4425.660  0.8653  0.9549
 4425.680  0.8859  0.9185
 4425.700  0.9126  0.9366
 4425.720  0.9249  0.9525
 4425.740  0.9288  0.9523
 4425.760  0.9372  0.9820
 4425.780  0.9485  0.9761
 4425.800  0.9518  0.9933
 4425.820  0.9448  0.9910
 4425.840  0.9327  0.9845
 4425.860  0.9158  0.9882
 4425.880  0.8970  1.0031
 4425.900  0.8899  1.0020
 4425.920  0.8992  1.0067
