# File generated by CMD 2.7 (http://stev.oapd.inaf.it/cmd) on Tue Aug 25 21:11:06 CEST 2015
# PARSEC isochrones, release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014), MNRAS, 444, 2525 + Tang et al. (2014), MNRAS, 445, 4287 + Chen et al. (2015), MNRAS accepted
# Warning: the TP-AGB phase is not included! TP-AGB tracks are in preparation by Marigo et al.
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using NBC version of bolometric corrections as in Chen et al. (2014), MNRAS, 444, 2525
# BCs of Carbon stars derive from Aringer et al. (2009, A&A 503, 913)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Kind of output: isochrone tables
#	Isochrone  Z = 0.01949	Y = 0.28321	[M/H] = 0.130	eta_R = 0.200	Age = 	1.0000e+09 yr
#      Z	log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    U       B       V       R       I       J       H       K	int_IMF	stage
	0.019490	9.0000	0.81700754	0.8170	-0.5612	3.6898	4.6226	6.173	8.460	7.526	6.537	5.899	5.447	4.809	4.291	4.219	3.07907987	1
	0.019490	9.0000	0.89205295	0.8920	-0.3796	3.7170	4.5880	5.719	7.465	6.812	5.938	5.397	4.999	4.451	4.012	3.952	3.10753250	1
	0.019490	9.0000	0.94205302	0.9420	-0.2652	3.7333	4.5624	5.433	6.894	6.396	5.587	5.094	4.724	4.227	3.832	3.778	3.12391496	1
	0.019490	9.0000	0.99205297	0.9920	-0.1539	3.7481	4.5327	5.155	6.379	6.009	5.261	4.809	4.463	4.010	3.651	3.603	3.13860750	1
	0.019490	9.0000	1.01857531	1.0185	-0.0968	3.7552	4.5155	5.012	6.134	5.820	5.099	4.665	4.329	3.897	3.555	3.509	3.14579630	1
	0.019490	9.0000	1.04205298	1.0420	-0.0472	3.7613	4.5004	4.888	5.927	5.657	4.960	4.541	4.214	3.799	3.471	3.428	3.15183187	1
	0.019490	9.0000	1.11055660	1.1105	0.0927	3.7772	4.4515	4.538	5.377	5.208	4.578	4.197	3.896	3.525	3.231	3.194	3.16787291	1
	0.019490	9.0000	1.13410592	1.1340	0.1392	3.7824	4.4349	4.422	5.190	5.059	4.453	4.088	3.796	3.437	3.153	3.119	3.17290545	1
	0.019490	9.0000	1.18410599	1.1840	0.2370	3.7925	4.3965	4.178	4.802	4.749	4.197	3.865	3.589	3.253	2.986	2.959	3.18287539	1
	0.019490	9.0000	1.20259523	1.2025	0.2722	3.7962	4.3826	4.089	4.672	4.640	4.105	3.783	3.513	3.185	2.925	2.900	3.18633604	1
	0.019490	9.0000	1.22808683	1.2280	0.3189	3.8010	4.3643	3.973	4.504	4.495	3.983	3.673	3.412	3.095	2.843	2.821	3.19092274	1
	0.019490	9.0000	1.23410594	1.2340	0.3297	3.8021	4.3600	3.946	4.469	4.463	3.955	3.647	3.387	3.074	2.824	2.802	3.19197583	1
